ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex
0.0,0,0.45,0.8212058212058212,0.4880952380952381,0.8049792531120332,0.5000000000000001,True
0.0,0,0.40625,0.8274428274428275,0.5513513513513514,0.8195020746887967,0.5953488372093023,True
0.0,0,0.36250000000000004,0.8316008316008316,0.5803108808290156,0.8153526970954357,0.6079295154185023,True
0.0,0,0.31875000000000003,0.8212058212058212,0.5784313725490197,0.8049792531120332,0.6178861788617886,True
0.0,0,0.275,0.0,0.0,0.0,0.0,False
0.0,0,0.23125,0.0,0.0,0.0,0.0,False
0.0,0,0.18750000000000006,0.0,0.0,0.0,0.0,False
0.0,0,0.14375000000000004,0.0,0.0,0.0,0.0,False
0.0,0,0.1,0.0,0.0,0.0,0.0,False
0.0,1,0.45,0.7962577962577962,0.505050505050505,0.8112033195020747,0.46153846153846156,True
0.0,1,0.40625,0.8066528066528067,0.5592417061611374,0.8174273858921162,0.5056179775280899,True
0.0,1,0.36250000000000004,0.8024948024948025,0.5739910313901346,0.8278008298755186,0.5699481865284974,True
0.0,1,0.31875000000000003,0.8087318087318087,0.6229508196721311,0.8381742738589212,0.6517857142857142,True
0.0,1,0.275,0.8128898128898129,0.6456692913385828,0.8298755186721992,0.6371681415929205,True
0.0,1,0.23125,0.0,0.0,0.0,0.0,False
0.0,1,0.18750000000000006,0.0,0.0,0.0,0.0,False
0.0,1,0.14375000000000004,0.0,0.0,0.0,0.0,False
0.0,1,0.1,0.0,0.0,0.0,0.0,False
0.0,2,0.45,0.8212058212058212,0.5612244897959184,0.8506224066390041,0.6363636363636364,True
0.0,2,0.40625,0.8274428274428275,0.5951219512195122,0.8443983402489627,0.6411483253588516,True
0.0,2,0.36250000000000004,0.83991683991684,0.6451612903225807,0.8526970954356846,0.6697674418604651,True
0.0,2,0.31875000000000003,0.8212058212058212,0.6228070175438597,0.8547717842323651,0.6818181818181818,True
0.0,2,0.275,0.0,0.0,0.0,0.0,False
0.0,2,0.23125,0.0,0.0,0.0,0.0,False
0.0,2,0.18750000000000006,0.0,0.0,0.0,0.0,False
0.0,2,0.14375000000000004,0.0,0.0,0.0,0.0,False
0.0,2,0.1,0.0,0.0,0.0,0.0,False
