ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,4.0,125.0,0.0,0.8045738045738046,0.5840707964601771,0.8215767634854771,0.6194690265486725
0.0,4.0,125.0,0.5,0.8128898128898129,0.5871559633027523,0.8132780082987552,0.5794392523364487
0.0,4.0,25.0,-1.0,0.8108108108108109,0.5806451612903226,0.7987551867219918,0.5688888888888889
0.0,4.0,25.0,0.0,0.8045738045738046,0.5840707964601771,0.8215767634854771,0.6194690265486725
0.0,4.0,25.0,0.5,0.8128898128898129,0.5871559633027523,0.8132780082987552,0.5794392523364487
0.0,4.0,5.0,-1.0,0.8004158004158004,0.5675675675675675,0.7863070539419087,0.5502183406113537
0.0,4.0,5.0,0.0,0.8045738045738046,0.5840707964601771,0.8215767634854771,0.6194690265486725
0.0,4.0,5.0,0.5,0.8274428274428275,0.6175115207373272,0.8257261410788381,0.6216216216216217
0.0,4.0,1.0,-1.0,0.8066528066528067,0.5938864628820961,0.7987551867219918,0.5688888888888889
0.0,4.0,1.0,0.0,0.8108108108108109,0.5919282511210763,0.8319502074688797,0.6232558139534883
0.0,4.0,1.0,0.5,0.8212058212058212,0.6160714285714285,0.8174273858921162,0.6036036036036035
0.0,4.0,0.2,-1.0,0.8295218295218295,0.6238532110091742,0.7904564315352697,0.5470852017937219
0.0,4.0,0.2,0.0,0.8128898128898129,0.5871559633027523,0.8112033195020747,0.5806451612903226
0.0,4.0,0.2,0.5,0.814968814968815,0.5860465116279069,0.8049792531120332,0.5607476635514019
0.0,4.0,0.04,-1.0,0.8232848232848233,0.6009389671361502,0.8278008298755186,0.5911330049261083
0.0,4.0,0.04,0.0,0.8087318087318087,0.5619047619047619,0.8195020746887967,0.5797101449275363
0.0,4.0,0.04,0.5,0.8212058212058212,0.5865384615384616,0.8174273858921162,0.580952380952381
0.0,4.0,0.008,-1.0,0.814968814968815,0.5658536585365853,0.8195020746887967,0.5714285714285715
0.0,4.0,0.008,0.0,0.7879417879417879,0.49,0.8423236514522822,0.6082474226804123
0.0,4.0,0.008,0.5,0.7858627858627859,0.46073298429319376,0.8153526970954357,0.5189189189189188
0.0,4.0,0.0016,-1.0,0.7920997920997921,0.3421052631578948,0.8381742738589212,0.5185185185185185
0.0,4.0,0.0016,0.0,0.7692307692307693,0.034782608695652174,0.7676348547717843,0.08196721311475409
0.0,4.0,0.0016,0.5,0.7692307692307693,0.0,0.7614107883817427,0.0
0.0,5.0,625.0,-1.0,0.8045738045738046,0.5566037735849056,0.7946058091286307,0.5437788018433181
0.0,5.0,625.0,0.0,0.814968814968815,0.5821596244131455,0.7863070539419087,0.5502183406113537
0.0,5.0,625.0,0.5,0.8108108108108109,0.5560975609756097,0.7966804979253111,0.5196078431372548
0.0,5.0,125.0,-1.0,0.8045738045738046,0.5566037735849056,0.7946058091286307,0.5437788018433181
0.0,5.0,125.0,0.0,0.814968814968815,0.5821596244131455,0.7863070539419087,0.5502183406113537
0.0,5.0,125.0,0.5,0.8108108108108109,0.5560975609756097,0.7966804979253111,0.5196078431372548
0.0,5.0,25.0,-1.0,0.8087318087318087,0.5619047619047619,0.7925311203319502,0.5575221238938054
0.0,5.0,25.0,0.0,0.814968814968815,0.5821596244131455,0.7863070539419087,0.5502183406113537
0.0,5.0,25.0,0.5,0.8108108108108109,0.5560975609756097,0.7966804979253111,0.5196078431372548
0.0,5.0,5.0,-1.0,0.8004158004158004,0.5789473684210527,0.7800829875518672,0.5583333333333333
0.0,5.0,5.0,0.0,0.814968814968815,0.5821596244131455,0.7863070539419087,0.5502183406113537
0.0,5.0,5.0,0.5,0.8108108108108109,0.5560975609756097,0.7966804979253111,0.5196078431372548
0.0,5.0,1.0,-1.0,0.8045738045738046,0.5523809523809523,0.7904564315352697,0.5550660792951542
0.0,5.0,1.0,0.0,0.8108108108108109,0.5727699530516432,0.7904564315352697,0.5627705627705628
0.0,5.0,1.0,0.5,0.8128898128898129,0.5408163265306122,0.8112033195020747,0.542713567839196
0.0,5.0,0.2,-1.0,0.8087318087318087,0.5740740740740742,0.8008298755186722,0.5789473684210527
0.0,5.0,0.2,0.0,0.814968814968815,0.5658536585365853,0.7925311203319502,0.5192307692307693
0.0,5.0,0.2,0.5,0.7941787941787942,0.5025125628140703,0.8070539419087137,0.5373134328358209
0.0,5.0,0.04,-1.0,0.8004158004158004,0.5471698113207547,0.8132780082987552,0.5871559633027522
0.0,5.0,0.04,0.0,0.8212058212058212,0.5612244897959183,0.8091286307053942,0.54
0.0,5.0,0.04,0.5,0.8108108108108109,0.5284974093264249,0.8091286307053942,0.5306122448979592
0.0,5.0,0.008,-1.0,0.8108108108108109,0.5027322404371585,0.8153526970954357,0.5572139303482586
0.0,5.0,0.008,0.0,0.8024948024948025,0.4571428571428572,0.8070539419087137,0.48618784530386744
0.0,5.0,0.008,0.5,0.7962577962577962,0.3875,0.8091286307053942,0.46511627906976744
0.0,5.0,0.0016,-1.0,0.7858627858627859,0.29931972789115646,0.7863070539419087,0.3178807947019867
0.0,5.0,0.0016,0.0,0.7422037422037422,0.0,0.7406639004149378,0.015748031496062992
0.0,5.0,0.0016,0.5,0.7463617463617463,0.0,0.7385892116182573,0.0
0.0,6.0,625.0,-1.0,0.7858627858627859,0.5928853754940712,0.8236514522821576,0.6046511627906976
0.0,6.0,625.0,0.0,0.7900207900207901,0.5877551020408164,0.8340248962655602,0.6428571428571428
0.0,6.0,625.0,0.5,0.7900207900207901,0.5809128630705394,0.8195020746887967,0.5671641791044776
0.0,6.0,125.0,-1.0,0.7858627858627859,0.5928853754940712,0.8236514522821576,0.6046511627906976
0.0,6.0,125.0,0.0,0.7837837837837838,0.5873015873015873,0.8278008298755186,0.6210045662100457
0.0,6.0,125.0,0.5,0.7900207900207901,0.5809128630705394,0.8195020746887967,0.5671641791044776
0.0,6.0,25.0,-1.0,0.7733887733887734,0.5725490196078431,0.8360995850622407,0.6488888888888888
0.0,6.0,25.0,0.0,0.7837837837837838,0.5873015873015873,0.8278008298755186,0.6210045662100457
0.0,6.0,25.0,0.5,0.7900207900207901,0.5809128630705394,0.8195020746887967,0.5671641791044776
0.0,6.0,5.0,-1.0,0.7858627858627859,0.5928853754940712,0.8195020746887967,0.5953488372093022
0.0,6.0,5.0,0.0,0.7837837837837838,0.5873015873015873,0.8278008298755186,0.6210045662100457
0.0,6.0,5.0,0.5,0.7900207900207901,0.5809128630705394,0.8195020746887967,0.5671641791044776
0.0,6.0,1.0,-1.0,0.7837837837837838,0.59375,0.8298755186721992,0.6238532110091743
0.0,6.0,1.0,0.0,0.7796257796257796,0.5760000000000001,0.8360995850622407,0.6325581395348837
0.0,6.0,1.0,0.5,0.7900207900207901,0.5809128630705394,0.8195020746887967,0.5671641791044776
0.0,6.0,0.2,-1.0,0.7879417879417879,0.5714285714285714,0.8340248962655602,0.6
0.0,6.0,0.2,0.0,0.7900207900207901,0.5843621399176955,0.8443983402489627,0.6341463414634146
0.0,6.0,0.2,0.5,0.7983367983367984,0.5688888888888889,0.8402489626556017,0.6010362694300518
0.0,6.0,0.04,-1.0,0.7941787941787942,0.5676855895196506,0.8174273858921162,0.5416666666666666
0.0,6.0,0.04,0.0,0.7941787941787942,0.547945205479452,0.8195020746887967,0.5297297297297298
0.0,6.0,0.04,0.5,0.8045738045738046,0.5688073394495412,0.8070539419087137,0.4972972972972973
0.0,6.0,0.008,-1.0,0.7983367983367984,0.5402843601895735,0.8195020746887967,0.5028571428571429
0.0,6.0,0.008,0.0,0.7754677754677755,0.39325842696629204,0.7946058091286307,0.3172413793103448
0.0,6.0,0.008,0.5,0.7255717255717256,0.13157894736842105,0.7614107883817427,0.08000000000000002
0.0,6.0,0.0016,-1.0,0.7255717255717256,0.09589041095890412,0.7676348547717843,0.0967741935483871
0.0,6.0,0.0016,0.0,0.7110187110187111,0.0,0.7551867219917012,0.0
0.0,6.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,7.0,625.0,-1.0,0.8212058212058212,0.6055045871559633,0.7883817427385892,0.5677966101694915
0.0,7.0,625.0,0.0,0.8232848232848233,0.6153846153846154,0.7697095435684648,0.5022421524663678
0.0,7.0,625.0,0.5,0.8232848232848233,0.5971563981042655,0.7883817427385892,0.5405405405405406
0.0,7.0,125.0,-1.0,0.8212058212058212,0.6055045871559633,0.7883817427385892,0.5677966101694915
0.0,7.0,125.0,0.0,0.8232848232848233,0.6153846153846154,0.7697095435684648,0.5022421524663678
0.0,7.0,125.0,0.5,0.8232848232848233,0.5971563981042655,0.7883817427385892,0.5405405405405406
0.0,7.0,25.0,-1.0,0.8191268191268192,0.6098654708520179,0.7842323651452282,0.5555555555555556
0.0,7.0,25.0,0.0,0.8232848232848233,0.6153846153846154,0.7697095435684648,0.5022421524663678
0.0,7.0,25.0,0.5,0.8357588357588358,0.6359447004608295,0.8029045643153527,0.5814977973568282
0.0,7.0,5.0,-1.0,0.8336798336798337,0.6396396396396398,0.7904564315352697,0.5702127659574469
0.0,7.0,5.0,0.0,0.8336798336798337,0.6296296296296297,0.7738589211618258,0.5112107623318385
0.0,7.0,5.0,0.5,0.8274428274428275,0.5990338164251208,0.7966804979253111,0.5625
0.0,7.0,1.0,-1.0,0.8316008316008316,0.6334841628959277,0.8008298755186722,0.5826086956521739
0.0,7.0,1.0,0.0,0.8295218295218295,0.6306306306306307,0.7780082987551867,0.5158371040723981
0.0,7.0,1.0,0.5,0.8316008316008316,0.6086956521739131,0.7842323651452282,0.5094339622641509
0.0,7.0,0.2,-1.0,0.8503118503118503,0.6666666666666666,0.7966804979253111,0.5663716814159292
0.0,7.0,0.2,0.0,0.8274428274428275,0.613953488372093,0.7759336099585062,0.5090909090909091
0.0,7.0,0.2,0.5,0.8212058212058212,0.57,0.8029045643153527,0.5622119815668202
0.0,7.0,0.04,-1.0,0.841995841995842,0.6237623762376238,0.8070539419087137,0.5674418604651164
0.0,7.0,0.04,0.0,0.8295218295218295,0.577319587628866,0.7904564315352697,0.4924623115577889
0.0,7.0,0.04,0.5,0.8232848232848233,0.5549738219895288,0.8049792531120332,0.5436893203883494
0.0,7.0,0.008,-1.0,0.8295218295218295,0.5591397849462365,0.8070539419087137,0.5373134328358209
