,ratio,trial,nu,val-acc,val-f,test-acc,test-f
2015-06-30 05:52:39.448547,0.0,0.0,0.75,0.6796116504854369,0.6024096385542168,0.7115384615384616,0.5945945945945945
2015-06-30 05:52:41.392576,0.0,0.0,0.66875,0.6407766990291263,0.5747126436781609,0.6634615384615384,0.5569620253164557
2015-06-30 05:52:42.073843,0.0,0.0,0.5875,0.6601941747572816,0.6153846153846155,0.6730769230769231,0.6046511627906977
2015-06-30 05:52:42.700716,0.0,0.0,0.50625,0.6601941747572816,0.6153846153846155,0.6923076923076923,0.6363636363636364
2015-06-30 05:52:43.384407,0.0,0.0,0.425,0.6796116504854369,0.6373626373626373,0.6826923076923077,0.6206896551724139
2015-06-30 05:52:44.184134,0.0,0.0,0.34375,0.3883495145631068,0.3225806451612903,0.3076923076923077,0.29411764705882354
2015-06-30 05:52:45.087474,0.0,0.0,0.26249999999999996,0.3592233009708738,0.29787234042553196,0.3076923076923077,0.28
2015-06-30 05:52:46.036987,0.0,0.0,0.18125000000000002,0.3883495145631068,0.37623762376237624,0.33653846153846156,0.3300970873786408
2015-06-30 05:52:46.828234,0.0,0.0,0.1,0.4563106796116505,0.4166666666666667,0.40384615384615385,0.40384615384615385
2015-06-30 05:52:47.524109,0.0,1.0,0.75,0.5339805825242718,0.0,0.5480769230769231,0.0
2015-06-30 05:52:48.566342,0.0,1.0,0.66875,0.6699029126213593,0.5641025641025641,0.6730769230769231,0.5142857142857143
2015-06-30 05:52:49.366397,0.0,1.0,0.5875,0.6990291262135923,0.6436781609195402,0.7211538461538461,0.6506024096385542
2015-06-30 05:52:50.039891,0.0,1.0,0.50625,0.7184466019417476,0.6666666666666667,0.7211538461538461,0.6506024096385542
2015-06-30 05:52:50.744636,0.0,1.0,0.425,0.7378640776699029,0.7216494845360826,0.7115384615384616,0.6590909090909092
2015-06-30 05:52:51.588225,0.0,1.0,0.34375,0.4563106796116505,0.3333333333333333,0.27884615384615385,0.09638554216867469
2015-06-30 05:52:52.660088,0.0,1.0,0.26249999999999996,0.47572815533980584,0.425531914893617,0.3269230769230769,0.23913043478260868
2015-06-30 05:52:53.466318,0.0,1.0,0.18125000000000002,0.4077669902912621,0.2823529411764706,0.3173076923076923,0.20224719101123598
2015-06-30 05:52:54.190337,0.0,1.0,0.1,0.4563106796116505,0.3636363636363636,0.3173076923076923,0.23655913978494622
