ratio,trial,C,val-acc,val-f,test-acc,test-f,comp_time
0.0,0.0,625.0,0.770750988142,0.491228070175,0.803921568627,0.553571428571,
0.0,0.0,125.0,0.774703557312,0.486486486486,0.8,0.532110091743,
0.0,0.0,25.0,0.766798418972,0.477876106195,0.788235294118,0.5,
0.0,0.0,5.0,0.770750988142,0.472727272727,0.8,0.532110091743,
0.0,0.0,1.0,0.770750988142,0.462962962963,0.803921568627,0.528301886792,
0.0,0.0,0.2,0.786561264822,0.25,0.780392156863,0.222222222222,
0.0,0.0,0.04,0.766798418972,0.0,0.756862745098,0.0,
0.0,0.0,0.008,0.766798418972,0.0,0.756862745098,0.0,
0.0,0.0,0.0016,0.766798418972,0.0,0.756862745098,0.0,
0.0,1.0,625.0,0.778656126482,0.461538461538,0.796078431373,0.5,
0.0,1.0,125.0,0.790513833992,0.522522522523,0.803921568627,0.553571428571,
0.0,1.0,25.0,0.802371541502,0.553571428571,0.796078431373,0.535714285714,
0.0,1.0,5.0,0.782608695652,0.485981308411,0.796078431373,0.543859649123,
0.0,1.0,1.0,0.754940711462,0.311111111111,0.776470588235,0.387096774194,
0.0,1.0,0.2,0.739130434783,0.0294117647059,0.760784313725,0.0615384615385,
0.0,1.0,0.04,0.735177865613,0.0,0.752941176471,0.0,
0.0,1.0,0.008,0.735177865613,0.0,0.752941176471,0.0,
0.0,1.0,0.0016,0.735177865613,0.0,0.752941176471,0.0,
0.0,2.0,625.0,0.762845849802,0.6,0.796078431373,0.573770491803,
0.0,2.0,125.0,0.754940711462,0.5,0.823529411765,0.526315789474,
0.0,2.0,25.0,0.758893280632,0.487394957983,0.827450980392,0.521739130435,
0.0,2.0,5.0,0.758893280632,0.478632478632,0.83137254902,0.527472527473,
0.0,2.0,1.0,0.750988142292,0.4,0.854901960784,0.564705882353,
0.0,2.0,0.2,0.727272727273,0.188235294118,0.807843137255,0.169491525424,
0.0,2.0,0.04,0.699604743083,0.0,0.796078431373,0.0,
0.0,2.0,0.008,0.699604743083,0.0,0.796078431373,0.0,
0.0,2.0,0.0016,0.699604743083,0.0,0.796078431373,0.0,
0.0,3.0,625.0,0.837944664032,0.585858585859,0.8,0.532110091743,
0.0,3.0,125.0,0.845849802372,0.621359223301,0.788235294118,0.517857142857,
0.0,3.0,25.0,0.841897233202,0.615384615385,0.788235294118,0.517857142857,
0.0,3.0,5.0,0.833992094862,0.588235294118,0.8,0.532110091743,
0.0,3.0,1.0,0.806324110672,0.436781609195,0.788235294118,0.448979591837,
0.0,3.0,0.2,0.762845849802,0.0,0.737254901961,0.0,
0.0,3.0,0.04,0.762845849802,0.0,0.737254901961,0.0,
0.0,3.0,0.008,0.762845849802,0.0,0.737254901961,0.0,
0.0,3.0,0.0016,0.762845849802,0.0,0.737254901961,0.0,
0.0,4.0,625.0,0.814229249012,0.576576576577,0.752941176471,0.582781456954,
0.0,4.0,125.0,0.841897233202,0.6,0.764705882353,0.577464788732,
0.0,4.0,25.0,0.833992094862,0.588235294118,0.76862745098,0.581560283688,
0.0,4.0,5.0,0.841897233202,0.607843137255,0.772549019608,0.579710144928,
0.0,4.0,1.0,0.830039525692,0.547368421053,0.76862745098,0.542635658915,
0.0,4.0,0.2,0.822134387352,0.415584415584,0.733333333333,0.392857142857,
0.0,4.0,0.04,0.818181818182,0.0,0.717647058824,0.0,
0.0,4.0,0.008,0.818181818182,0.0,0.717647058824,0.0,
0.0,4.0,0.0016,0.818181818182,0.0,0.717647058824,0.0,
0.0,5.0,625.0,0.778656126482,0.5625,0.745098039216,0.518518518519,
0.0,5.0,125.0,0.774703557312,0.551181102362,0.752941176471,0.533333333333,
0.0,5.0,25.0,0.782608695652,0.56,0.749019607843,0.515151515152,
0.0,5.0,5.0,0.762845849802,0.53125,0.741176470588,0.484375,
0.0,5.0,1.0,0.778656126482,0.525423728814,0.760784313725,0.50406504065,
0.0,5.0,0.2,0.790513833992,0.475247524752,0.764705882353,0.444444444444,
0.0,5.0,0.04,0.747035573123,0.0,0.76862745098,0.0,
0.0,5.0,0.008,0.747035573123,0.0,0.76862745098,0.0,
0.0,5.0,0.0016,0.747035573123,0.0,0.76862745098,0.0,
0.0,6.0,625.0,0.770750988142,0.482142857143,0.819607843137,0.54,
0.0,6.0,125.0,0.774703557312,0.504347826087,0.81568627451,0.543689320388,
0.0,6.0,25.0,0.782608695652,0.513274336283,0.83137254902,0.565656565657,
0.0,6.0,5.0,0.790513833992,0.522522522523,0.827450980392,0.521739130435,
0.0,6.0,1.0,0.782608695652,0.504504504505,0.823529411765,0.505494505495,
0.0,6.0,0.2,0.743083003953,0.368932038835,0.803921568627,0.444444444444,
0.0,6.0,0.04,0.719367588933,0.0,0.776470588235,0.0,
0.0,6.0,0.008,0.719367588933,0.0,0.776470588235,0.0,
0.0,6.0,0.0016,0.719367588933,0.0,0.776470588235,0.0,
0.0,7.0,625.0,0.814229249012,0.605042016807,0.788235294118,0.55,
0.0,7.0,125.0,0.814229249012,0.605042016807,0.807843137255,0.588235294118,
0.0,7.0,25.0,0.810276679842,0.593220338983,0.803921568627,0.568965517241,
0.0,7.0,5.0,0.814229249012,0.598290598291,0.807843137255,0.581196581197,
0.0,7.0,1.0,0.798418972332,0.540540540541,0.788235294118,0.517857142857,
0.0,7.0,0.2,0.810276679842,0.5,0.780392156863,0.450980392157,
0.0,7.0,0.04,0.778656126482,0.0344827586207,0.741176470588,0.0,
0.0,7.0,0.008,0.778656126482,0.0,0.741176470588,0.0,
0.0,7.0,0.0016,0.778656126482,0.0,0.741176470588,0.0,
0.0,8.0,625.0,0.810276679842,0.538461538462,0.76862745098,0.477876106195,
0.0,8.0,125.0,0.810276679842,0.563636363636,0.772549019608,0.5,
0.0,8.0,25.0,0.826086956522,0.6,0.764705882353,0.48275862069,
0.0,8.0,5.0,0.814229249012,0.525252525253,0.780392156863,0.471698113208,
0.0,8.0,1.0,0.830039525692,0.556701030928,0.78431372549,0.495412844037,
0.0,8.0,0.2,0.802371541502,0.431818181818,0.78431372549,0.466019417476,
0.0,8.0,0.04,0.770750988142,0.0,0.764705882353,0.0,
0.0,8.0,0.008,0.770750988142,0.0,0.764705882353,0.0,
0.0,8.0,0.0016,0.770750988142,0.0,0.764705882353,0.0,
0.0,9.0,625.0,0.802371541502,0.509803921569,0.807843137255,0.588235294118,
0.0,9.0,125.0,0.806324110672,0.52427184466,0.807843137255,0.588235294118,
0.0,9.0,25.0,0.806324110672,0.52427184466,0.8,0.564102564103,
0.0,9.0,5.0,0.802371541502,0.509803921569,0.792156862745,0.539130434783,
0.0,9.0,1.0,0.798418972332,0.451612903226,0.792156862745,0.539130434783,
0.0,9.0,0.2,0.794466403162,0.277777777778,0.760784313725,0.207792207792,
0.0,9.0,0.04,0.758893280632,0.0,0.741176470588,0.0,
0.0,9.0,0.008,0.758893280632,0.0,0.741176470588,0.0,
0.0,9.0,0.0016,0.758893280632,0.0,0.741176470588,0.0,
0.0,10.0,625.0,0.837944664032,0.568421052632,0.78431372549,0.504504504505,
0.0,10.0,125.0,0.837944664032,0.568421052632,0.796078431373,0.543859649123,
0.0,10.0,25.0,0.833992094862,0.54347826087,0.78431372549,0.513274336283,
0.0,10.0,5.0,0.833992094862,0.54347826087,0.780392156863,0.508771929825,
0.0,10.0,1.0,0.814229249012,0.447058823529,0.772549019608,0.462962962963,
0.0,10.0,0.2,0.802371541502,0.324324324324,0.772549019608,0.42,
0.0,10.0,0.04,0.774703557312,0.0,0.737254901961,0.0,
0.0,10.0,0.008,0.774703557312,0.0,0.737254901961,0.0,
0.0,10.0,0.0016,0.774703557312,0.0,0.737254901961,0.0,
0.0,11.0,625.0,0.778656126482,0.44,0.760784313725,0.429906542056,
0.0,11.0,125.0,0.770750988142,0.408163265306,0.756862745098,0.415094339623,
0.0,11.0,25.0,0.774703557312,0.424242424242,0.760784313725,0.419047619048,
0.0,11.0,5.0,0.778656126482,0.428571428571,0.756862745098,0.403846153846,
0.0,11.0,1.0,0.786561264822,0.4375,0.76862745098,0.415841584158,
0.0,11.0,0.2,0.766798418972,0.271604938272,0.776470588235,0.329411764706,
0.0,11.0,0.04,0.770750988142,0.0,0.749019607843,0.0,
0.0,11.0,0.008,0.770750988142,0.0,0.749019607843,0.0,
0.0,11.0,0.0016,0.770750988142,0.0,0.749019607843,0.0,
0.0,12.0,625.0,0.758893280632,0.596026490066,0.780392156863,0.5625,
0.0,12.0,125.0,0.794466403162,0.617647058824,0.780392156863,0.525423728814,
0.0,12.0,25.0,0.790513833992,0.607407407407,0.780392156863,0.525423728814,
0.0,12.0,5.0,0.798418972332,0.610687022901,0.776470588235,0.512820512821,
0.0,12.0,1.0,0.786561264822,0.542372881356,0.772549019608,0.462962962963,
0.0,12.0,0.2,0.770750988142,0.325581395349,0.76862745098,0.119402985075,
0.0,12.0,0.04,0.715415019763,0.0,0.776470588235,0.0,
0.0,12.0,0.008,0.715415019763,0.0,0.776470588235,0.0,
0.0,12.0,0.0016,0.715415019763,0.0,0.776470588235,0.0,
0.0,13.0,625.0,0.774703557312,0.536585365854,0.835294117647,0.588235294118,
0.0,13.0,125.0,0.778656126482,0.540983606557,0.839215686275,0.601941747573,
0.0,13.0,25.0,0.786561264822,0.55737704918,0.839215686275,0.601941747573,
0.0,13.0,5.0,0.798418972332,0.571428571429,0.835294117647,0.58,
0.0,13.0,1.0,0.814229249012,0.591304347826,0.847058823529,0.589473684211,
0.0,13.0,0.2,0.774703557312,0.412371134021,0.83137254902,0.481927710843,
0.0,13.0,0.04,0.747035573123,0.0,0.8,0.0,
0.0,13.0,0.008,0.747035573123,0.0,0.8,0.0,
0.0,13.0,0.0016,0.747035573123,0.0,0.8,0.0,
0.0,14.0,625.0,0.743083003953,0.434782608696,0.819607843137,0.574074074074,
0.0,14.0,125.0,0.743083003953,0.434782608696,0.81568627451,0.56880733945,
0.0,14.0,25.0,0.735177865613,0.407079646018,0.807843137255,0.550458715596,
0.0,14.0,5.0,0.739130434783,0.421052631579,0.803921568627,0.528301886792,
0.0,14.0,1.0,0.754940711462,0.392156862745,0.807843137255,0.505050505051,
0.0,14.0,0.2,0.758893280632,0.314606741573,0.807843137255,0.379746835443,
0.0,14.0,0.04,0.743083003953,0.0,0.76862745098,0.0,
0.0,14.0,0.008,0.743083003953,0.0,0.76862745098,0.0,
0.0,14.0,0.0016,0.743083003953,0.0,0.76862745098,0.0,
0.0,15.0,625.0,0.782608695652,0.495412844037,0.776470588235,0.521008403361,
0.0,15.0,125.0,0.782608695652,0.495412844037,0.772549019608,0.508474576271,
0.0,15.0,25.0,0.790513833992,0.51376146789,0.780392156863,0.51724137931,
