ratio,trial,C,val-acc,val-f,test-acc,test-f,comp_time
0.0,0.0,625.0,0.767151767152,0.525423728814,0.809128630705,0.648854961832,
0.0,0.0,125.0,0.800415800416,0.547169811321,0.796680497925,0.614173228346,
0.0,0.0,25.0,0.808731808732,0.566037735849,0.792531120332,0.603174603175,
0.0,0.0,5.0,0.806652806653,0.56338028169,0.798755186722,0.616600790514,
0.0,0.0,1.0,0.802494802495,0.558139534884,0.800829875519,0.625,
0.0,0.0,0.2,0.808731808732,0.574074074074,0.796680497925,0.608,
0.0,0.0,0.04,0.825363825364,0.584158415842,0.800829875519,0.6,
0.0,0.0,0.008,0.823284823285,0.535519125683,0.819502074689,0.591549295775,
0.0,0.0,0.0016,0.808731808732,0.313432835821,0.786307053942,0.317880794702,
0.0,1.0,625.0,0.781704781705,0.578313253012,0.829875518672,0.661157024793,
0.0,1.0,125.0,0.775467775468,0.571428571429,0.834024896266,0.663865546218,
0.0,1.0,25.0,0.777546777547,0.577075098814,0.834024896266,0.661016949153,
0.0,1.0,5.0,0.779625779626,0.576,0.834024896266,0.661016949153,
0.0,1.0,1.0,0.783783783784,0.587301587302,0.834024896266,0.661016949153,
0.0,1.0,0.2,0.777546777547,0.559670781893,0.834024896266,0.663865546218,
0.0,1.0,0.04,0.794178794179,0.563876651982,0.827800829876,0.637554585153,
0.0,1.0,0.008,0.790020790021,0.534562211982,0.827800829876,0.574358974359,
0.0,1.0,0.0016,0.794178794179,0.369426751592,0.809128630705,0.394736842105,
0.0,2.0,625.0,0.829521829522,0.661157024793,0.792531120332,0.586776859504,
0.0,2.0,125.0,0.850311850312,0.669724770642,0.796680497925,0.5625,
0.0,2.0,25.0,0.848232848233,0.666666666667,0.794605809129,0.56768558952,
0.0,2.0,5.0,0.841995841996,0.654545454545,0.798755186722,0.576419213974,
0.0,2.0,1.0,0.844074844075,0.660633484163,0.798755186722,0.576419213974,
0.0,2.0,0.2,0.848232848233,0.675555555556,0.796680497925,0.566371681416,
0.0,2.0,0.04,0.850311850312,0.672727272727,0.802904564315,0.570135746606,
0.0,2.0,0.008,0.850311850312,0.657142857143,0.798755186722,0.544600938967,
0.0,2.0,0.0016,0.831600831601,0.484076433121,0.811203319502,0.40522875817,
0.0,3.0,625.0,0.787941787942,0.55652173913,0.825726141079,0.614678899083,
0.0,3.0,125.0,0.802494802495,0.57399103139,0.821576763485,0.57,
0.0,3.0,25.0,0.804573804574,0.580357142857,0.823651452282,0.581280788177,
0.0,3.0,5.0,0.808731808732,0.585585585586,0.823651452282,0.581280788177,
0.0,3.0,1.0,0.810810810811,0.588235294118,0.821576763485,0.574257425743,
0.0,3.0,0.2,0.814968814969,0.593607305936,0.827800829876,0.587064676617,
0.0,3.0,0.04,0.810810810811,0.568720379147,0.831950207469,0.58883248731,
0.0,3.0,0.008,0.810810810811,0.547263681592,0.817427385892,0.5,
0.0,3.0,0.0016,0.75051975052,0.117647058824,0.771784232365,0.126984126984,
0.0,4.0,625.0,0.81288981289,0.583333333333,0.796680497925,0.595041322314,
0.0,4.0,125.0,0.787941787942,0.5,0.811203319502,0.584474885845,
0.0,4.0,25.0,0.790020790021,0.507317073171,0.819502074689,0.602739726027,
0.0,4.0,5.0,0.794178794179,0.517073170732,0.817427385892,0.596330275229,
0.0,4.0,1.0,0.790020790021,0.507317073171,0.813278008299,0.583333333333,
0.0,4.0,0.2,0.802494802495,0.512820512821,0.809128630705,0.570093457944,
0.0,4.0,0.04,0.802494802495,0.507772020725,0.819502074689,0.575609756098,
0.0,4.0,0.008,0.798336798337,0.458100558659,0.811203319502,0.523560209424,
0.0,4.0,0.0016,0.773388773389,0.18045112782,0.773858921162,0.22695035461,
0.0,5.0,625.0,0.802494802495,0.599156118143,0.798755186722,0.619607843137,
0.0,5.0,125.0,0.810810810811,0.602620087336,0.798755186722,0.565022421525,
0.0,5.0,25.0,0.827442827443,0.63436123348,0.800829875519,0.575221238938,
0.0,5.0,5.0,0.821205821206,0.622807017544,0.800829875519,0.575221238938,
0.0,5.0,1.0,0.817047817048,0.614035087719,0.807053941909,0.586666666667,
0.0,5.0,0.2,0.827442827443,0.631111111111,0.811203319502,0.595555555556,
0.0,5.0,0.04,0.827442827443,0.631111111111,0.800829875519,0.567567567568,
0.0,5.0,0.008,0.827442827443,0.60663507109,0.798755186722,0.522167487685,
0.0,5.0,0.0016,0.790020790021,0.303448275862,0.757261410788,0.181818181818,
0.0,6.0,625.0,0.798336798337,0.552995391705,0.800829875519,0.636363636364,
0.0,6.0,125.0,0.819126819127,0.562814070352,0.798755186722,0.597510373444,
0.0,6.0,25.0,0.814968814969,0.56157635468,0.802904564315,0.605809128631,
0.0,6.0,5.0,0.814968814969,0.56157635468,0.802904564315,0.605809128631,
0.0,6.0,1.0,0.814968814969,0.557213930348,0.804979253112,0.608333333333,
0.0,6.0,0.2,0.817047817048,0.555555555556,0.802904564315,0.599156118143,
0.0,6.0,0.04,0.81288981289,0.526315789474,0.800829875519,0.578947368421,
0.0,6.0,0.008,0.819126819127,0.513966480447,0.794605809129,0.543778801843,
0.0,6.0,0.0016,0.802494802495,0.296296296296,0.767634854772,0.282051282051,
0.0,7.0,625.0,0.821205821206,0.605504587156,0.765560165975,0.579925650558,
0.0,7.0,125.0,0.814968814969,0.582159624413,0.782157676349,0.591439688716,
0.0,7.0,25.0,0.827442827443,0.602870813397,0.788381742739,0.607692307692,
0.0,7.0,5.0,0.827442827443,0.602870813397,0.788381742739,0.607692307692,
0.0,7.0,1.0,0.827442827443,0.602870813397,0.790456431535,0.613026819923,
0.0,7.0,0.2,0.837837837838,0.617647058824,0.792531120332,0.603174603175,
0.0,7.0,0.04,0.852390852391,0.646766169154,0.802904564315,0.618473895582,
0.0,7.0,0.008,0.852390852391,0.594285714286,0.807053941909,0.567441860465,
0.0,7.0,0.0016,0.823284823285,0.308943089431,0.751037344398,0.2,
0.0,8.0,625.0,0.798336798337,0.583690987124,0.794605809129,0.552036199095,
0.0,8.0,125.0,0.817047817048,0.592592592593,0.809128630705,0.577981651376,
0.0,8.0,25.0,0.817047817048,0.603603603604,0.809128630705,0.585585585586,
