ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex
0.0,0,0.8,0.8518518518518519,0.806451612903226,0.7777777777777778,0.7428571428571428,True
0.0,0,0.7125,0.8518518518518519,0.806451612903226,0.7654320987654321,0.7246376811594204,True
0.0,0,0.625,0.8518518518518519,0.806451612903226,0.7654320987654321,0.7246376811594204,True
0.0,0,0.5375000000000001,0.8518518518518519,0.8181818181818182,0.8024691358024691,0.7777777777777778,True
0.0,0,0.45,0.8518518518518519,0.8181818181818182,0.8148148148148148,0.7945205479452054,True
0.0,0,0.3625,0.8518518518518519,0.8181818181818182,0.7901234567901234,0.767123287671233,True
0.0,0,0.275,0.8518518518518519,0.8235294117647058,0.8024691358024691,0.7948717948717948,True
0.0,0,0.1875,0.8765432098765432,0.8529411764705882,0.7901234567901234,0.7848101265822786,False
0.0,0,0.1,0.8518518518518519,0.8333333333333333,0.7901234567901234,0.7901234567901233,False
0.0,1,0.8,0.7901234567901234,0.7213114754098361,0.8148148148148148,0.7692307692307693,True
0.0,1,0.7125,0.8395061728395061,0.8059701492537312,0.8395061728395061,0.8115942028985509,True
0.0,1,0.625,0.8395061728395061,0.8169014084507041,0.8641975308641975,0.8493150684931507,True
0.0,1,0.5375000000000001,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.8648648648648648,True
0.0,1,0.45,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.8648648648648648,True
0.0,1,0.3625,0.8641975308641975,0.8493150684931507,0.8765432098765432,0.868421052631579,True
0.0,1,0.275,0.7901234567901234,0.7733333333333334,0.9012345679012346,0.9024390243902439,False
0.0,1,0.1875,0.7777777777777778,0.7749999999999999,0.8888888888888888,0.888888888888889,False
0.0,1,0.1,0.7777777777777778,0.7631578947368421,0.8641975308641975,0.8641975308641975,False
0.0,2,0.8,0.8888888888888888,0.8524590163934426,0.7777777777777778,0.7272727272727272,True
0.0,2,0.7125,0.8888888888888888,0.8524590163934426,0.7777777777777778,0.7272727272727272,True
0.0,2,0.625,0.8765432098765432,0.84375,0.7901234567901234,0.7536231884057971,True
0.0,2,0.5375000000000001,0.8641975308641975,0.8307692307692308,0.8271604938271605,0.7941176470588236,True
0.0,2,0.45,0.8518518518518519,0.8181818181818182,0.8271604938271605,0.7941176470588236,True
0.0,2,0.3625,0.8518518518518519,0.8181818181818182,0.8024691358024691,0.7714285714285715,True
0.0,2,0.275,0.8271604938271605,0.7941176470588235,0.7777777777777778,0.7428571428571429,True
0.0,2,0.1875,0.8518518518518519,0.8125,0.7654320987654321,0.732394366197183,False
0.0,2,0.1,0.8518518518518519,0.8181818181818182,0.7901234567901234,0.7605633802816902,False
0.0,3,0.8,0.8518518518518519,0.7931034482758621,0.8024691358024691,0.7837837837837838,True
0.0,3,0.7125,0.8395061728395061,0.7796610169491525,0.8024691358024691,0.7837837837837838,True
0.0,3,0.625,0.8395061728395061,0.7796610169491525,0.8024691358024691,0.7894736842105263,True
0.0,3,0.5375000000000001,0.8271604938271605,0.7812500000000001,0.8148148148148148,0.8051948051948051,True
0.0,3,0.45,0.8641975308641975,0.819672131147541,0.8148148148148148,0.8051948051948051,True
0.0,3,0.3625,0.8518518518518519,0.7999999999999999,0.8271604938271605,0.8157894736842105,True
0.0,3,0.275,0.8641975308641975,0.8135593220338982,0.8271604938271605,0.8157894736842105,False
0.0,3,0.1875,0.8024691358024691,0.7419354838709677,0.7777777777777778,0.7631578947368421,False
0.0,3,0.1,0.7777777777777778,0.689655172413793,0.7283950617283951,0.7027027027027027,False
0.0,4,0.8,0.8024691358024691,0.7333333333333334,0.8888888888888888,0.8571428571428572,True
0.0,4,0.7125,0.8395061728395061,0.7936507936507936,0.8765432098765432,0.8437500000000001,True
0.0,4,0.625,0.8271604938271605,0.78125,0.8765432098765432,0.8437500000000001,True
0.0,4,0.5375000000000001,0.8395061728395061,0.7936507936507936,0.8888888888888888,0.8571428571428572,True
0.0,4,0.45,0.8395061728395061,0.7936507936507936,0.8765432098765432,0.8437500000000001,True
0.0,4,0.3625,0.8518518518518519,0.8064516129032259,0.8765432098765432,0.8387096774193549,True
