ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,3.0,625.0,0.8641975308641975,0.8135593220338982,0.8148148148148148,0.8
0.0,3.0,125.0,0.8641975308641975,0.8135593220338982,0.8148148148148148,0.8
0.0,3.0,25.0,0.8641975308641975,0.8135593220338982,0.8148148148148148,0.8
0.0,3.0,5.0,0.8641975308641975,0.8135593220338982,0.8148148148148148,0.8
0.0,3.0,1.0,0.8518518518518519,0.7999999999999999,0.8271604938271605,0.8157894736842105
0.0,3.0,0.2,0.8765432098765432,0.8333333333333334,0.8271604938271605,0.8205128205128206
0.0,3.0,0.04,0.8271604938271605,0.7812500000000001,0.8148148148148148,0.8051948051948051
0.0,3.0,0.008,0.8395061728395061,0.7796610169491525,0.8148148148148148,0.8
0.0,3.0,0.0016,0.4074074074074074,0.5294117647058824,0.49382716049382713,0.6434782608695652
0.0,4.0,625.0,0.8518518518518519,0.8064516129032259,0.8641975308641975,0.8253968253968255
0.0,4.0,125.0,0.8518518518518519,0.8064516129032259,0.8641975308641975,0.8253968253968255
0.0,4.0,25.0,0.8518518518518519,0.8064516129032259,0.8641975308641975,0.8253968253968255
0.0,4.0,5.0,0.8518518518518519,0.8064516129032259,0.8641975308641975,0.8253968253968255
0.0,4.0,1.0,0.8395061728395061,0.7936507936507936,0.8765432098765432,0.8387096774193549
0.0,4.0,0.2,0.8518518518518519,0.8064516129032259,0.8888888888888888,0.8571428571428572
0.0,4.0,0.04,0.8395061728395061,0.7936507936507936,0.8888888888888888,0.8571428571428572
0.0,4.0,0.008,0.8395061728395061,0.7936507936507936,0.8765432098765432,0.8437500000000001
0.0,4.0,0.0016,0.6790123456790124,0.3157894736842105,0.691358024691358,0.4444444444444445
0.0,5.0,625.0,0.8271604938271605,0.8250000000000001,0.8395061728395061,0.7868852459016394
0.0,5.0,125.0,0.8271604938271605,0.8250000000000001,0.8395061728395061,0.7868852459016394
0.0,5.0,25.0,0.8271604938271605,0.8250000000000001,0.8271604938271605,0.7741935483870968
0.0,5.0,5.0,0.8271604938271605,0.8250000000000001,0.8271604938271605,0.7741935483870968
0.0,5.0,1.0,0.8395061728395061,0.8395061728395061,0.8518518518518519,0.793103448275862
0.0,5.0,0.2,0.8641975308641975,0.8641975308641976,0.8518518518518519,0.7999999999999999
0.0,5.0,0.04,0.8395061728395061,0.8395061728395061,0.8641975308641975,0.8135593220338984
0.0,5.0,0.008,0.8641975308641975,0.8571428571428571,0.8395061728395061,0.7719298245614035
0.0,5.0,0.0016,0.49382716049382713,0.0,0.5925925925925926,0.0
0.0,6.0,625.0,0.7654320987654321,0.7323943661971831,0.7777777777777778,0.7906976744186047
0.0,6.0,125.0,0.8024691358024691,0.7647058823529411,0.8024691358024691,0.8095238095238096
0.0,6.0,25.0,0.8024691358024691,0.7647058823529411,0.8024691358024691,0.8095238095238096
0.0,6.0,5.0,0.8024691358024691,0.7647058823529411,0.8024691358024691,0.8095238095238096
0.0,6.0,1.0,0.8395061728395061,0.8059701492537312,0.7901234567901234,0.7999999999999999
0.0,6.0,0.2,0.8765432098765432,0.8387096774193549,0.7901234567901234,0.7999999999999999
0.0,6.0,0.04,0.8888888888888888,0.8524590163934426,0.8641975308641975,0.8641975308641976
0.0,6.0,0.008,0.8765432098765432,0.8333333333333334,0.8765432098765432,0.8717948717948718
0.0,6.0,0.0016,0.6790123456790124,0.27777777777777773,0.6049382716049383,0.19999999999999998
0.0,7.0,625.0,0.8024691358024691,0.7714285714285716,0.8765432098765432,0.868421052631579
0.0,7.0,125.0,0.8024691358024691,0.7714285714285716,0.8765432098765432,0.868421052631579
0.0,7.0,25.0,0.8024691358024691,0.7714285714285716,0.8765432098765432,0.868421052631579
0.0,7.0,5.0,0.8024691358024691,0.7714285714285716,0.8765432098765432,0.868421052631579
0.0,7.0,1.0,0.8024691358024691,0.7777777777777778,0.8765432098765432,0.868421052631579
0.0,7.0,0.2,0.8148148148148148,0.7887323943661971,0.8518518518518519,0.8378378378378379
0.0,7.0,0.04,0.8271604938271605,0.8055555555555556,0.8271604938271605,0.8055555555555556
0.0,7.0,0.008,0.8148148148148148,0.7692307692307693,0.7654320987654321,0.7164179104477612
0.0,7.0,0.0016,0.5185185185185185,0.0,0.48148148148148145,0.0
0.0,8.0,625.0,0.8518518518518519,0.7999999999999999,0.7777777777777778,0.7567567567567569
0.0,8.0,125.0,0.8518518518518519,0.7999999999999999,0.7777777777777778,0.7567567567567569
0.0,8.0,25.0,0.8518518518518519,0.7999999999999999,0.7777777777777778,0.7500000000000001
0.0,8.0,5.0,0.8641975308641975,0.819672131147541,0.7901234567901234,0.767123287671233
0.0,8.0,1.0,0.8765432098765432,0.8387096774193549,0.7777777777777778,0.7500000000000001
0.0,8.0,0.2,0.8641975308641975,0.819672131147541,0.7901234567901234,0.767123287671233
0.0,8.0,0.04,0.8765432098765432,0.8333333333333334,0.8148148148148148,0.7945205479452054
0.0,8.0,0.008,0.8765432098765432,0.8333333333333334,0.8148148148148148,0.7945205479452054
0.0,8.0,0.0016,0.6296296296296297,0.0625,0.5308641975308642,0.05
0.0,9.0,625.0,0.8271604938271605,0.7999999999999999,0.8271604938271605,0.8108108108108107
0.0,9.0,125.0,0.8271604938271605,0.7999999999999999,0.8271604938271605,0.8108108108108107
0.0,9.0,25.0,0.8271604938271605,0.7999999999999999,0.8271604938271605,0.8108108108108107
0.0,9.0,5.0,0.8271604938271605,0.7999999999999999,0.8271604938271605,0.8108108108108107
0.0,9.0,1.0,0.8395061728395061,0.8115942028985507,0.8271604938271605,0.8108108108108107
0.0,9.0,0.2,0.8765432098765432,0.8571428571428571,0.8271604938271605,0.8108108108108107
0.0,9.0,0.04,0.8641975308641975,0.8405797101449276,0.8518518518518519,0.8378378378378379
0.0,9.0,0.008,0.8641975308641975,0.8253968253968254,0.8271604938271605,0.8055555555555556
0.0,9.0,0.0016,0.5555555555555556,0.0,0.5061728395061729,0.0
0.0,10.0,625.0,0.8271604938271605,0.8205128205128206,0.9135802469135802,0.8955223880597014
0.0,10.0,125.0,0.8271604938271605,0.8205128205128206,0.9135802469135802,0.8955223880597014
0.0,10.0,25.0,0.8148148148148148,0.810126582278481,0.9135802469135802,0.8955223880597014
0.0,10.0,5.0,0.8148148148148148,0.810126582278481,0.8888888888888888,0.8615384615384616
0.0,10.0,1.0,0.8271604938271605,0.8205128205128206,0.9012345679012346,0.8787878787878787
0.0,10.0,0.2,0.8148148148148148,0.810126582278481,0.9012345679012346,0.8787878787878787
0.0,10.0,0.04,0.8395061728395061,0.8266666666666667,0.9135802469135802,0.8955223880597014
0.0,10.0,0.008,0.8395061728395061,0.8219178082191781,0.8888888888888888,0.8524590163934426
0.0,10.0,0.0016,0.49382716049382713,0.0,0.5802469135802469,0.0
0.0,11.0,625.0,0.8024691358024691,0.7948717948717948,0.8024691358024691,0.7777777777777778
0.0,11.0,125.0,0.8024691358024691,0.7948717948717948,0.8148148148148148,0.7887323943661971
