ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,0.0,625.0,-1.0,0.7434782608695653,0.794425087108014,0.7316017316017316,0.8012820512820513
0.0,0.0,625.0,0.0,0.8043478260869565,0.8580441640378549,0.7748917748917749,0.8433734939759038
0.0,0.0,625.0,0.5,0.782608695652174,0.8310810810810811,0.7489177489177489,0.8152866242038216
0.0,0.0,125.0,-1.0,0.7434782608695653,0.794425087108014,0.7272727272727273,0.7974276527331189
0.0,0.0,125.0,0.0,0.7956521739130434,0.8507936507936508,0.7705627705627706,0.8389057750759878
0.0,0.0,125.0,0.5,0.782608695652174,0.8310810810810811,0.7489177489177489,0.8152866242038216
0.0,0.0,25.0,-1.0,0.7521739130434782,0.8027681660899654,0.7359307359307359,0.8013029315960912
0.0,0.0,25.0,0.0,0.7956521739130434,0.8469055374592833,0.7575757575757576,0.8271604938271605
0.0,0.0,25.0,0.5,0.782608695652174,0.8333333333333333,0.7402597402597403,0.8113207547169811
0.0,0.0,5.0,-1.0,0.7434782608695653,0.792982456140351,0.7272727272727273,0.7947882736156352
0.0,0.0,5.0,0.0,0.7782608695652173,0.8305647840531561,0.7532467532467533,0.8213166144200628
0.0,0.0,5.0,0.5,0.7956521739130434,0.842809364548495,0.7532467532467533,0.819047619047619
0.0,0.0,1.0,-1.0,0.7739130434782608,0.8219178082191781,0.7186147186147186,0.7896440129449839
0.0,0.0,1.0,0.0,0.7782608695652173,0.8294314381270902,0.7489177489177489,0.8164556962025317
0.0,0.0,1.0,0.5,0.8,0.8535031847133758,0.7575757575757576,0.825
0.0,0.0,0.2,-1.0,0.7695652173913043,0.8215488215488216,0.7272727272727273,0.7987220447284344
0.0,0.0,0.2,0.0,0.8043478260869565,0.8514851485148515,0.7532467532467533,0.8235294117647058
0.0,0.0,0.2,0.5,0.808695652173913,0.8552631578947367,0.7619047619047619,0.8318042813455657
0.0,0.0,0.04,-1.0,0.7913043478260869,0.8421052631578947,0.7662337662337663,0.8301886792452831
0.0,0.0,0.04,0.0,0.808695652173913,0.8616352201257861,0.7575757575757576,0.8303030303030302
0.0,0.0,0.04,0.5,0.8,0.8580246913580247,0.7532467532467533,0.8277945619335348
0.0,0.0,0.008,-1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.008,0.0,0.7304347826086957,0.8277777777777777,0.7012987012987013,0.8159999999999998
0.0,0.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,-1.0,0.6565217391304348,0.7926509186351706,0.670995670995671,0.8031088082901555
0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,1.0,625.0,-1.0,0.7391304347826086,0.7945205479452055,0.7359307359307359,0.7999999999999999
0.0,1.0,625.0,0.0,0.717391304347826,0.7826086956521738,0.7575757575757576,0.8205128205128206
0.0,1.0,625.0,0.5,0.7434782608695653,0.8052805280528054,0.7575757575757576,0.8227848101265823
0.0,1.0,125.0,-1.0,0.7304347826086957,0.7847222222222223,0.7359307359307359,0.7986798679867987
0.0,1.0,125.0,0.0,0.717391304347826,0.7826086956521738,0.7575757575757576,0.8205128205128206
0.0,1.0,125.0,0.5,0.7434782608695653,0.8052805280528054,0.7575757575757576,0.8227848101265823
0.0,1.0,25.0,-1.0,0.717391304347826,0.7735191637630663,0.7489177489177489,0.804054054054054
0.0,1.0,25.0,0.0,0.7217391304347827,0.7852348993288591,0.7445887445887446,0.8090614886731392
0.0,1.0,25.0,0.5,0.7434782608695653,0.8052805280528054,0.7575757575757576,0.8227848101265823
0.0,1.0,5.0,-1.0,0.7260869565217392,0.7835051546391752,0.7532467532467533,0.8093645484949833
0.0,1.0,5.0,0.0,0.7260869565217392,0.7878787878787878,0.7445887445887446,0.8102893890675241
0.0,1.0,5.0,0.5,0.7304347826086957,0.794701986754967,0.7532467532467533,0.8201892744479496
0.0,1.0,1.0,-1.0,0.7347826086956522,0.7959866220735785,0.7575757575757576,0.8193548387096774
0.0,1.0,1.0,0.0,0.7217391304347827,0.7866666666666666,0.7489177489177489,0.8164556962025317
0.0,1.0,1.0,0.5,0.7347826086956522,0.7999999999999999,0.7445887445887446,0.8138801261829652
0.0,1.0,0.2,-1.0,0.7434782608695653,0.802675585284281,0.7575757575757576,0.8193548387096774
0.0,1.0,0.2,0.0,0.7478260869565218,0.8116883116883117,0.7662337662337663,0.83125
0.0,1.0,0.2,0.5,0.7478260869565218,0.8129032258064517,0.7575757575757576,0.8292682926829269
0.0,1.0,0.04,-1.0,0.7608695652173914,0.8242811501597443,0.7748917748917749,0.8395061728395061
0.0,1.0,0.04,0.0,0.7391304347826086,0.8170731707317074,0.7575757575757576,0.8362573099415206
0.0,1.0,0.04,0.5,0.717391304347826,0.8059701492537313,0.7532467532467533,0.8347826086956521
0.0,1.0,0.008,-1.0,0.7478260869565218,0.8242424242424243,0.7532467532467533,0.8347826086956521
0.0,1.0,0.008,0.0,0.6652173913043479,0.7924528301886792,0.658008658008658,0.7870619946091645
0.0,1.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.0016,-1.0,0.6434782608695652,0.7830687830687831,0.6406926406926406,0.7810026385224274
0.0,1.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,2.0,625.0,-1.0,0.7739130434782608,0.8385093167701864,0.7619047619047619,0.8286604361370716
0.0,2.0,625.0,0.0,0.7652173913043478,0.8301886792452832,0.7705627705627706,0.8389057750759877
0.0,2.0,625.0,0.5,0.7739130434782608,0.8395061728395061,0.7619047619047619,0.8348348348348348
0.0,2.0,125.0,-1.0,0.7782608695652173,0.8430769230769231,0.7705627705627706,0.8417910447761194
0.0,2.0,125.0,0.0,0.7739130434782608,0.8375,0.7619047619047619,0.8328267477203647
0.0,2.0,125.0,0.5,0.7739130434782608,0.8395061728395061,0.7619047619047619,0.8348348348348348
0.0,2.0,25.0,-1.0,0.7739130434782608,0.8364779874213836,0.7705627705627706,0.832807570977918
0.0,2.0,25.0,0.0,0.7695652173913043,0.8348909657320872,0.7835497835497836,0.8466257668711655
0.0,2.0,25.0,0.5,0.7739130434782608,0.8395061728395061,0.7619047619047619,0.8348348348348348
0.0,2.0,5.0,-1.0,0.782608695652174,0.845679012345679,0.7489177489177489,0.8242424242424242
0.0,2.0,5.0,0.0,0.7695652173913043,0.8369230769230769,0.7792207792207793,0.846846846846847
0.0,2.0,5.0,0.5,0.7695652173913043,0.8348909657320872,0.7792207792207793,0.8477611940298507
0.0,2.0,1.0,-1.0,0.7608695652173914,0.8253968253968254,0.7619047619047619,0.8275862068965518
0.0,2.0,1.0,0.0,0.7782608695652173,0.8430769230769231,0.7748917748917749,0.844311377245509
0.0,2.0,1.0,0.5,0.7869565217391304,0.8501529051987768,0.7662337662337663,0.8392857142857143
0.0,2.0,0.2,-1.0,0.7608695652173914,0.8253968253968254,0.7575757575757576,0.8271604938271604
0.0,2.0,0.2,0.0,0.7739130434782608,0.8404907975460122,0.7835497835497836,0.8502994011976047
0.0,2.0,0.2,0.5,0.7695652173913043,0.8389057750759878,0.7792207792207793,0.8459214501510575
0.0,2.0,0.04,-1.0,0.782608695652174,0.8437499999999999,0.7835497835497836,0.8484848484848484
0.0,2.0,0.04,0.0,0.7652173913043478,0.8373493975903614,0.7965367965367965,0.8605341246290801
0.0,2.0,0.04,0.5,0.7608695652173914,0.8264984227129336,0.8008658008658008,0.8606060606060606
0.0,2.0,0.008,-1.0,0.7565217391304347,0.8381502890173411,0.7619047619047619,0.842406876790831
0.0,2.0,0.008,0.0,0.6956521739130435,0.8108108108108107,0.7012987012987013,0.8169761273209549
0.0,2.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,2.0,0.0016,-1.0,0.6608695652173913,0.7958115183246073,0.6666666666666666,0.8
0.0,2.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,3.0,625.0,-1.0,0.7130434782608696,0.7898089171974522,0.7922077922077922,0.8527607361963191
