ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex
0.0,0,0.65,0.782608695652174,0.8538011695906433,0.7272727272727273,0.8225352112676055,True
0.0,0,0.58125,0.7695652173913043,0.846376811594203,0.7316017316017316,0.8277777777777778,True
0.0,0,0.5125,0.7347826086956522,0.828169014084507,0.6926406926406926,0.8106666666666666,False
0.0,0,0.44375,0.8,0.8506493506493507,0.7619047619047619,0.8307692307692308,False
0.0,0,0.375,0.7956521739130434,0.8488745980707395,0.7619047619047619,0.8328267477203647,False
0.0,0,0.30625,0.8,0.8506493506493507,0.7619047619047619,0.8307692307692308,False
0.0,0,0.2375,0.7608695652173914,0.8083623693379791,0.7142857142857143,0.7843137254901961,False
0.0,0,0.16874999999999996,0.7434782608695653,0.790035587188612,0.70995670995671,0.7759197324414717,False
0.0,0,0.1,0.7217391304347827,0.7730496453900709,0.7186147186147186,0.7811447811447813,False
0.0,1,0.65,0.7521739130434782,0.8256880733944955,0.7489177489177489,0.8313953488372093,True
0.0,1,0.58125,0.7260869565217392,0.8141592920353983,0.7229437229437229,0.8181818181818183,True
0.0,1,0.5125,0.717391304347826,0.8104956268221574,0.7142857142857143,0.8146067415730337,True
0.0,1,0.44375,0.6782608695652174,0.7955801104972376,0.670995670995671,0.7934782608695653,False
0.0,1,0.375,0.7043478260869566,0.7806451612903226,0.7662337662337663,0.8322981366459626,False
0.0,1,0.30625,0.7347826086956522,0.8013029315960911,0.7532467532467533,0.8201892744479496,False
0.0,1,0.2375,0.7391304347826086,0.7986577181208053,0.7619047619047619,0.8220064724919094,False
0.0,1,0.16874999999999996,0.7347826086956522,0.7903780068728522,0.7445887445887446,0.802675585284281,False
0.0,1,0.1,0.691304347826087,0.7609427609427609,0.7229437229437229,0.7880794701986754,False
0.0,2,0.65,0.7652173913043478,0.8392857142857142,0.7792207792207793,0.8521739130434783,True
0.0,2,0.58125,0.7521739130434782,0.835734870317003,0.7662337662337663,0.8465909090909091,True
0.0,2,0.5125,0.7130434782608696,0.8146067415730336,0.7445887445887446,0.8356545961002786,False
0.0,2,0.44375,0.782608695652174,0.8484848484848485,0.8008658008658008,0.8622754491017963,False
0.0,2,0.375,0.782608695652174,0.8437499999999999,0.7575757575757576,0.8303030303030303,False
0.0,2,0.30625,0.7347826086956522,0.8013029315960912,0.7402597402597403,0.8076923076923078,False
0.0,2,0.2375,0.7478260869565218,0.8152866242038217,0.7272727272727273,0.7987220447284346,False
0.0,2,0.16874999999999996,0.7521739130434782,0.8106312292358804,0.7575757575757576,0.8169934640522876,False
0.0,2,0.1,0.7391304347826086,0.803921568627451,0.7402597402597403,0.793103448275862,False
0.0,3,0.65,0.6956521739130435,0.7904191616766468,0.7402597402597403,0.8275862068965517,True
0.0,3,0.58125,0.6956521739130435,0.7904191616766468,0.7532467532467533,0.8347826086956522,True
0.0,3,0.5125,0.7,0.7952522255192879,0.7445887445887446,0.8319088319088319,True
0.0,3,0.44375,0.717391304347826,0.7962382445141066,0.7792207792207793,0.8468468468468469,False
0.0,3,0.375,0.7,0.7863777089783283,0.7662337662337663,0.8392857142857144,False
0.0,3,0.30625,0.7304347826086957,0.8025477707006369,0.7878787878787878,0.8492307692307693,False
0.0,3,0.2375,0.7086956521739131,0.7759197324414715,0.7489177489177489,0.8198757763975155,False
0.0,3,0.16874999999999996,0.7086956521739131,0.7788778877887789,0.7359307359307359,0.807570977917981,False
0.0,3,0.1,0.6608695652173913,0.7364864864864864,0.7575757575757576,0.8271604938271604,False
0.0,4,0.65,0.7043478260869566,0.8131868131868132,0.696969696969697,0.8011363636363636,True
0.0,4,0.58125,0.7217391304347827,0.8192090395480225,0.7272727272727273,0.8141592920353982,True
