ratio,trial,C,val-acc,val-f,test-acc,test-f
0.0,0.0,625.0,0.7869565217391304,0.8382838283828383,0.7575757575757576,0.8260869565217391
0.0,0.0,125.0,0.7869565217391304,0.8382838283828383,0.7575757575757576,0.8260869565217391
0.0,0.0,25.0,0.7956521739130434,0.844884488448845,0.7619047619047619,0.8297213622291022
0.0,0.0,5.0,0.7956521739130434,0.844884488448845,0.7619047619047619,0.8297213622291022
0.0,0.0,1.0,0.7956521739130434,0.844884488448845,0.7619047619047619,0.8297213622291022
0.0,0.0,0.2,0.7913043478260869,0.8421052631578947,0.7619047619047619,0.8297213622291022
0.0,0.0,0.04,0.782608695652174,0.8355263157894738,0.7662337662337663,0.83125
0.0,0.0,0.008,0.8043478260869565,0.86404833836858,0.7272727272727273,0.8184438040345822
0.0,0.0,0.0016,0.6565217391304348,0.7926509186351706,0.670995670995671,0.8031088082901555
0.0,1.0,625.0,0.7347826086956522,0.7959866220735785,0.7619047619047619,0.8253968253968255
0.0,1.0,125.0,0.7347826086956522,0.7959866220735785,0.7619047619047619,0.8253968253968255
0.0,1.0,25.0,0.7347826086956522,0.7959866220735785,0.7619047619047619,0.8253968253968255
0.0,1.0,5.0,0.7347826086956522,0.7959866220735785,0.7619047619047619,0.8253968253968255
0.0,1.0,1.0,0.7347826086956522,0.7959866220735785,0.7532467532467533,0.8201892744479496
0.0,1.0,0.2,0.7478260869565218,0.8066666666666666,0.7619047619047619,0.8264984227129336
0.0,1.0,0.04,0.7739130434782608,0.8343949044585988,0.7662337662337663,0.8343558282208589
0.0,1.0,0.008,0.7521739130434782,0.8277945619335348,0.7489177489177489,0.8323699421965318
0.0,1.0,0.0016,0.6434782608695652,0.7830687830687831,0.6406926406926406,0.7810026385224274
0.0,2.0,625.0,0.7652173913043478,0.8301886792452832,0.7705627705627706,0.8389057750759877
0.0,2.0,125.0,0.7652173913043478,0.8301886792452832,0.7705627705627706,0.8389057750759877
0.0,2.0,25.0,0.7652173913043478,0.8301886792452832,0.7705627705627706,0.8389057750759877
0.0,2.0,5.0,0.7739130434782608,0.8364779874213836,0.7705627705627706,0.8389057750759877
0.0,2.0,1.0,0.7695652173913043,0.832807570977918,0.7662337662337663,0.8353658536585364
0.0,2.0,0.2,0.7739130434782608,0.8354430379746836,0.7748917748917749,0.8414634146341464
0.0,2.0,0.04,0.7739130434782608,0.8364779874213836,0.7792207792207793,0.8459214501510575
0.0,2.0,0.008,0.7565217391304347,0.8381502890173411,0.7619047619047619,0.842406876790831
0.0,2.0,0.0016,0.6608695652173913,0.7958115183246073,0.6666666666666666,0.8
0.0,3.0,625.0,0.7521739130434782,0.8167202572347266,0.7792207792207793,0.8411214953271029
0.0,3.0,125.0,0.7565217391304347,0.8205128205128205,0.7792207792207793,0.8411214953271029
0.0,3.0,25.0,0.7565217391304347,0.8205128205128205,0.7792207792207793,0.8411214953271029
0.0,3.0,5.0,0.7521739130434782,0.8167202572347266,0.7792207792207793,0.8411214953271029
0.0,3.0,1.0,0.7521739130434782,0.8167202572347266,0.7792207792207793,0.8421052631578947
0.0,3.0,0.2,0.7478260869565218,0.8152866242038217,0.7792207792207793,0.8421052631578947
0.0,3.0,0.04,0.7347826086956522,0.8087774294670846,0.7748917748917749,0.8404907975460122
0.0,3.0,0.008,0.6956521739130435,0.7904191616766468,0.7402597402597403,0.8275862068965517
0.0,3.0,0.0016,0.6217391304347826,0.7667560321715817,0.6536796536796536,0.7905759162303665
0.0,4.0,625.0,0.782608695652174,0.8466257668711655,0.7359307359307359,0.8038585209003216
0.0,4.0,125.0,0.782608695652174,0.8466257668711655,0.7359307359307359,0.8038585209003216
0.0,4.0,25.0,0.782608695652174,0.8466257668711655,0.7359307359307359,0.8038585209003216
0.0,4.0,5.0,0.7869565217391304,0.8492307692307693,0.7402597402597403,0.8089171974522292
0.0,4.0,1.0,0.7869565217391304,0.8492307692307693,0.7359307359307359,0.807570977917981
0.0,4.0,0.2,0.782608695652174,0.8456790123456789,0.7402597402597403,0.8089171974522292
0.0,4.0,0.04,0.782608695652174,0.8475609756097562,0.7186147186147186,0.7975077881619939
0.0,4.0,0.008,0.717391304347826,0.8137535816618912,0.70995670995671,0.7987987987987987
0.0,4.0,0.0016,0.6695652173913044,0.8020833333333333,0.6320346320346321,0.7745358090185676
0.0,5.0,625.0,0.7565217391304347,0.8193548387096773,0.7662337662337663,0.8312499999999999
0.0,5.0,125.0,0.7565217391304347,0.8193548387096773,0.7662337662337663,0.8312499999999999
0.0,5.0,25.0,0.7565217391304347,0.8193548387096773,0.7662337662337663,0.8312499999999999
0.0,5.0,5.0,0.7565217391304347,0.8193548387096773,0.7662337662337663,0.8312499999999999
0.0,5.0,1.0,0.7608695652173914,0.8231511254019294,0.7662337662337663,0.8312499999999999
0.0,5.0,0.2,0.7565217391304347,0.821656050955414,0.7662337662337663,0.8322981366459627
0.0,5.0,0.04,0.7521739130434782,0.822429906542056,0.7662337662337663,0.8353658536585366
0.0,5.0,0.008,0.7,0.8056338028169013,0.70995670995671,0.8154269972451791
0.0,5.0,0.0016,0.6304347826086957,0.7733333333333333,0.645021645021645,0.7842105263157895
0.0,6.0,625.0,0.7695652173913043,0.8389057750759877,0.7142857142857143,0.781456953642384
0.0,6.0,125.0,0.7695652173913043,0.8389057750759877,0.7142857142857143,0.781456953642384
0.0,6.0,25.0,0.7695652173913043,0.8389057750759877,0.7142857142857143,0.781456953642384
0.0,6.0,5.0,0.7695652173913043,0.8389057750759877,0.7142857142857143,0.781456953642384
0.0,6.0,1.0,0.7739130434782608,0.8414634146341463,0.7186147186147186,0.7854785478547854
0.0,6.0,0.2,0.7869565217391304,0.8537313432835821,0.7272727272727273,0.7934426229508197
0.0,6.0,0.04,0.7782608695652173,0.8486646884272996,0.7272727272727273,0.7961165048543689
0.0,6.0,0.008,0.782608695652174,0.8571428571428571,0.7186147186147186,0.7987616099071208
0.0,6.0,0.0016,0.691304347826087,0.8174807197943444,0.6233766233766234,0.768
0.0,7.0,625.0,0.8,0.85625,0.7705627705627706,0.844574780058651
0.0,7.0,125.0,0.8,0.85625,0.7748917748917749,0.847953216374269
0.0,7.0,25.0,0.8,0.85625,0.7748917748917749,0.847953216374269
0.0,7.0,5.0,0.8,0.85625,0.7748917748917749,0.847953216374269
0.0,7.0,1.0,0.8043478260869565,0.8598130841121495,0.7705627705627706,0.8454810495626823
0.0,7.0,0.2,0.8,0.8571428571428572,0.7705627705627706,0.8454810495626823
0.0,7.0,0.04,0.7869565217391304,0.8492307692307693,0.7705627705627706,0.8454810495626823
0.0,7.0,0.008,0.7304347826086957,0.8218390804597703,0.7359307359307359,0.8310249307479225
0.0,7.0,0.0016,0.6304347826086957,0.7733333333333333,0.6796536796536796,0.8092783505154639
0.0,8.0,625.0,0.7652173913043478,0.8343558282208589,0.7835497835497836,0.8466257668711655
0.0,8.0,125.0,0.7652173913043478,0.8343558282208589,0.7835497835497836,0.8466257668711655
0.0,8.0,25.0,0.7652173913043478,0.8343558282208589,0.7835497835497836,0.8466257668711655
0.0,8.0,5.0,0.7652173913043478,0.8343558282208589,0.7835497835497836,0.8466257668711655
0.0,8.0,1.0,0.7652173913043478,0.8343558282208589,0.7878787878787878,0.8492307692307692
0.0,8.0,0.2,0.7652173913043478,0.8343558282208589,0.7878787878787878,0.8492307692307692
0.0,8.0,0.04,0.7652173913043478,0.8353658536585364,0.7878787878787878,0.8492307692307692
0.0,8.0,0.008,0.7304347826086957,0.8187134502923977,0.7705627705627706,0.8463768115942029
0.0,8.0,0.0016,0.6391304347826087,0.779840848806366,0.670995670995671,0.8031088082901555
0.0,9.0,625.0,0.7739130434782608,0.8354430379746836,0.7316017316017316,0.7987012987012988
0.0,9.0,125.0,0.7739130434782608,0.8354430379746836,0.7316017316017316,0.7987012987012988
0.0,9.0,25.0,0.7739130434782608,0.8354430379746836,0.7316017316017316,0.7987012987012988
0.0,9.0,5.0,0.7739130434782608,0.8354430379746836,0.7316017316017316,0.7987012987012988
0.0,9.0,1.0,0.7739130434782608,0.8354430379746836,0.7316017316017316,0.7987012987012988
0.0,9.0,0.2,0.7652173913043478,0.8301886792452831,0.7402597402597403,0.803921568627451
0.0,9.0,0.04,0.7739130434782608,0.8375000000000001,0.7402597402597403,0.8076923076923076
0.0,9.0,0.008,0.7565217391304347,0.8313253012048193,0.7402597402597403,0.8125
