ratio,trial,nu,val-acc,val-f,test-acc,test-f,is_convex
0.0,0,0.75,0.6796116504854369,0.6024096385542168,0.7115384615384616,0.5945945945945945,True
0.0,0,0.66875,0.6407766990291263,0.5747126436781609,0.6634615384615384,0.5569620253164557,False
0.0,0,0.5875,0.6601941747572816,0.6153846153846155,0.6730769230769231,0.6046511627906977,False
0.0,0,0.50625,0.6796116504854369,0.6373626373626373,0.6826923076923077,0.6292134831460675,False
0.0,0,0.425,0.6796116504854369,0.6373626373626373,0.6826923076923077,0.6206896551724139,False
0.0,0,0.34375,0.6504854368932039,0.6086956521739131,0.6730769230769231,0.5952380952380952,False
0.0,0,0.26249999999999996,0.6310679611650486,0.5957446808510639,0.6442307692307693,0.5934065934065934,False
0.0,0,0.18125000000000002,0.6310679611650486,0.5957446808510639,0.6057692307692307,0.5591397849462366,False
0.0,0,0.1,0.6116504854368932,0.5918367346938775,0.6442307692307693,0.5842696629213482,False
0.0,1,0.75,0.5922330097087378,0.22222222222222218,0.625,0.38095238095238093,True
0.0,1,0.66875,0.6019417475728155,0.4810126582278481,0.625,0.5517241379310345,True
0.0,1,0.5875,0.6601941747572816,0.5679012345679012,0.6442307692307693,0.5747126436781609,False
0.0,1,0.50625,0.6893203883495146,0.6097560975609756,0.6730769230769231,0.6046511627906976,False
0.0,1,0.425,0.6407766990291263,0.5842696629213482,0.6346153846153846,0.5957446808510638,False
0.0,1,0.34375,0.6213592233009708,0.5411764705882354,0.625,0.5617977528089888,False
0.0,1,0.26249999999999996,0.6213592233009708,0.5617977528089888,0.6346153846153846,0.5777777777777778,False
0.0,1,0.18125000000000002,0.6310679611650486,0.5777777777777778,0.6346153846153846,0.5777777777777778,False
0.0,1,0.1,0.5728155339805825,0.48837209302325585,0.5576923076923077,0.46511627906976744,False
0.0,2,0.75,0.6310679611650486,0.5476190476190476,0.6057692307692307,0.4810126582278481,True
0.0,2,0.66875,0.5922330097087378,0.5227272727272727,0.6634615384615384,0.5783132530120482,True
0.0,2,0.5875,0.5825242718446602,0.5168539325842697,0.6634615384615384,0.5783132530120482,False
0.0,2,0.50625,0.5728155339805825,0.5111111111111111,0.6730769230769231,0.5952380952380952,False
0.0,2,0.425,0.5631067961165048,0.5054945054945056,0.6730769230769231,0.6046511627906977,False
0.0,2,0.34375,0.5436893203883495,0.4946236559139785,0.6442307692307693,0.5747126436781609,False
0.0,2,0.26249999999999996,0.5145631067961165,0.47916666666666663,0.6538461538461539,0.5909090909090909,False
0.0,2,0.18125000000000002,0.5533980582524272,0.5208333333333334,0.6634615384615384,0.5977011494252873,False
0.0,2,0.1,0.5339805825242718,0.5102040816326531,0.5096153846153846,0.43956043956043955,False
0.0,3,0.75,0.7669902912621359,0.7209302325581395,0.6538461538461539,0.5609756097560975,True
0.0,3,0.66875,0.7669902912621359,0.7142857142857142,0.6634615384615384,0.5679012345679012,False
0.0,3,0.5875,0.7766990291262136,0.7228915662650601,0.6730769230769231,0.5641025641025641,False
0.0,3,0.50625,0.7669902912621359,0.7209302325581395,0.6634615384615384,0.5783132530120482,False
0.0,3,0.425,0.7378640776699029,0.6966292134831461,0.6634615384615384,0.5977011494252874,False
0.0,3,0.34375,0.7572815533980582,0.7126436781609196,0.6346153846153846,0.5581395348837209,False
0.0,3,0.26249999999999996,0.7378640776699029,0.6966292134831461,0.6346153846153846,0.5681818181818182,False
0.0,3,0.18125000000000002,0.7475728155339806,0.6976744186046511,0.6346153846153846,0.5476190476190477,False
0.0,3,0.1,0.7669902912621359,0.7073170731707318,0.6346153846153846,0.5581395348837209,False
0.0,4,0.75,0.6504854368932039,0.48571428571428577,0.7115384615384616,0.5945945945945945,True
0.0,4,0.66875,0.6796116504854369,0.5352112676056338,0.7307692307692307,0.6410256410256411,False
0.0,4,0.5875,0.6990291262135923,0.5753424657534246,0.7307692307692307,0.65,False
0.0,4,0.50625,0.7572815533980582,0.6575342465753425,0.7115384615384616,0.6511627906976744,False
0.0,4,0.425,0.7475728155339806,0.6486486486486487,0.7403846153846154,0.6823529411764706,False
0.0,4,0.34375,0.34951456310679613,0.29473684210526313,0.3173076923076923,0.2526315789473685,False
0.0,4,0.26249999999999996,0.3592233009708738,0.29787234042553196,0.33653846153846156,0.2580645161290323,False
0.0,4,0.18125000000000002,0.36893203883495146,0.3157894736842105,0.27884615384615385,0.2424242424242424,False
0.0,4,0.1,0.5922330097087378,0.5434782608695652,0.5961538461538461,0.611111111111111,False
