ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR
0.0,0.0,0.9,0.05,0.7733333333333333,0.7988165680473372,0.7533333333333333,0.7597402597402597,-2.3321199327306603,-308.37945472047227
0.0,0.0,0.9,0.1,0.76,0.7647058823529411,0.7766666666666666,0.7563636363636362,-2.2820862407414815,-320.8519200983206
0.0,0.0,0.9,0.15,0.76,0.7647058823529411,0.7733333333333333,0.7536231884057971,-2.3198375058665985,-329.4457991995985
0.0,0.0,0.8,0.05,0.7666666666666667,0.7697368421052632,0.7766666666666666,0.7545787545787546,-1.7564201908899617,-226.36619248854925
0.0,0.0,0.8,0.1,0.76,0.7551020408163265,0.7866666666666666,0.7575757575757576,-1.7812603602186798,-239.58756174275786
0.0,0.0,0.8,0.15,0.7433333333333333,0.7259786476868327,0.77,0.7183673469387755,-1.7289130438440337,-247.22571028625154
0.0,0.0,0.7,0.05,0.75,0.7440273037542663,0.78,0.75,-1.440895170576878,-163.32636690206454
0.0,0.0,0.7,0.1,0.7533333333333333,0.7448275862068966,0.7766666666666666,0.7372549019607842,-1.432210897261941,-175.60162273579235
0.0,0.0,0.7,0.15,0.7466666666666667,0.7304964539007094,0.7866666666666666,0.744,-1.4340085396134639,-183.71115044525777
0.0,0.0,0.6,0.05,0.7766666666666666,0.7713310580204779,0.7933333333333333,0.7633587786259544,-1.1396567269040627,-110.88024850232188
0.0,0.0,0.6,0.1,0.7766666666666666,0.7649122807017543,0.7766666666666666,0.7413127413127414,-1.1130483692571542,-121.6788634732684
0.0,0.0,0.6,0.15,0.79,0.7709090909090909,0.7833333333333333,0.7410358565737052,-1.1804617941572944,-127.72177177607176
0.0,0.0,0.5,0.05,0.7733333333333333,0.7638888888888888,0.8,0.7709923664122138,-0.9203877842855714,-70.41502149297331
0.0,0.0,0.5,0.1,0.7766666666666666,0.7665505226480837,0.8,0.7692307692307693,-0.8998793311762473,-78.80983544973797
0.0,0.0,0.5,0.15,0.7466666666666667,0.7414965986394557,0.7933333333333333,0.7633587786259544,-0.9234373566018228,-83.56098683829367
0.0,0.0,0.4,0.05,0.7533333333333333,0.7516778523489933,0.7833333333333333,0.758364312267658,-0.6211041293659741,-40.04443856304363
0.0,0.0,0.4,0.1,0.74,0.7382550335570469,0.7866666666666666,0.773049645390071,-0.6125224759064022,-43.735207615204494
0.0,0.0,0.4,0.15,0.7433333333333333,0.7317073170731708,0.7833333333333333,0.7509578544061303,-0.6571900430988237,-50.1158451974903
0.0,0.0,0.29999999999999993,0.05,0.76,0.7599999999999999,0.7766666666666666,0.7509293680297398,-0.43465439728981836,-18.13351884804267
0.0,0.0,0.29999999999999993,0.1,0.7466666666666667,0.7516339869281046,0.7733333333333333,0.7553956834532374,-0.4121414178689879,-23.88528460028746
0.0,0.0,0.29999999999999993,0.15,0.7366666666666667,0.7228070175438596,0.7733333333333333,0.7424242424242424,-0.4648567070103535,-23.995366239683662
0.0,0.0,0.19999999999999996,0.05,0.7266666666666667,0.7132867132867132,0.78,0.7555555555555555,-0.19590545307235493,-6.800853319400357
0.0,0.0,0.19999999999999996,0.1,0.0,0.7322033898305085,0.0,0.710344827586207,5.953775373910483e-12,3.085561640321109e-10
0.0,0.0,0.19999999999999996,0.15,0.56,0.6775244299674267,0.5433333333333333,0.6778523489932886,5.319574916835252e-10,1.0556939555117481e-08
0.0,0.0,0.1,0.05,0.0,0.7515923566878983,0.0,0.7147766323024054,2.133231191379831e-11,4.0313580095397884e-10
0.0,0.0,0.1,0.1,0.46,0.47741935483870973,0.47333333333333333,0.5,0.9403572817774875,0.0
0.0,0.0,0.1,0.15,0.36,0.2992700729927007,0.3566666666666667,0.29818181818181816,2.3519079548054007,-46.59665889750322
0.0,1.0,0.9,0.05,0.75,0.7540983606557378,0.7933333333333333,0.7651515151515151,-2.1435905601100047,-291.4367984662416
0.0,1.0,0.9,0.1,0.75,0.7720364741641338,0.7566666666666667,0.7542087542087541,-2.2244549394865634,-304.88062148073993
0.0,1.0,0.9,0.15,0.55,0.7096774193548387,0.4866666666666667,0.6547085201793722,-82710463586.81113,-2427956958368.293
0.0,1.0,0.8,0.05,0.77,0.7915407854984894,0.7533333333333333,0.7430555555555556,-1.6564995531380626,-214.8451566372127
0.0,1.0,0.8,0.1,0.77,0.7766990291262137,0.7766666666666666,0.7615658362989324,-1.7335349961958346,-228.1245842827513
0.0,1.0,0.8,0.15,0.7566666666666667,0.7711598746081504,0.7633333333333333,0.7491166077738517,-1.7759432033066906,-235.4198529865132
0.0,1.0,0.7,0.05,0.7966666666666666,0.8145896656534954,0.7666666666666667,0.7569444444444444,-1.356714777380215,-154.9433449173261
0.0,1.0,0.7,0.1,0.7766666666666666,0.7975830815709971,0.7833333333333333,0.7735191637630662,-1.3719540087082238,-165.24095289944006
0.0,1.0,0.7,0.15,0.77,0.7940298507462686,0.7666666666666667,0.761904761904762,-1.3858019321762056,-171.63890098525277
0.0,1.0,0.6,0.05,0.7766666666666666,0.7963525835866262,0.79,0.7789473684210527,-1.0693345266313874,-106.9473757853584
0.0,1.0,0.6,0.1,0.7766666666666666,0.7925696594427244,0.7666666666666667,0.7535211267605635,-1.0628087104619082,-116.61257146437869
0.0,1.0,0.6,0.15,0.7866666666666666,0.8083832335329342,0.77,0.7676767676767677,-1.1154812523738389,-121.54270195693888
0.0,1.0,0.5,0.05,0.7866666666666666,0.8048780487804879,0.7833333333333333,0.7719298245614036,-0.8672643192146575,-68.1888727843309
0.0,1.0,0.5,0.1,0.7866666666666666,0.8083832335329342,0.7633333333333333,0.7576791808873721,-0.8450211939793844,-77.53556567499112
0.0,1.0,0.5,0.15,0.77,0.7927927927927927,0.79,0.7849829351535836,-0.8971555853796258,-82.14513258806289
0.0,1.0,0.4,0.05,0.8,0.8136645962732919,0.7666666666666667,0.7552447552447553,-0.575083073857154,-40.02130517994763
0.0,1.0,0.4,0.1,0.7666666666666667,0.7865853658536585,0.75,0.7440273037542663,-0.6029446638741314,-46.96374797613782
0.0,1.0,0.4,0.15,0.8,0.8159509202453987,0.7766666666666666,0.7681660899653979,-0.6667038051663625,-48.58951468123539
0.0,1.0,0.29999999999999993,0.05,0.81,0.819047619047619,0.7633333333333333,0.7473309608540927,-0.4484275189178745,-20.36691866496889
0.0,1.0,0.29999999999999993,0.1,0.79,0.8108108108108109,0.7766666666666666,0.7632508833922262,-0.4464885772323591,-24.670091858620612
0.0,1.0,0.29999999999999993,0.15,0.8033333333333333,0.8228228228228228,0.7433333333333333,0.7372013651877133,-0.4517459527403718,-21.841111227935954
0.0,1.0,0.19999999999999996,0.05,0.7966666666666666,0.8134556574923547,0.7666666666666667,0.7552447552447553,-0.21075469660054152,-7.55899137262573
0.0,1.0,0.19999999999999996,0.1,0.8033333333333333,0.8173374613003096,0.79,0.7820069204152249,-0.2607912709157216,-9.476325708771588
0.0,1.0,0.19999999999999996,0.15,0.7833333333333333,0.8071216617210683,0.7266666666666667,0.7337662337662337,-0.2738935977456715,-5.477871790249522
0.0,1.0,0.1,0.05,0.72,0.8060606060606059,0.6666666666666666,0.7459807073954984,6.234222688684372e-10,1.1964215346592149e-08
0.0,1.0,0.1,0.1,0.6366666666666667,0.653968253968254,0.64,0.6470588235294118,0.7326664108069328,0.0
0.0,1.0,0.1,0.15,0.47333333333333333,0.4697986577181208,0.4766666666666667,0.47491638795986624,1.9841412045465676,-39.351468338874426
0.0,2.0,0.9,0.05,0.78,0.762589928057554,0.78,0.762589928057554,-2.148653263077168,-295.29365259084375
0.0,2.0,0.9,0.1,0.7233333333333334,0.6639676113360323,0.7733333333333333,0.732283464566929,-2.1634742959020854,-311.1182866617265
0.0,2.0,0.9,0.15,0.47333333333333333,0.0,0.48,0.0,-51033260915.749626,-676632571217.8433
0.0,2.0,0.8,0.05,0.77,0.7526881720430108,0.7833333333333333,0.7653429602888087,-1.6459094093256665,-219.91885840645855
0.0,2.0,0.8,0.1,0.7533333333333333,0.7299270072992702,0.78,0.7537313432835822,-1.6848984814306698,-231.32331122578944
0.0,2.0,0.8,0.15,0.7233333333333334,0.6693227091633466,0.7666666666666667,0.7222222222222223,-1.8636885544511277,-240.7685616931155
0.0,2.0,0.7,0.05,0.7666666666666667,0.75,0.7866666666666666,0.7697841726618705,-1.3370688863703395,-159.61689114813464
0.0,2.0,0.7,0.1,0.76,0.7410071942446043,0.7733333333333333,0.7518248175182481,-1.3678859089400064,-170.29073850625934
0.0,2.0,0.7,0.15,0.7666666666666667,0.7463768115942029,0.7766666666666666,0.7527675276752767,-1.4083522795381964,-175.74563373627717
0.0,2.0,0.6,0.05,0.77,0.7595818815331011,0.7966666666666666,0.7874564459930313,-1.0940724395096275,-110.843838947139
0.0,2.0,0.6,0.1,0.7633333333333333,0.7491166077738516,0.7733333333333333,0.7638888888888888,-1.111548629186992,-120.81427475048045
0.0,2.0,0.6,0.15,0.7666666666666667,0.7445255474452555,0.7633333333333333,0.7418181818181818,-1.1127725238472008,-123.64794281830433
0.0,2.0,0.5,0.05,0.7633333333333333,0.757679180887372,0.7933333333333333,0.786206896551724,-0.8636892888329389,-72.5348306634573
0.0,2.0,0.5,0.1,0.7466666666666667,0.7449664429530201,0.76,0.7567567567567569,-0.8574608117139859,-80.74049387224234
0.0,2.0,0.5,0.15,0.7466666666666667,0.7449664429530201,0.75,0.7491638795986622,-0.8488745306238642,-84.34923830350071
0.0,2.0,0.4,0.05,0.7433333333333333,0.7353951890034365,0.7733333333333333,0.767123287671233,-0.6034753797401148,-41.60280457389766
0.0,2.0,0.4,0.1,0.75,0.7474747474747474,0.7833333333333333,0.7840531561461794,-0.6543317057150598,-49.462291976821064
0.0,2.0,0.4,0.15,0.7466666666666667,0.7516339869281045,0.79,0.7906976744186046,-0.6568335117596478,-51.54679838027467
0.0,2.0,0.29999999999999993,0.05,0.7566666666666667,0.7542087542087541,0.8233333333333334,0.8239202657807309,-0.4162186475713665,-22.204672842562804
0.0,2.0,0.29999999999999993,0.1,0.74,0.732876712328767,0.78,0.7755102040816326,-0.4503142300134131,-26.45922704094269
0.0,2.0,0.29999999999999993,0.15,0.74,0.732876712328767,0.7933333333333333,0.7933333333333332,-0.463208555502342,-23.870414459907547
0.0,2.0,0.19999999999999996,0.05,0.7533333333333333,0.7430555555555555,0.78,0.7676056338028169,-0.22332379102645608,-7.7607907189708145
0.0,2.0,0.19999999999999996,0.1,0.72,0.7142857142857144,0.76,0.7567567567567569,-0.2656069098265174,-8.641381441179702
0.0,2.0,0.19999999999999996,0.15,0.68,0.6756756756756758,0.7566666666666667,0.7508532423208191,-0.15780291546885628,-3.1560583045278534
0.0,2.0,0.1,0.05,0.33,0.6689895470383275,0.34,0.7103448275862069,2.030997939368118e-10,3.925985206004227e-09
0.0,2.0,0.1,0.1,0.5766666666666667,0.5916398713826365,0.59,0.5858585858585859,0.7462147179123093,0.0
0.0,2.0,0.1,0.15,0.3233333333333333,0.3555555555555555,0.3333333333333333,0.37499999999999994,2.1546288494595687,-42.895210920345676
0.0,3.0,0.9,0.05,0.73,0.7054545454545454,0.7433333333333333,0.717948717948718,-2.3449616071092367,-327.9293866008306
0.0,3.0,0.9,0.1,0.47,0.0,0.45666666666666667,0.0,-4550839483.834768,-43470051536.04076
0.0,3.0,0.9,0.15,0.47,0.0,0.45666666666666667,0.0,-25416056066.32115,-706030477105.145
0.0,3.0,0.8,0.05,0.75,0.734982332155477,0.76,0.7517241379310347,-1.8138114729533783,-244.4653769471986
0.0,3.0,0.8,0.1,0.7233333333333334,0.7025089605734766,0.7433333333333333,0.7259786476868327,-1.8969499329938488,-255.08497693183907
0.0,3.0,0.8,0.15,0.6866666666666666,0.6209677419354839,0.7233333333333334,0.6795366795366795,-2.13633664584952,-262.4760451241018
0.0,3.0,0.7,0.05,0.7533333333333333,0.7465753424657534,0.7733333333333333,0.7777777777777778,-1.4427441745832636,-179.88289348912164
0.0,3.0,0.7,0.1,0.7566666666666667,0.752542372881356,0.77,0.7722772277227723,-1.4580275118757222,-187.09330955211084
0.0,3.0,0.7,0.15,0.7366666666666667,0.7148014440433212,0.7566666666666667,0.7491408934707904,-1.4659260313889189,-189.46067169628057
0.0,3.0,0.6,0.05,0.7566666666666667,0.743859649122807,0.7966666666666666,0.8025889967637541,-1.1997387093053764,-126.99018158064138
0.0,3.0,0.6,0.1,0.7566666666666667,0.7456445993031358,0.7733333333333333,0.7748344370860927,-1.1843138139789242,-135.4492759347349
0.0,3.0,0.6,0.15,0.7466666666666667,0.7323943661971831,0.77,0.7676767676767677,-1.1839265662981096,-136.7538943111854
0.0,3.0,0.5,0.05,0.7433333333333333,0.7372013651877133,0.7866666666666666,0.7880794701986754,-0.9804724950359255,-83.88047312522815
0.0,3.0,0.5,0.1,0.7466666666666667,0.7466666666666666,0.7933333333333333,0.8,-0.9893293981126657,-91.33983180368173
0.0,3.0,0.5,0.15,0.75,0.7422680412371134,0.78,0.7799999999999999,-1.007701088845426,-93.85948581701632
0.0,3.0,0.4,0.05,0.75,0.7457627118644067,0.7766666666666666,0.784565916398714,-0.7521342420064845,-49.64982828592992
0.0,3.0,0.4,0.1,0.7366666666666667,0.726643598615917,0.7833333333333333,0.7909967845659164,-0.7248573220187733,-55.87817899352858
0.0,3.0,0.4,0.15,0.7166666666666667,0.7038327526132404,0.78,0.7799999999999999,-0.7366737088059265,-56.20569312080262
0.0,3.0,0.29999999999999993,0.05,0.71,0.7050847457627119,0.7633333333333333,0.7717041800643089,-0.4438064247686101,-21.578076792057097
0.0,3.0,0.29999999999999993,0.1,0.7,0.6917808219178081,0.7833333333333333,0.7909967845659164,-0.5057031647238606,-26.704506411014894
0.0,3.0,0.29999999999999993,0.15,0.7033333333333334,0.6855123674911661,0.7733333333333333,0.7763157894736842,-0.5001968432467273,-25.971088002250177
0.0,3.0,0.19999999999999996,0.05,0.7233333333333334,0.724252491694352,0.7833333333333333,0.7949526813880126,-0.24558177453596403,-8.416759598714718
0.0,3.0,0.19999999999999996,0.1,0.7366666666666667,0.7476038338658146,0.8133333333333334,0.8313253012048193,-0.2591392878180858,-8.193515470819241
0.0,3.0,0.19999999999999996,0.15,0.6366666666666667,0.6449511400651466,0.7266666666666667,0.74375,-0.20794488116927376,-4.158897601383959
0.0,3.0,0.1,0.05,0.0033333333333333335,0.6866666666666668,0.02,0.7707006369426751,1.0800420595878685e-10,2.024481830746252e-09
0.0,3.0,0.1,0.1,0.49333333333333335,0.5189873417721519,0.54,0.5818181818181818,0.8224440064508566,0.0
0.0,3.0,0.1,0.15,0.47,0.0,0.45666666666666667,0.0,194667168690.61557,-3644823017263.1304
0.0,4.0,0.9,0.05,0.7766666666666666,0.7598566308243728,0.72,0.702127659574468,-2.173851511401573,-311.24846364211334
0.0,4.0,0.9,0.1,0.48,0.0,0.45666666666666667,0.0,-7099001488.659921,-27774599760.24046
0.0,4.0,0.9,0.15,0.48,0.0,0.45666666666666667,0.0,-73565111750.26477,-1656663144630.3513
0.0,4.0,0.8,0.05,0.7666666666666667,0.7482014388489209,0.74,0.7328767123287672,-1.7540769765824131,-233.6227384181121
0.0,4.0,0.8,0.1,0.7533333333333333,0.7375886524822695,0.7566666666666667,0.7508532423208191,-1.7692463897611617,-244.89090004389595
0.0,4.0,0.8,0.15,0.7466666666666667,0.7142857142857143,0.7366666666666667,0.7188612099644129,-1.8548635768745017,-251.7112314323602
0.0,4.0,0.7,0.05,0.7833333333333333,0.7719298245614036,0.78,0.777027027027027,-1.3965474321376103,-171.33279102608
0.0,4.0,0.7,0.1,0.7766666666666666,0.7649122807017544,0.7966666666666666,0.8051118210862621,-1.3827275829595418,-180.52469360080605
0.0,4.0,0.7,0.15,0.7733333333333333,0.7588652482269503,0.76,0.7567567567567567,-1.4276049810712812,-185.2928358856785
0.0,4.0,0.6,0.05,0.7933333333333333,0.7801418439716312,0.7833333333333333,0.7840531561461794,-1.1406368917650518,-119.86597206292954
0.0,4.0,0.6,0.1,0.7833333333333333,0.7766323024054982,0.7766666666666666,0.7817589576547231,-1.149299004723269,-129.43957553691007
0.0,4.0,0.6,0.15,0.7766666666666666,0.7681660899653979,0.7933333333333333,0.7987012987012988,-1.1587445705225954,-132.80694554746015
0.0,4.0,0.5,0.05,0.7933333333333333,0.7816901408450705,0.7866666666666666,0.7908496732026145,-0.9158166986575619,-79.160088860426
0.0,4.0,0.5,0.1,0.7766666666666666,0.7697594501718212,0.7833333333333333,0.7909967845659164,-0.9378655098912643,-87.27459136937523
0.0,4.0,0.5,0.15,0.7766666666666666,0.7697594501718212,0.7766666666666666,0.7831715210355987,-0.974796858579447,-90.05673126643433
0.0,4.0,0.4,0.05,0.8,0.7902097902097902,0.7866666666666666,0.7880794701986754,-0.6678614390058251,-47.64645134908323
0.0,4.0,0.4,0.1,0.7733333333333333,0.7638888888888888,0.78,0.7843137254901961,-0.6930421218198656,-54.20992391258639
0.0,4.0,0.4,0.15,0.7766666666666666,0.7728813559322034,0.7766666666666666,0.7859424920127794,-0.6857464663934267,-54.72684330908956
0.0,4.0,0.29999999999999993,0.05,0.7966666666666666,0.7946127946127945,0.8033333333333333,0.8078175895765473,-0.49107814198669275,-23.758090103861413
0.0,4.0,0.29999999999999993,0.1,0.76,0.7583892617449665,0.76,0.7677419354838709,-0.49442802592886076,-29.211628890158746
0.0,4.0,0.29999999999999993,0.15,0.8033333333333333,0.8039867109634552,0.7866666666666666,0.7935483870967743,-0.5525719406838289,-29.4232539806505
0.0,4.0,0.19999999999999996,0.05,0.7266666666666667,0.7302631578947367,0.7833333333333333,0.7923322683706071,-0.23314491796297832,-7.51251254095964
0.0,4.0,0.19999999999999996,0.1,0.7366666666666667,0.7375415282392025,0.7966666666666666,0.7986798679867987,-0.30534037112418777,-10.907562312268057
0.0,4.0,0.19999999999999996,0.15,0.58,0.7058823529411765,0.6366666666666667,0.7476635514018691,1.5675382514917373e-10,3.2043009786933777e-09
0.0,4.0,0.1,0.05,0.0,0.7331189710610931,0.0,0.7788161993769471,6.330725236865208e-11,1.2262618249237354e-09
0.0,4.0,0.1,0.1,0.51,0.5362776025236593,0.5733333333333334,0.5949367088607594,0.8212993541491888,0.0
0.0,4.0,0.1,0.15,0.48,0.0,0.45666666666666667,0.0,24311802436.147804,-451884973079.02277
0.0,5.0,0.9,0.05,0.4633333333333333,0.0,0.43666666666666665,0.0,-4695510124.333263,-27286018744.479134
0.0,5.0,0.9,0.1,0.4633333333333333,0.0,0.43666666666666665,0.0,-7811188742.920242,-188849457360.39282
0.0,5.0,0.9,0.15,0.4633333333333333,0.0,0.43666666666666665,0.0,-23319337488.294857,-974154000378.97
0.0,5.0,0.8,0.05,0.7466666666666667,0.7142857142857142,0.74,0.7272727272727274,-1.804879772564537,-254.15054407377698
0.0,5.0,0.8,0.1,0.6866666666666666,0.6050420168067226,0.6766666666666666,0.6135458167330677,-2.0830860807763365,-273.8180840994648
0.0,5.0,0.8,0.15,0.4633333333333333,0.0,0.43666666666666665,0.0,-2381421424.0756807,-14159665869.078445
0.0,5.0,0.7,0.05,0.75,0.7330960854092526,0.77,0.7661016949152543,-1.5151090161783567,-188.30811163383353
0.0,5.0,0.7,0.1,0.74,0.713235294117647,0.7666666666666667,0.7586206896551725,-1.5569088169100147,-201.86189014825314
0.0,5.0,0.7,0.15,0.72,0.6744186046511628,0.7233333333333334,0.6891385767790262,-1.653231801196871,-208.5987810928768
0.0,5.0,0.6,0.05,0.76,0.7446808510638298,0.7766666666666666,0.7803278688524591,-1.2305447389311315,-133.3243791839949
0.0,5.0,0.6,0.1,0.74,0.723404255319149,0.7633333333333333,0.7560137457044672,-1.2484702280987603,-145.3976878405721
0.0,5.0,0.6,0.15,0.7433333333333333,0.7116104868913858,0.7533333333333333,0.7394366197183099,-1.3140512420699801,-147.58351414047993
0.0,5.0,0.5,0.05,0.76,0.7464788732394366,0.7733333333333333,0.7733333333333332,-1.0117444908543942,-88.45438962458698
0.0,5.0,0.5,0.1,0.7766666666666666,0.7665505226480837,0.7733333333333333,0.7718120805369129,-1.0189060194394415,-99.61738001674863
0.0,5.0,0.5,0.15,0.7533333333333333,0.7357142857142857,0.7666666666666667,0.761904761904762,-1.0552036394914481,-101.52820496016597
0.0,5.0,0.4,0.05,0.7833333333333333,0.7750865051903115,0.79,0.797427652733119,-0.7414438537550357,-50.5546813665938
0.0,5.0,0.4,0.1,0.77,0.7578947368421053,0.76,0.7615894039735099,-0.838762359241272,-61.23053780103258
0.0,5.0,0.4,0.15,0.7733333333333333,0.7605633802816902,0.76,0.7631578947368421,-0.8554828078294495,-62.67554822577965
0.0,5.0,0.29999999999999993,0.05,0.7766666666666666,0.7744107744107743,0.7933333333333333,0.8074534161490683,-0.5142647586069605,-25.584417129810095
0.0,5.0,0.29999999999999993,0.1,0.76,0.7551020408163265,0.7766666666666666,0.7845659163987139,-0.5849958339465743,-32.91639352353734
0.0,5.0,0.29999999999999993,0.15,0.78,0.7755102040816326,0.7666666666666667,0.787878787878788,-0.5822015271786748,-30.712616026563616
0.0,5.0,0.19999999999999996,0.05,0.7766666666666666,0.7774086378737541,0.7766666666666666,0.793846153846154,-0.2312053631740368,-7.022004440696169
0.0,5.0,0.19999999999999996,0.1,0.78,0.7828947368421051,0.7233333333333334,0.7313915857605179,-0.2693202252129875,-8.994021650190529
0.0,5.0,0.19999999999999996,0.15,0.7866666666666666,0.7880794701986755,0.6966666666666667,0.7165109034267914,-0.24376056782518238,-4.875211343654263
0.0,5.0,0.1,0.05,0.03,0.770764119601329,0.016666666666666666,0.7244582043343654,1.0507290412098277e-10,1.9583020989155278e-09
0.0,5.0,0.1,0.1,0.6,0.6129032258064516,0.5033333333333333,0.565597667638484,0.7787726843910885,0.0
0.0,5.0,0.1,0.15,0.41,0.4839650145772595,0.36333333333333334,0.43323442136498513,2.135760166274605,-42.60847546940391
0.0,6.0,0.9,0.05,0.49666666666666665,0.6636971046770601,0.5066666666666667,0.6725663716814159,-4663779473.858669,-53035225683.380295
0.0,6.0,0.9,0.1,0.49666666666666665,0.6636971046770601,0.5066666666666667,0.6725663716814159,-31147310866.99266,-919646592046.5355
0.0,6.0,0.9,0.15,0.49666666666666665,0.6636971046770601,0.5066666666666667,0.6725663716814159,-512337221963.36334,-24027104584934.387
0.0,6.0,0.8,0.05,0.7933333333333333,0.7847222222222222,0.7833333333333333,0.7811447811447813,-1.71500711144071,-211.36356981154765
0.0,6.0,0.8,0.1,0.77,0.7628865979381444,0.78,0.7755102040816326,-1.7698080130702631,-226.47156783778587
0.0,6.0,0.8,0.15,0.7666666666666667,0.7586206896551725,0.7666666666666667,0.7569444444444444,-1.7986900900145804,-235.80954504668702
0.0,6.0,0.7,0.05,0.7966666666666666,0.7932203389830508,0.81,0.8067796610169493,-1.3062006878635826,-153.35887834827477
0.0,6.0,0.7,0.1,0.8,0.793103448275862,0.8066666666666666,0.8,-1.2922548706052017,-165.0437337366948
0.0,6.0,0.7,0.15,0.8,0.7872340425531915,0.7933333333333333,0.7832167832167832,-1.332398414256969,-172.47203677092557
0.0,6.0,0.6,0.05,0.8,0.7972972972972974,0.82,0.8175675675675677,-1.033642874359744,-106.21599243509019
0.0,6.0,0.6,0.1,0.7966666666666666,0.7946127946127945,0.81,0.8054607508532423,-1.0499183163790364,-117.32881425043445
0.0,6.0,0.6,0.15,0.8066666666666666,0.7999999999999999,0.79,0.7804878048780488,-1.1065118144444601,-123.87957228114892
0.0,6.0,0.5,0.05,0.7833333333333333,0.7868852459016392,0.8133333333333334,0.8157894736842104,-0.9007622465859667,-68.43947701357133
0.0,6.0,0.5,0.1,0.7966666666666666,0.7973421926910299,0.8133333333333334,0.8120805369127516,-0.8764655122662934,-78.70864888893772
0.0,6.0,0.5,0.15,0.7833333333333333,0.7796610169491526,0.7966666666666666,0.7986798679867987,-0.8948950031302685,-78.8823293442481
0.0,6.0,0.4,0.05,0.7933333333333333,0.7999999999999999,0.7866666666666666,0.7961783439490446,-0.6153172413238064,-37.191588665083955
0.0,6.0,0.4,0.1,0.7766666666666666,0.7831715210355987,0.7966666666666666,0.8051118210862621,-0.6419158243022605,-44.28731964625799
0.0,6.0,0.4,0.15,0.7733333333333333,0.7733333333333333,0.78,0.7828947368421053,-0.6747433608148763,-46.85446320769864
0.0,6.0,0.29999999999999993,0.05,0.7733333333333333,0.7861635220125786,0.7733333333333333,0.7834394904458598,-0.38567029246186824,-16.88532029725782
0.0,6.0,0.29999999999999993,0.1,0.7666666666666667,0.7798742138364779,0.7666666666666667,0.7852760736196318,-0.40692070044980255,-22.581996394507687
0.0,6.0,0.29999999999999993,0.15,0.7666666666666667,0.7770700636942676,0.76,0.7662337662337663,-0.4172810607198672,-21.18913765875844
0.0,6.0,0.19999999999999996,0.05,0.08333333333333333,0.75,0.08666666666666667,0.7507692307692309,-4.1568223814414935e-11,1.2593295637495652e-09
0.0,6.0,0.19999999999999996,0.1,0.6366666666666667,0.7508090614886731,0.62,0.7381703470031546,2.2735746324292846e-10,1.3526431851052545e-08
0.0,6.0,0.19999999999999996,0.15,0.3566666666666667,0.6666666666666667,0.3433333333333333,0.6558441558441558,1.8531202791060376e-10,3.624240851845568e-09
0.0,6.0,0.1,0.05,0.08,0.7836990595611285,0.08333333333333333,0.736842105263158,8.703601987727052e-11,2.351628736937083e-09
0.0,6.0,0.1,0.1,0.49,0.4813559322033898,0.5,0.4966442953020134,0.8607800376393194,0.0
0.0,6.0,0.1,0.15,0.3,0.21641791044776118,0.31666666666666665,0.259927797833935,2.5445106207589703,-50.15998245748958
0.0,7.0,0.9,0.05,0.7466666666666667,0.696,0.7866666666666666,0.7777777777777778,-2.2316191650517463,-310.2138813706827
0.0,7.0,0.9,0.1,0.5,0.0,0.43333333333333335,0.0,-8305298893.930321,-48343238169.15913
0.0,7.0,0.9,0.15,0.5,0.0,0.43333333333333335,0.0,-485742572594.41534,-11726748147773.523
0.0,7.0,0.8,0.05,0.7433333333333333,0.7049808429118773,0.77,0.7661016949152543,-1.7133631511470508,-231.85409322599878
0.0,7.0,0.8,0.1,0.7366666666666667,0.6827309236947791,0.7766666666666666,0.7665505226480837,-1.7819096379208414,-246.43169138849507
