ratio,trial,nu,val-acc,val-f,test-acc,test-f
0.0,0,0.75,0.6796116504854369,0.6024096385542168,0.7115384615384616,0.5945945945945945
0.0,0,0.66875,0.6407766990291263,0.5747126436781609,0.6634615384615384,0.5569620253164557
0.0,0,0.5875,0.6601941747572816,0.6153846153846155,0.6730769230769231,0.6046511627906977
0.0,0,0.50625,0.6601941747572816,0.6153846153846155,0.6923076923076923,0.6363636363636364
0.0,0,0.425,0.6796116504854369,0.6373626373626373,0.6826923076923077,0.6206896551724139
0.0,0,0.34375,0.3883495145631068,0.3225806451612903,0.3076923076923077,0.29411764705882354
0.0,0,0.26249999999999996,0.3592233009708738,0.29787234042553196,0.3076923076923077,0.28
0.0,0,0.18125000000000002,0.3883495145631068,0.37623762376237624,0.33653846153846156,0.3300970873786408
0.0,0,0.1,0.4563106796116505,0.4166666666666667,0.40384615384615385,0.40384615384615385
0.0,1,0.75,0.5339805825242718,0.0,0.5480769230769231,0.0
0.0,1,0.66875,0.6699029126213593,0.5641025641025641,0.6730769230769231,0.5142857142857143
0.0,1,0.5875,0.6990291262135923,0.6436781609195402,0.7211538461538461,0.6506024096385542
0.0,1,0.50625,0.7184466019417476,0.6666666666666667,0.7211538461538461,0.6506024096385542
0.0,1,0.425,0.7378640776699029,0.7216494845360826,0.7115384615384616,0.6590909090909092
0.0,1,0.34375,0.4563106796116505,0.3333333333333333,0.27884615384615385,0.09638554216867469
0.0,1,0.26249999999999996,0.47572815533980584,0.425531914893617,0.3269230769230769,0.23913043478260868
0.0,1,0.18125000000000002,0.4077669902912621,0.2823529411764706,0.3173076923076923,0.20224719101123598
0.0,1,0.1,0.4563106796116505,0.3636363636363636,0.3173076923076923,0.23655913978494622
0.0,2,0.75,0.6699029126213593,0.5641025641025641,0.6153846153846154,0.5
0.0,2,0.66875,0.6407766990291263,0.5747126436781609,0.6634615384615384,0.5783132530120482
0.0,2,0.5875,0.6504854368932039,0.5714285714285714,0.7115384615384616,0.6341463414634145
0.0,2,0.50625,0.6504854368932039,0.5714285714285714,0.7211538461538461,0.6329113924050633
0.0,2,0.425,0.6407766990291263,0.5747126436781609,0.7115384615384616,0.6341463414634145
0.0,2,0.34375,0.36893203883495146,0.2857142857142857,0.38461538461538464,0.28888888888888886
0.0,2,0.26249999999999996,0.34951456310679613,0.3092783505154639,0.36538461538461536,0.3125
0.0,2,0.18125000000000002,0.34951456310679613,0.34951456310679613,0.36538461538461536,0.29787234042553196
0.0,2,0.1,0.36893203883495146,0.32989690721649484,0.4326923076923077,0.32183908045977017
0.0,3,0.75,0.5631067961165048,0.3076923076923077,0.6634615384615384,0.4927536231884058
