ratio,trial,nu,val-acc,val-f,test-acc,test-f
0.0,0.0,0.75,0.6796116504854369,0.5217391304347826,0.6346153846153846,0.3870967741935484
0.0,0.0,0.66875,0.6116504854368932,0.3103448275862069,0.625,0.3157894736842105
0.0,0.0,0.5875,0.6699029126213593,0.48484848484848486,0.6153846153846154,0.37499999999999994
0.0,0.0,0.50625,0.7281553398058253,0.6585365853658537,0.7211538461538461,0.6329113924050633
0.0,0.0,0.425,0.7184466019417476,0.6506024096385542,0.7307692307692307,0.65
0.0,0.0,0.34375,0.7184466019417476,0.6506024096385542,0.7307692307692307,0.65
0.0,0.0,0.26249999999999996,0.5825242718446602,0.5567010309278351,0.6346153846153846,0.5681818181818182
0.0,0.0,0.18125000000000002,0.6310679611650486,0.5957446808510639,0.6346153846153846,0.5581395348837208
0.0,0.0,0.1,0.6019417475728155,0.5494505494505495,0.6634615384615384,0.5783132530120482
0.0,1.0,0.75,0.5922330097087378,0.22222222222222218,0.625,0.38095238095238093
0.0,1.0,0.66875,0.6019417475728155,0.2545454545454546,0.6346153846153846,0.40625
0.0,1.0,0.5875,0.6213592233009708,0.5063291139240506,0.6346153846153846,0.5476190476190476
0.0,1.0,0.50625,0.6213592233009708,0.5301204819277109,0.625,0.5617977528089888
0.0,1.0,0.425,0.6699029126213593,0.6046511627906977,0.6538461538461539,0.6086956521739131
0.0,1.0,0.34375,0.6699029126213593,0.5952380952380952,0.6538461538461539,0.6000000000000001
0.0,1.0,0.26249999999999996,0.6407766990291263,0.5747126436781609,0.6442307692307693,0.5842696629213483
0.0,1.0,0.18125000000000002,0.6504854368932039,0.6086956521739131,0.6538461538461539,0.5909090909090908
0.0,1.0,0.1,0.5825242718446602,0.49411764705882355,0.5576923076923077,0.46511627906976744
0.0,2.0,0.75,0.6407766990291263,0.39344262295081966,0.6538461538461539,0.4375
0.0,2.0,0.66875,0.6213592233009708,0.2641509433962264,0.5865384615384616,0.1224489795918367
0.0,2.0,0.5875,0.5825242718446602,0.5168539325842697,0.6634615384615384,0.5783132530120482
0.0,2.0,0.50625,0.5728155339805825,0.5111111111111111,0.6634615384615384,0.5783132530120482
0.0,2.0,0.425,0.5631067961165048,0.5054945054945056,0.6730769230769231,0.5952380952380952
0.0,2.0,0.34375,0.6310679611650486,0.525,0.6538461538461539,0.5263157894736842
0.0,2.0,0.26249999999999996,0.5436893203883495,0.5052631578947369,0.6826923076923077,0.6206896551724139
0.0,2.0,0.18125000000000002,0.5825242718446602,0.5274725274725274,0.6730769230769231,0.6046511627906977
0.0,2.0,0.1,0.6407766990291263,0.54320987654321,0.7307692307692307,0.688888888888889
0.0,3.0,0.75,0.7378640776699029,0.6823529411764706,0.6730769230769231,0.5853658536585366
0.0,3.0,0.66875,0.7475728155339806,0.6904761904761906,0.6634615384615384,0.5569620253164557
0.0,3.0,0.5875,0.6213592233009708,0.417910447761194,0.5865384615384616,0.3174603174603174
0.0,3.0,0.50625,0.7281553398058253,0.6410256410256411,0.6634615384615384,0.5205479452054795
0.0,3.0,0.425,0.7087378640776699,0.6153846153846153,0.6538461538461539,0.5384615384615385
0.0,3.0,0.34375,0.7281553398058253,0.6888888888888889,0.6634615384615384,0.5882352941176471
0.0,3.0,0.26249999999999996,0.7087378640776699,0.6739130434782609,0.6346153846153846,0.5777777777777778
0.0,3.0,0.18125000000000002,0.7378640776699029,0.689655172413793,0.6634615384615384,0.5679012345679012
0.0,3.0,0.1,0.7766990291262136,0.7088607594936709,0.625,0.49350649350649345
0.0,4.0,0.75,0.5922330097087378,0.27586206896551724,0.6538461538461539,0.4375
0.0,4.0,0.66875,0.5631067961165048,0.1509433962264151,0.5865384615384616,0.18867924528301885
0.0,4.0,0.5875,0.5631067961165048,0.1509433962264151,0.5865384615384616,0.2456140350877193
0.0,4.0,0.50625,0.6699029126213593,0.5277777777777777,0.6923076923076923,0.5789473684210527
0.0,4.0,0.425,0.6796116504854369,0.5074626865671642,0.6923076923076923,0.5675675675675675
0.0,4.0,0.34375,0.36893203883495146,0.2352941176470588,0.33653846153846156,0.18823529411764706
0.0,4.0,0.26249999999999996,0.3786407766990291,0.30434782608695654,0.3269230769230769,0.2553191489361702
0.0,4.0,0.18125000000000002,0.3592233009708738,0.28260869565217395,0.375,0.30107526881720426
0.0,4.0,0.1,0.6699029126213593,0.6046511627906976,0.6923076923076923,0.6666666666666666
0.0,5.0,0.75,0.3883495145631068,0.5401459854014599,0.4230769230769231,0.5588235294117646
0.0,5.0,0.66875,0.5436893203883495,0.4470588235294118,0.5384615384615384,0.4782608695652174
0.0,5.0,0.5875,0.6310679611650486,0.47222222222222215,0.5480769230769231,0.4719101123595505
0.0,5.0,0.50625,0.6407766990291263,0.5194805194805195,0.5961538461538461,0.5
0.0,5.0,0.425,0.7087378640776699,0.6511627906976744,0.7115384615384616,0.6428571428571429
0.0,5.0,0.34375,0.6893203883495146,0.627906976744186,0.7115384615384616,0.625
0.0,5.0,0.26249999999999996,0.7184466019417476,0.6506024096385542,0.7019230769230769,0.617283950617284
0.0,5.0,0.18125000000000002,0.6893203883495146,0.6595744680851063,0.6346153846153846,0.62
0.0,5.0,0.1,0.6310679611650486,0.6122448979591838,0.5961538461538461,0.5714285714285715
0.0,6.0,0.75,0.6601941747572816,0.4067796610169492,0.6442307692307693,0.4126984126984127
0.0,6.0,0.66875,0.6213592233009708,0.2040816326530612,0.6153846153846154,0.2592592592592593
0.0,6.0,0.5875,0.6893203883495146,0.5294117647058824,0.6538461538461539,0.4
0.0,6.0,0.50625,0.6893203883495146,0.5789473684210527,0.6346153846153846,0.4722222222222222
0.0,6.0,0.425,0.32038834951456313,0.2553191489361702,0.38461538461538464,0.4385964912280702
0.0,6.0,0.34375,0.33980582524271846,0.2916666666666667,0.375,0.4247787610619469
0.0,6.0,0.26249999999999996,0.33980582524271846,0.30612244897959184,0.40384615384615385,0.44642857142857145
0.0,6.0,0.18125000000000002,0.2912621359223301,0.24742268041237114,0.375,0.43478260869565216
0.0,6.0,0.1,0.32038834951456313,0.23913043478260868,0.40384615384615385,0.43636363636363634
0.0,7.0,0.75,0.5631067961165048,0.08163265306122448,0.625,0.1702127659574468
0.0,7.0,0.66875,0.6699029126213593,0.575,0.7115384615384616,0.625
0.0,7.0,0.5875,0.7087378640776699,0.6428571428571429,0.75,0.7045454545454546
0.0,7.0,0.50625,0.6601941747572816,0.6153846153846155,0.6923076923076923,0.6595744680851063
