ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,1.0,125.0,0.5,0.6504854368932039,0.45454545454545453,0.6442307692307693,0.3934426229508196
0.0,1.0,25.0,-1.0,0.6796116504854369,0.6597938144329897,0.6153846153846154,0.5652173913043478
0.0,1.0,25.0,0.0,0.6796116504854369,0.6024096385542168,0.6826923076923077,0.547945205479452
0.0,1.0,25.0,0.5,0.6504854368932039,0.45454545454545453,0.6442307692307693,0.3934426229508196
0.0,1.0,5.0,-1.0,0.6893203883495146,0.6363636363636365,0.6826923076923077,0.5925925925925926
0.0,1.0,5.0,0.0,0.6310679611650486,0.5365853658536585,0.625,0.49350649350649345
0.0,1.0,5.0,0.5,0.6504854368932039,0.43750000000000006,0.6442307692307693,0.4126984126984127
0.0,1.0,1.0,-1.0,0.6796116504854369,0.5822784810126582,0.7019230769230769,0.5974025974025974
0.0,1.0,1.0,0.0,0.5825242718446602,0.21818181818181817,0.5769230769230769,0.15384615384615383
0.0,1.0,1.0,0.5,0.5533980582524272,0.20689655172413793,0.6057692307692307,0.25454545454545446
0.0,1.0,0.2,-1.0,0.5631067961165048,0.18181818181818182,0.6057692307692307,0.22641509433962262
0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.2,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.04,-1.0,0.5339805825242718,0.0,0.5480769230769231,0.0
0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.04,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.008,-1.0,0.5339805825242718,0.0,0.5480769230769231,0.0
0.0,1.0,0.008,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.0016,-1.0,0.5339805825242718,0.0,0.5480769230769231,0.0
0.0,1.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,2.0,625.0,-1.0,0.6504854368932039,0.5135135135135135,0.7307692307692307,0.631578947368421
0.0,2.0,625.0,0.0,0.6601941747572816,0.5783132530120482,0.6923076923076923,0.6
0.0,2.0,625.0,0.5,0.6893203883495146,0.5675675675675677,0.6923076923076923,0.5675675675675675
0.0,2.0,125.0,-1.0,0.6504854368932039,0.5263157894736842,0.7307692307692307,0.631578947368421
0.0,2.0,125.0,0.0,0.6893203883495146,0.5897435897435898,0.6923076923076923,0.5789473684210527
