comp_time,kernel,nu,rho,test_error,training_error,training_time,trial
4.194966077804565,polynomial,0.71,0.2062055244431991,0.27325581395348836,0.24855491329479767,4.1935951709747314,0.0
3.1942028999328613,polynomial,0.71,0.21286159930382545,0.28488372093023256,0.23699421965317918,3.192552089691162,1.0
3.927647113800049,polynomial,0.71,0.31620397616096235,0.3546511627906977,0.2658959537572254,3.9259819984436035,2.0
3.592367172241211,polynomial,0.71,0.2987070357983484,0.27906976744186046,0.24855491329479767,3.590698003768921,3.0
3.397711992263794,polynomial,0.71,0.3076439840542037,0.3372093023255814,0.21965317919075145,3.396030902862549,4.0
4.51373291015625,polynomial,0.71,0.21700233402618432,0.29651162790697677,0.23121387283236994,4.512129068374634,5.0
3.8679120540618896,polynomial,0.71,0.2541756375492931,0.27906976744186046,0.2254335260115607,3.866456985473633,6.0
4.127864837646484,polynomial,0.71,0.2815411206137582,0.3081395348837209,0.23699421965317918,4.126313924789429,7.0
3.6083061695098877,polynomial,0.71,0.2517515763764411,0.29651162790697677,0.2658959537572254,3.6067090034484863,8.0
3.2213878631591797,polynomial,0.71,0.27743809355983523,0.29651162790697677,0.2138728323699422,3.219743013381958,9.0
4.163987159729004,polynomial,0.71,0.2635547881891759,0.3081395348837209,0.24277456647398843,4.162323951721191,10.0
3.819671869277954,polynomial,0.71,0.1919836647920952,0.2558139534883721,0.23121387283236994,3.8179829120635986,11.0
4.226125955581665,polynomial,0.71,0.22008859440075867,0.23837209302325582,0.2543352601156069,4.224803924560547,12.0
4.432027101516724,polynomial,0.71,0.31382627948797287,0.31976744186046513,0.26011560693641617,4.430484056472778,13.0
3.5074551105499268,polynomial,0.71,0.29302518029420294,0.2616279069767442,0.23699421965317918,3.5057828426361084,14.0
3.8476650714874268,polynomial,0.71,0.2502308881836591,0.25,0.2658959537572254,3.8459668159484863,15.0
3.004384994506836,polynomial,0.71,0.27418966448966464,0.3372093023255814,0.2023121387283237,3.002671003341675,16.0
4.086772918701172,polynomial,0.71,0.21836400304881323,0.29069767441860467,0.2023121387283237,4.0852320194244385,17.0
4.177706956863403,polynomial,0.71,0.2709457355324893,0.29069767441860467,0.2254335260115607,4.17582106590271,18.0
