comp_time,kernel,nu,rho,test_error,training_error,training_time,trial
4.173243045806885,linear,0.71,0.4406415344013689,0.32558139534883723,0.31213872832369943,4.171555042266846,0.0
3.8932909965515137,linear,0.71,0.3438573426156867,0.27906976744186046,0.2658959537572254,3.891641855239868,1.0
4.129863023757935,linear,0.71,0.662496478465341,0.3953488372093023,0.2947976878612717,4.128145933151245,2.0
3.799222946166992,linear,0.71,0.4466565670215739,0.3546511627906977,0.31213872832369943,3.7976369857788086,3.0
3.3357579708099365,linear,0.71,0.5754680377247636,0.3488372093023256,0.2774566473988439,3.33406400680542,4.0
3.5061190128326416,linear,0.71,0.43319030279106174,0.3488372093023256,0.2658959537572254,3.5044610500335693,5.0
3.2142608165740967,linear,0.71,0.415563156254813,0.3023255813953488,0.2658959537572254,3.2125351428985596,6.0
4.404473066329956,linear,0.71,0.40961454081214344,0.29069767441860467,0.2947976878612717,4.402873992919922,7.0
4.453613996505737,linear,0.71,0.35275473034617827,0.3081395348837209,0.2832369942196532,4.45202898979187,8.0
2.919961929321289,linear,0.71,0.4634149283820428,0.3488372093023256,0.2658959537572254,2.9183058738708496,9.0
3.5818209648132324,linear,0.71,0.44170686110098795,0.31976744186046513,0.24855491329479767,3.5801351070404053,10.0
4.390833854675293,linear,0.71,0.3672601887179256,0.2616279069767442,0.3236994219653179,4.3890509605407715,11.0
4.815335988998413,linear,0.71,0.42116042935696046,0.3023255813953488,0.28901734104046245,4.813902854919434,12.0
3.4157891273498535,linear,0.71,0.4231203260998519,0.3023255813953488,0.27167630057803466,3.413825035095215,13.0
2.8431198596954346,linear,0.71,0.5644120855168824,0.37209302325581395,0.2832369942196532,2.841399908065796,14.0
3.4038290977478027,linear,0.71,0.49660218381632765,0.3023255813953488,0.2832369942196532,3.4022579193115234,15.0
3.2020111083984375,linear,0.71,0.4931147037389728,0.36627906976744184,0.24277456647398843,3.2005228996276855,16.0
4.159972906112671,linear,0.71,0.3448458471028124,0.3023255813953488,0.30057803468208094,4.1584532260894775,17.0
3.967724084854126,linear,0.71,0.3526376264494139,0.3023255813953488,0.2774566473988439,3.966186046600342,18.0
3.4989240169525146,linear,0.71,0.4251220508700585,0.3081395348837209,0.2658959537572254,3.4970309734344482,19.0
3.3016278743743896,linear,0.71,0.4553980463694225,0.29651162790697677,0.28901734104046245,3.299616813659668,20.0
4.644906997680664,linear,0.71,0.31608792760424204,0.27906976744186046,0.3063583815028902,4.643367052078247,21.0
3.685540199279785,linear,0.71,0.4025531754186396,0.3430232558139535,0.26011560693641617,3.6839630603790283,22.0
4.266077995300293,linear,0.71,0.31381697931852204,0.2441860465116279,0.31213872832369943,4.264492034912109,23.0
3.647812843322754,linear,0.71,0.380898675007837,0.29069767441860467,0.2832369942196532,3.645984172821045,24.0
4.085523843765259,linear,0.71,0.401085581561115,0.29069767441860467,0.3063583815028902,4.083755970001221,25.0
3.6757359504699707,linear,0.71,0.4075352490062348,0.2616279069767442,0.2947976878612717,3.674027919769287,26.0
3.831592082977295,linear,0.71,0.4653277901840462,0.313953488372093,0.24277456647398843,3.830003023147583,27.0
3.212491035461426,linear,0.71,0.5418383254090259,0.36627906976744184,0.2947976878612717,3.2108569145202637,28.0
3.2122550010681152,linear,0.71,0.43914994860782247,0.36627906976744184,0.2543352601156069,3.2105040550231934,29.0
6.17984414100647,linear,0.6599999999999999,0.24975736220692382,0.563953488372093,0.5202312138728323,6.178178071975708,0.0
