comp_time,kernel,nu,obj_val,rho,test_error,training_error,training_time,trial
3.156259059906006,polynomial,0.71,-0.03448649132691918,0.2163576516805885,0.27906976744186046,0.2543352601156069,3.154860019683838,0.0
3.4698219299316406,polynomial,0.71,-0.05507516619138532,0.26221508418751466,0.3313953488372093,0.21965317919075145,3.468440055847168,1.0
2.983670949935913,polynomial,0.71,-0.04394803163254099,0.23484372598924996,0.27906976744186046,0.23699421965317918,2.9821670055389404,2.0
3.561875820159912,polynomial,0.71,-0.03921880730156245,0.24422360309940228,0.27906976744186046,0.24277456647398843,3.5604400634765625,3.0
3.2655129432678223,polynomial,0.71,-0.04707699529769538,0.25804679098031474,0.29069767441860467,0.21965317919075145,3.263991117477417,4.0
4.248631000518799,polynomial,0.71,-0.03737948893963955,0.22187091300895095,0.29069767441860467,0.24277456647398843,4.247092962265015,5.0
3.213538885116577,polynomial,0.71,-0.055386072973766964,0.286771224087291,0.3081395348837209,0.21965317919075145,3.2121551036834717,6.0
3.5328519344329834,polynomial,0.71,-0.05956392427544194,0.32386304067999866,0.37790697674418605,0.23699421965317918,3.531026840209961,7.0
3.0846190452575684,polynomial,0.71,-0.034679358856072415,0.2099696029904155,0.25,0.23121387283236994,3.082995891571045,8.0
3.748126983642578,polynomial,0.71,-0.039060372777460634,0.2396423284338311,0.2558139534883721,0.24277456647398843,3.7465708255767822,9.0
15.87656307220459,polynomial,0.71,-368879750.6394677,31652431433.09806,0.47674418604651164,0.36416184971098264,15.875179052352905,10.0
3.1203320026397705,polynomial,0.71,-0.04681888274826383,0.3251248113525703,0.31976744186046513,0.26011560693641617,3.118710994720459,11.0
3.80224609375,polynomial,0.71,-0.0436250335090512,0.26062314752696486,0.3546511627906977,0.23121387283236994,3.8007709980010986,12.0
4.587557077407837,polynomial,0.71,-0.03238815885125611,0.22703060075994286,0.29069767441860467,0.2658959537572254,4.58617901802063,13.0
4.211584091186523,polynomial,0.71,-0.03852151220281541,0.22445341053405365,0.29069767441860467,0.21965317919075145,4.210166931152344,14.0
3.6901650428771973,polynomial,0.71,-0.031064192604806584,0.22301906660509493,0.3081395348837209,0.2543352601156069,3.6883480548858643,15.0
3.472342014312744,polynomial,0.71,-0.0544707091507781,0.3296735533713346,0.3546511627906977,0.24855491329479767,3.4706969261169434,16.0
3.7286460399627686,polynomial,0.71,-0.036601100881959725,0.21457032202602683,0.3023255813953488,0.2658959537572254,3.727281093597412,17.0
3.8673160076141357,polynomial,0.71,-0.025606730368222953,0.1813157621463412,0.2441860465116279,0.2774566473988439,3.865878105163574,18.0
3.9391520023345947,polynomial,0.71,-0.04958816732885052,0.23473413299574522,0.3023255813953488,0.2138728323699422,3.9373040199279785,19.0
4.121232032775879,polynomial,0.71,-0.03266225856016158,0.2507139281756332,0.26744186046511625,0.2658959537572254,4.119325160980225,20.0
3.5798299312591553,polynomial,0.71,-0.0361585090839102,0.21784255246120637,0.29069767441860467,0.20809248554913296,3.5782558917999268,21.0
4.086546897888184,polynomial,0.71,-0.0655640643824644,0.5675835936809864,0.46511627906976744,0.3179190751445087,4.084750175476074,22.0
2.4081239700317383,polynomial,0.71,-0.049330993049423705,0.2786445200333923,0.3081395348837209,0.23699421965317918,2.4063589572906494,23.0
4.275654077529907,polynomial,0.71,-0.05419553139647543,0.3412725071143339,0.3953488372093023,0.2658959537572254,4.27402400970459,24.0
3.4107789993286133,polynomial,0.71,-0.04505406443185226,0.24944829149499342,0.26744186046511625,0.20809248554913296,3.409141778945923,25.0
3.311488151550293,polynomial,0.71,-0.033016158517263486,0.23430658638977223,0.27906976744186046,0.2658959537572254,3.309299945831299,26.0
3.691412925720215,polynomial,0.71,-0.048742531350471255,0.25135378792409524,0.3546511627906977,0.21965317919075145,3.6896779537200928,27.0
2.9005088806152344,polynomial,0.71,-0.0380885012661344,0.3395420708270854,0.3430232558139535,0.3236994219653179,2.8989171981811523,28.0
3.479787826538086,polynomial,0.71,-0.046728351652273195,0.22140104209667566,0.27906976744186046,0.23121387283236994,3.477544069290161,29.0
4.25573205947876,polynomial,0.71,-0.0393234247034142,0.25039349044326,0.3313953488372093,0.2543352601156069,4.25393009185791,30.0
4.736704111099243,polynomial,0.71,-0.04495821030951223,0.2554211801441005,0.3081395348837209,0.19653179190751446,4.7348527908325195,31.0
2.8506741523742676,polynomial,0.71,-0.045414099297403816,0.2489469202853541,0.3023255813953488,0.21965317919075145,2.8490688800811768,32.0
3.345367908477783,polynomial,0.71,-0.05047811003153911,0.2432170875231026,0.3488372093023256,0.2254335260115607,3.343358039855957,33.0
3.5391039848327637,polynomial,0.71,-0.036942194845999615,0.2538542006288083,0.27906976744186046,0.2658959537572254,3.5372469425201416,34.0
4.8933281898498535,polynomial,0.71,-0.037134771131766546,0.22610898395228143,0.2616279069767442,0.24277456647398843,4.891519069671631,35.0
3.1901988983154297,polynomial,0.71,-0.044296482381853214,0.2522762636936297,0.31976744186046513,0.2254335260115607,3.188138008117676,36.0
3.219856023788452,polynomial,0.71,-0.053133966504352925,0.2602602929134543,0.31976744186046513,0.20809248554913296,3.2182040214538574,37.0
4.8163909912109375,polynomial,0.71,-0.04048543419047236,0.49814261167523594,0.4476744186046512,0.34104046242774566,4.814623832702637,38.0
4.368685007095337,polynomial,0.71,-0.05351743591090693,0.3000512306219533,0.26744186046511625,0.23121387283236994,4.367051839828491,39.0
3.690096139907837,polynomial,0.71,-0.04808499829931899,0.2865502248388721,0.3372093023255814,0.2543352601156069,3.6884429454803467,40.0
