comp_time,kernel,nu,test_error,training_error,training_time,trial
5.053194046020508,polynomial,0.71,0.27325581395348836,0.24855491329479767,5.051048994064331,0.0
3.7203660011291504,polynomial,0.71,0.28488372093023256,0.23699421965317918,3.7187070846557617,1.0
4.722301006317139,polynomial,0.71,0.3546511627906977,0.2658959537572254,4.720745086669922,2.0
6.930304050445557,polynomial,0.71,0.27906976744186046,0.24855491329479767,6.928789138793945,3.0
3.6022160053253174,polynomial,0.71,0.3372093023255814,0.21965317919075145,3.6008331775665283,4.0
4.793108940124512,polynomial,0.71,0.29651162790697677,0.23121387283236994,4.791610956192017,5.0
4.093321800231934,polynomial,0.71,0.27906976744186046,0.2254335260115607,4.091928958892822,6.0
4.2729809284210205,polynomial,0.71,0.3081395348837209,0.23699421965317918,4.271587133407593,7.0
3.849050998687744,polynomial,0.71,0.29651162790697677,0.2658959537572254,3.8477158546447754,8.0
3.441002130508423,polynomial,0.71,0.29651162790697677,0.2138728323699422,3.439666986465454,9.0
4.422769069671631,polynomial,0.71,0.3081395348837209,0.24277456647398843,4.421319961547852,10.0
3.9483189582824707,polynomial,0.71,0.2558139534883721,0.23121387283236994,3.9468719959259033,11.0
4.432435035705566,polynomial,0.71,0.23837209302325582,0.2543352601156069,4.430963039398193,12.0
4.743258953094482,polynomial,0.71,0.31976744186046513,0.26011560693641617,4.7416298389434814,13.0
3.82846999168396,polynomial,0.71,0.2616279069767442,0.23699421965317918,3.827136993408203,14.0
4.06745719909668,polynomial,0.71,0.25,0.2658959537572254,4.066103935241699,15.0
3.371565103530884,polynomial,0.71,0.3372093023255814,0.2023121387283237,3.370239019393921,16.0
4.319997072219849,polynomial,0.71,0.29069767441860467,0.2023121387283237,4.318647146224976,17.0
4.335034132003784,polynomial,0.71,0.29069767441860467,0.2254335260115607,4.333518028259277,18.0
4.107279062271118,polynomial,0.71,0.3023255813953488,0.21965317919075145,4.105691194534302,19.0
4.070551872253418,polynomial,0.71,0.313953488372093,0.21965317919075145,4.068919897079468,20.0
3.9542529582977295,polynomial,0.71,0.29651162790697677,0.20809248554913296,3.9527440071105957,21.0
3.4520108699798584,polynomial,0.71,0.313953488372093,0.2023121387283237,3.450669050216675,22.0
4.384799957275391,polynomial,0.71,0.26744186046511625,0.2774566473988439,4.383277893066406,23.0
4.322484970092773,polynomial,0.71,0.27906976744186046,0.2543352601156069,4.320795059204102,24.0
4.142915964126587,polynomial,0.71,0.32558139534883723,0.2658959537572254,4.141529083251953,25.0
4.359540939331055,polynomial,0.71,0.27906976744186046,0.2543352601156069,4.357816219329834,26.0
4.746553897857666,polynomial,0.71,0.29069767441860467,0.20809248554913296,4.744804859161377,27.0
4.340197801589966,polynomial,0.71,0.4127906976744186,0.3179190751445087,4.338634014129639,28.0
3.7656631469726562,polynomial,0.71,0.29069767441860467,0.2023121387283237,3.763890027999878,29.0
3.9800939559936523,polynomial,0.6599999999999999,0.27325581395348836,0.2774566473988439,3.9786570072174072,0.0
3.7338390350341797,polynomial,0.6599999999999999,0.3488372093023256,0.1676300578034682,3.7321081161499023,1.0
3.701362133026123,polynomial,0.6599999999999999,0.2441860465116279,0.23699421965317918,3.699789047241211,2.0
3.9487569332122803,polynomial,0.6599999999999999,0.29069767441860467,0.2254335260115607,3.947117805480957,3.0
4.83892297744751,polynomial,0.6599999999999999,0.3546511627906977,0.1907514450867052,4.837496995925903,4.0
