comp_time,kernel,nu,obj_val,rho,test_error,training_error,training_time,trial
2.699859142303467,polynomial,0.71,-0.034933784337249016,0.5912782901066856,0.4011627906976744,0.3583815028901734,2.6984729766845703,0.0
3.4658620357513428,polynomial,0.71,-0.030485455440910803,0.2347825339834145,0.3488372093023256,0.24277456647398843,3.4645700454711914,1.0
2.851102113723755,polynomial,0.71,-0.009407801102903054,0.11491898102762568,0.436046511627907,0.30057803468208094,2.8497960567474365,2.0
3.1689279079437256,polynomial,0.71,-0.049043094877336844,0.29521554792169347,0.36627906976744184,0.23699421965317918,3.1676371097564697,3.0
3.4035911560058594,polynomial,0.71,-0.03128476282495641,0.21048744633104938,0.3372093023255814,0.27167630057803466,3.4022879600524902,4.0
3.1831629276275635,polynomial,0.71,-0.05553952280526643,0.35598050454211466,0.4069767441860465,0.26011560693641617,3.1818201541900635,5.0
3.1221730709075928,polynomial,0.71,-0.05262331950881362,0.27847624804132576,0.31976744186046513,0.21965317919075145,3.120877981185913,6.0
2.853382110595703,polynomial,0.71,-0.04870718975658047,0.30137459643754455,0.3372093023255814,0.24277456647398843,2.852065086364746,7.0
2.809180974960327,polynomial,0.71,-0.04312179785660995,0.29527370849315326,0.4069767441860465,0.24855491329479767,2.8078699111938477,8.0
3.3074870109558105,polynomial,0.71,-0.030017690535102594,0.22389723227711256,0.25,0.24277456647398843,3.3061769008636475,9.0
3.0994069576263428,polynomial,0.71,-0.049538723589471936,0.3676175839702377,0.37790697674418605,0.2543352601156069,3.0981011390686035,10.0
2.9877641201019287,polynomial,0.71,-0.05885188086982245,1.443612693297921,0.436046511627907,0.3583815028901734,2.986454963684082,11.0
3.330368995666504,polynomial,0.71,-0.11304443231287543,2.571608357765649,0.436046511627907,0.3583815028901734,3.3290748596191406,12.0
2.514734983444214,polynomial,0.71,-0.022672624446241768,0.25208247046292476,0.27325581395348836,0.28901734104046245,2.5133328437805176,13.0
3.2465829849243164,polynomial,0.71,-0.04551428821574621,0.2768632543234912,0.3488372093023256,0.2254335260115607,3.2452609539031982,14.0
2.8943159580230713,polynomial,0.71,-0.044006802349661485,0.3692504189949798,0.4011627906976744,0.2658959537572254,2.8930270671844482,15.0
2.9474120140075684,polynomial,0.71,-0.03692648159108425,0.2003979899211785,0.3081395348837209,0.2254335260115607,2.9459421634674072,16.0
2.857593059539795,polynomial,0.71,-0.036280763096080804,0.23382318645748013,0.28488372093023256,0.21965317919075145,2.8561391830444336,17.0
3.1808440685272217,polynomial,0.71,-0.07151395023574476,1.4635325964067263,0.43023255813953487,0.3583815028901734,3.179363965988159,18.0
2.7045910358428955,polynomial,0.71,-0.06948197082654808,1.085704768272919,0.4476744186046512,0.3468208092485549,2.7033021450042725,19.0
3.033224105834961,polynomial,0.71,-0.05105352334253816,0.3400259219545268,0.3488372093023256,0.24855491329479767,3.0319340229034424,20.0
3.2886741161346436,polynomial,0.71,-0.03408792962606305,0.7323708391493695,0.4418604651162791,0.35260115606936415,3.287346839904785,21.0
2.9282028675079346,polynomial,0.71,-0.046596851096880706,0.33487700896886713,0.3313953488372093,0.24277456647398843,2.9268429279327393,22.0
13.965029001235962,polynomial,0.71,-2602598242.335621,75101004670.52269,0.4883720930232558,0.35260115606936415,13.963711977005005,23.0
2.596374988555908,polynomial,0.71,-0.04642128024610339,0.34761882906417846,0.313953488372093,0.23699421965317918,2.5950889587402344,24.0
3.4139151573181152,polynomial,0.71,-0.04473482969277718,0.3284721549800253,0.31976744186046513,0.2543352601156069,3.4120898246765137,25.0
2.9364449977874756,polynomial,0.71,-0.04603817708780697,0.34697719060009397,0.37209302325581395,0.2774566473988439,2.934983968734741,26.0
2.9777891635894775,polynomial,0.71,-0.017575901514258793,0.19421076398999446,0.27906976744186046,0.2947976878612717,2.976414918899536,27.0
3.309190034866333,polynomial,0.71,-0.028054970335973275,0.22053705326725795,0.36627906976744184,0.27167630057803466,3.3078060150146484,28.0
3.1537859439849854,polynomial,0.71,-0.05853447694088159,0.3056934007948723,0.3430232558139535,0.23699421965317918,3.152164936065674,29.0
3.4762980937957764,polynomial,0.71,-0.058815602901492514,0.41126466488581226,0.38372093023255816,0.23699421965317918,3.474993944168091,30.0
3.7030179500579834,polynomial,0.71,-0.07984762301888396,0.9064007445290695,0.436046511627907,0.34104046242774566,3.7015950679779053,31.0
2.6774520874023438,polynomial,0.71,-0.03347004509803031,0.21200934566673427,0.3313953488372093,0.24855491329479767,2.675935983657837,32.0
3.672959089279175,polynomial,0.71,-0.051370434921287,0.29130266882114847,0.2558139534883721,0.24277456647398843,3.6713528633117676,33.0
2.711893081665039,polynomial,0.71,-0.03529698711465799,0.2776185862232949,0.37790697674418605,0.2658959537572254,2.7103679180145264,34.0
3.231592893600464,polynomial,0.71,-0.05188731536195641,0.5450825065078294,0.4011627906976744,0.3468208092485549,3.2301740646362305,35.0
2.979771852493286,polynomial,0.71,-0.06477675914899775,0.42225918697084663,0.3546511627906977,0.26011560693641617,2.9784390926361084,36.0
4.452409029006958,polynomial,0.71,-0.10130851814850814,1.9493967191055532,0.43023255813953487,0.3468208092485549,4.450646877288818,37.0
3.6367580890655518,polynomial,0.71,-0.07505551924664725,0.6260333142017565,0.3953488372093023,0.3063583815028902,3.635006904602051,38.0
3.3677070140838623,polynomial,0.71,-0.05518960903646025,0.47068119304749945,0.38372093023255816,0.31213872832369943,3.3662378787994385,39.0
2.999948024749756,polynomial,0.71,-0.07064841826202681,0.454367661241385,0.4011627906976744,0.27167630057803466,2.998373031616211,40.0
