comp_time,kernel,nu,obj_val,rho,test_error,training_error,training_time,trial
3.378247022628784,linear,0.71,-0.023470289221986074,0.3929343724263178,0.27325581395348836,0.31213872832369943,3.3766021728515625,0.0
2.98716402053833,linear,0.71,-0.03692749755880671,0.33631578481658625,0.28488372093023256,0.2543352601156069,2.9854910373687744,1.0
3.2752699851989746,linear,0.71,-0.011712015245515723,0.33967493823346895,0.27906976744186046,0.3063583815028902,3.273453950881958,2.0
3.2601318359375,linear,0.71,-0.01815463479265331,0.3864523128383198,0.29069767441860467,0.2947976878612717,3.258527994155884,3.0
2.99446702003479,linear,0.71,-0.019927746059570386,0.32117421987834144,0.31976744186046513,0.2832369942196532,2.992794990539551,4.0
3.710479974746704,linear,0.71,-0.05550115774217738,0.5350021636935254,0.3372093023255814,0.2774566473988439,3.7088329792022705,5.0
3.210566997528076,linear,0.71,-0.004968355098534459,0.294654525371864,0.29069767441860467,0.2832369942196532,3.2089900970458984,6.0
2.9560768604278564,linear,0.71,-0.0509140916245998,0.37046065658111377,0.37209302325581395,0.23699421965317918,2.954454183578491,7.0
4.222978115081787,linear,0.71,-7387022083.552942,633586062795.9408,0.47674418604651164,0.36416184971098264,4.2209320068359375,8.0
2.4859421253204346,linear,0.71,-0.0363962097006631,0.5391482416654254,0.32558139534883723,0.2832369942196532,2.484316825866699,9.0
3.060222864151001,linear,0.71,-0.01689353846787818,0.39361702134722987,0.27906976744186046,0.31213872832369943,3.058457136154175,10.0
3.222391128540039,linear,0.71,-0.0400009023091502,0.3729142033547445,0.32558139534883723,0.28901734104046245,3.2207701206207275,11.0
3.6581990718841553,linear,0.71,-0.0023534129734437137,0.3833654411577782,0.28488372093023256,0.31213872832369943,3.656588077545166,12.0
4.277939081192017,linear,0.71,-0.046862287253732406,0.38842598480331875,0.3488372093023256,0.27167630057803466,4.276189088821411,13.0
4.536330938339233,linear,0.71,-0.03180950938000121,0.44767591125617356,0.31976744186046513,0.30057803468208094,4.534610986709595,14.0
3.552564859390259,linear,0.71,-0.05495550164818139,0.591800853627058,0.3546511627906977,0.2774566473988439,3.5507609844207764,15.0
3.409213066101074,linear,0.71,-0.033731780573796555,0.3593878063664149,0.29069767441860467,0.2832369942196532,3.4075489044189453,16.0
4.024863958358765,linear,0.71,0.001632252920432814,0.39131010445341163,0.3023255813953488,0.32947976878612717,4.023005962371826,17.0
3.8597569465637207,linear,0.71,-0.035395868336521724,0.4295330373114245,0.37209302325581395,0.2774566473988439,3.8578410148620605,18.0
3.297874927520752,linear,0.71,-0.01989885668824612,0.371226348355901,0.28488372093023256,0.3063583815028902,3.2959909439086914,19.0
4.273004055023193,linear,0.71,-0.032795775078545926,0.5089574210194199,0.313953488372093,0.2658959537572254,4.2714080810546875,20.0
4.134927034378052,linear,0.71,-0.04472700512656928,0.6224171897155042,0.3546511627906977,0.31213872832369943,4.133294105529785,21.0
3.4632678031921387,linear,0.71,-0.016676455064246337,0.40994407675129135,0.31976744186046513,0.3179190751445087,3.4611799716949463,22.0
2.8222439289093018,linear,0.71,-0.03264453891138936,0.348673148985892,0.32558139534883723,0.27167630057803466,2.8205738067626953,23.0
3.1731090545654297,linear,0.71,-0.027652479317394615,0.5280926915479167,0.32558139534883723,0.28901734104046245,3.171462059020996,24.0
3.5741379261016846,linear,0.71,-0.030223047183726818,0.35974028270754344,0.3081395348837209,0.2832369942196532,3.5717408657073975,25.0
3.843674898147583,linear,0.71,-0.02840678853059389,0.3924607819362613,0.31976744186046513,0.28901734104046245,3.8420419692993164,26.0
3.6591739654541016,linear,0.71,-0.019467123019396564,0.37372828424042587,0.3081395348837209,0.28901734104046245,3.6572201251983643,27.0
3.5664188861846924,linear,0.71,-0.02446596059571902,0.3779899785385631,0.29651162790697677,0.28901734104046245,3.564495086669922,28.0
4.076584100723267,linear,0.71,-0.027226431216646994,0.45028957762060584,0.3081395348837209,0.2832369942196532,4.07495903968811,29.0
3.735534906387329,linear,0.71,-0.04839627695171395,0.5948876748236915,0.37209302325581395,0.2774566473988439,3.7335970401763916,30.0
2.9121909141540527,linear,0.71,-0.028032476669951976,0.43722756349454284,0.3546511627906977,0.2543352601156069,2.91025710105896,31.0
4.090767860412598,linear,0.71,-0.06296056508097027,0.5757778548267062,0.3546511627906977,0.27167630057803466,4.089154958724976,32.0
4.625761985778809,linear,0.71,-0.016321760802909153,0.36160504296962453,0.3023255813953488,0.3063583815028902,4.624091148376465,33.0
3.7597298622131348,linear,0.71,-0.03257510221534819,0.37651604428056856,0.3023255813953488,0.30057803468208094,3.7580740451812744,34.0
4.478471040725708,linear,0.71,-0.02250402325145549,0.4087848053777631,0.27325581395348836,0.28901734104046245,4.476541996002197,35.0
3.3262510299682617,linear,0.71,-0.09492626812000733,1.0465963336403947,0.48255813953488375,0.32947976878612717,3.3245768547058105,36.0
3.4468331336975098,linear,0.71,-0.048897350877127974,0.5855959187363752,0.37790697674418605,0.31213872832369943,3.444887161254883,37.0
3.9601998329162598,linear,0.71,-0.019044949205198648,0.39847227500877314,0.29069767441860467,0.3236994219653179,3.9582550525665283,38.0
3.6631507873535156,linear,0.71,-0.043914873371451404,0.5190036932183018,0.3023255813953488,0.2658959537572254,3.6613879203796387,39.0
3.6419589519500732,linear,0.71,-0.032721498270883775,0.39675171621398836,0.28488372093023256,0.27167630057803466,3.6400279998779297,40.0
2.854422092437744,linear,0.71,-0.0274610403986504,0.4538424408884475,0.313953488372093,0.3063583815028902,2.852447986602783,41.0
