ratio,trial,C,val-acc,val-f,test-acc,test-f,comp_time
0.0,0.0,625.0,0.954468802698,0.927807486631,0.961246840775,0.93899204244,
0.0,0.0,125.0,0.954468802698,0.927807486631,0.961246840775,0.93899204244,
0.0,0.0,25.0,0.954468802698,0.927807486631,0.961246840775,0.93899204244,
0.0,0.0,5.0,0.954468802698,0.927807486631,0.961246840775,0.93899204244,
0.0,0.0,1.0,0.954468802698,0.927807486631,0.961246840775,0.93899204244,
0.0,0.0,0.2,0.956155143339,0.930294906166,0.960404380792,0.937912813738,
0.0,0.0,0.04,0.965430016863,0.94526034713,0.974726200505,0.960212201592,
0.0,0.0,0.008,0.970489038786,0.953020134228,0.980623420388,0.969536423841,
0.0,0.0,0.0016,0.971332209106,0.954301075269,0.974726200505,0.960317460317,
0.0,1.0,625.0,0.969645868465,0.953246753247,0.968828980623,0.948965517241,
0.0,1.0,125.0,0.969645868465,0.953246753247,0.968828980623,0.948965517241,
0.0,1.0,25.0,0.969645868465,0.953246753247,0.968828980623,0.948965517241,
0.0,1.0,5.0,0.969645868465,0.953246753247,0.968828980623,0.948965517241,
0.0,1.0,1.0,0.969645868465,0.953246753247,0.968828980623,0.948965517241,
0.0,1.0,0.2,0.974704890388,0.961038961039,0.963774220725,0.940525587828,
0.0,1.0,0.04,0.970489038786,0.954838709677,0.976411120472,0.961956521739,
0.0,1.0,0.008,0.977234401349,0.965250965251,0.982308340354,0.971659919028,
0.0,1.0,0.0016,0.972175379427,0.95785440613,0.981465880371,0.970430107527,
0.0,2.0,625.0,0.955311973019,0.930537352556,0.959561920809,0.935483870968,
0.0,2.0,125.0,0.955311973019,0.930537352556,0.959561920809,0.935483870968,
0.0,2.0,25.0,0.955311973019,0.930537352556,0.959561920809,0.935483870968,
0.0,2.0,5.0,0.955311973019,0.930537352556,0.959561920809,0.935483870968,
0.0,2.0,1.0,0.955311973019,0.930537352556,0.959561920809,0.935483870968,
0.0,2.0,0.2,0.955311973019,0.930171277997,0.961246840775,0.938005390836,
0.0,2.0,0.04,0.960370994941,0.938401048493,0.961246840775,0.938172043011,
0.0,2.0,0.008,0.973018549747,0.958333333333,0.969671440607,0.951742627346,
0.0,2.0,0.0016,0.973861720067,0.960102960103,0.973041280539,0.957104557641,
0.0,3.0,625.0,0.967959527825,0.945868945869,0.96798652064,0.952261306533,
0.0,3.0,125.0,0.967959527825,0.945868945869,0.96798652064,0.952261306533,
0.0,3.0,25.0,0.967959527825,0.945868945869,0.96798652064,0.952261306533,
0.0,3.0,5.0,0.967959527825,0.945868945869,0.96798652064,0.952261306533,
0.0,3.0,1.0,0.967959527825,0.945868945869,0.96798652064,0.952261306533,
0.0,3.0,0.2,0.968802698145,0.947218259629,0.968828980623,0.953459119497,
0.0,3.0,0.04,0.978077571669,0.963483146067,0.962089300758,0.94396014944,
0.0,3.0,0.008,0.977234401349,0.962237762238,0.969671440607,0.955445544554,
0.0,3.0,0.0016,0.976391231029,0.960563380282,0.971356360573,0.957816377171,
0.0,4.0,625.0,0.967959527825,0.948648648649,0.959561920809,0.937007874016,
0.0,4.0,125.0,0.967959527825,0.948648648649,0.959561920809,0.937007874016,
0.0,4.0,25.0,0.967959527825,0.948648648649,0.959561920809,0.937007874016,
0.0,4.0,5.0,0.967959527825,0.948648648649,0.959561920809,0.937007874016,
0.0,4.0,1.0,0.967959527825,0.948648648649,0.959561920809,0.937007874016,
0.0,4.0,0.2,0.969645868465,0.951482479784,0.956192080876,0.931398416887,
0.0,4.0,0.04,0.973861720067,0.958611481976,0.962931760741,0.942857142857,
0.0,4.0,0.008,0.978077571669,0.965147453083,0.973883740522,0.959477124183,
0.0,4.0,0.0016,0.975548060708,0.961281708945,0.976411120472,0.963730569948,
