ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.55,0.05,0.939291736931,0.898591549296,0.956192080876,0.92817679558,-2.30162377483,-1204.40784943,8.16082286835
0.0,0.0,0.488125,0.05,0.950252951096,0.918395573997,0.962089300758,0.93860845839,-2.07614997501,-990.012143392,10.0437469482
0.0,0.0,0.42625,0.05,0.953625632378,0.924137931034,0.966301600674,0.94623655914,-1.85239623266,-798.60506168,8.08815693855
0.0,0.0,0.364375,0.05,0.964586846543,0.943243243243,0.968828980623,0.950600801068,-1.65262423419,-626.931859305,11.4343080521
0.0,0.0,0.3025,0.05,0.968802698145,0.949932341001,0.973041280539,0.957446808511,-1.51518864708,-471.151335138,7.80057907104
0.0,0.0,0.240625,0.05,0.971332209106,0.953929539295,0.973883740522,0.958721704394,-1.35057598335,-330.568708901,9.32277297974
0.0,0.0,0.17875,0.05,0.964586846543,0.943243243243,0.969671440607,0.952380952381,-1.14238849377,-208.711542832,11.1650509834
0.0,0.0,0.116875,0.05,0.964586846543,0.943548387097,0.966301600674,0.946949602122,-0.965831626104,-99.6943113597,9.70919799805
0.0,0.0,0.055,0.05,0.921585160202,0.876165113182,0.90648694187,0.852589641434,-0.0865361116397,-0.684500644173,12.4862720966
0.0,1.0,0.55,0.05,0.935919055649,0.895027624309,0.93850042123,0.89404934688,-2.35951706038,-1144.49532252,10.1551918983
0.0,1.0,0.488125,0.05,0.954468802698,0.928759894459,0.964616680708,0.942148760331,-2.01394235738,-932.140161113,10.7230839729
0.0,1.0,0.42625,0.05,0.963743676223,0.944372574386,0.972198820556,0.954979536153,-1.79809367192,-746.390327258,10.3322849274
0.0,1.0,0.364375,0.05,0.974704890388,0.961636828645,0.977253580455,0.963165075034,-1.59689239623,-580.159653975,7.40774703026
0.0,1.0,0.3025,0.05,0.974704890388,0.96192893401,0.976411120472,0.962059620596,-1.42079964462,-432.752627878,9.28546905518
0.0,1.0,0.240625,0.05,0.977234401349,0.965692503177,0.981465880371,0.970350404313,-1.24055894536,-301.728683619,9.06947612762
0.0,1.0,0.17875,0.05,0.976391231029,0.964467005076,0.976411120472,0.962059620596,-1.06589008667,-188.728088618,29.0563509464
0.0,1.0,0.116875,0.05,0.977234401349,0.965605095541,0.974726200505,0.959893048128,-0.870228311368,-89.5858431772,26.3464818001
0.0,1.0,0.055,0.05,0.91652613828,0.875471698113,0.930075821398,0.888888888889,-0.0938807011077,-0.742596346484,46.9688899517
0.0,2.0,0.55,0.05,0.939291736931,0.90243902439,0.949452401011,0.914040114613,-2.36238833085,-1176.4679202,26.6527030468
0.0,2.0,0.488125,0.05,0.959527824621,0.9375,0.960404380792,0.934265734266,-2.04425332551,-960.653285632,13.7783460617
0.0,2.0,0.42625,0.05,0.9586846543,0.937259923175,0.960404380792,0.935172413793,-1.79660430169,-772.030539109,29.261783123
0.0,2.0,0.364375,0.05,0.965430016863,0.94816687737,0.967144060657,0.94693877551,-1.59892340335,-605.384683643,30.0430159569
0.0,2.0,0.3025,0.05,0.960370994941,0.940880503145,0.962931760741,0.940379403794,-1.44512810226,-456.563524791,26.7837250233
0.0,2.0,0.240625,0.05,0.960370994941,0.940880503145,0.961246840775,0.937669376694,-1.26437188146,-323.304638554,27.6072759628
0.0,2.0,0.17875,0.05,0.962900505902,0.944162436548,0.96798652064,0.948087431694,-1.13343415023,-206.177150971,28.1773080826
0.0,2.0,0.116875,0.05,0.967959527825,0.951530612245,0.966301600674,0.945054945055,-0.96471258117,-98.7859755738,31.6185829639
0.0,2.0,0.055,0.05,0.912310286678,0.872235872236,0.918281381634,0.872536136662,-0.139645702451,-1.10459750695,12.3308041096
0.0,3.0,0.55,0.05,0.962057335582,0.9377593361,0.960404380792,0.934265734266,-2.21993604878,-1148.32278958,53.0515110493
0.0,3.0,0.488125,0.05,0.962900505902,0.93956043956,0.963774220725,0.941336971351,-1.99713883586,-942.671081112,17.547713995
0.0,3.0,0.42625,0.05,0.967116357504,0.946648426813,0.962931760741,0.940217391304,-1.79069626282,-756.772806152,34.9584541321
0.0,3.0,0.364375,0.05,0.967959527825,0.948228882834,0.969671440607,0.951482479784,-1.61275882813,-589.946455681,16.0171201229
0.0,3.0,0.3025,0.05,0.968802698145,0.949659863946,0.968828980623,0.950201884253,-1.4431512751,-441.112923052,35.2791419029
0.0,3.0,0.240625,0.05,0.972175379427,0.954979536153,0.969671440607,0.951612903226,-1.2437199315,-309.638374395,26.7118880749
0.0,3.0,0.17875,0.05,0.971332209106,0.953929539295,0.969671440607,0.952,-1.07254353568,-192.620482053,26.8703320026
0.0,3.0,0.116875,0.05,0.971332209106,0.953804347826,0.976411120472,0.962365591398,-0.904337265418,-94.0064213964,31.9228332043
0.0,3.0,0.055,0.05,0.914839797639,0.866578599736,0.919123841618,0.874345549738,-0.113658371854,-0.899037723093,31.7546319962
0.0,4.0,0.55,0.05,0.956155143339,0.924855491329,0.950294860994,0.921228304406,-2.31818901606,-1150.00992049,28.7765579224
0.0,4.0,0.488125,0.05,0.967959527825,0.946778711485,0.959561920809,0.937662337662,-1.99884436713,-938.799665992,21.5560708046
0.0,4.0,0.42625,0.05,0.972175379427,0.954230235784,0.966301600674,0.948586118252,-1.77235652408,-754.229751614,17.8600599766
0.0,4.0,0.364375,0.05,0.970489038786,0.951724137931,0.966301600674,0.948849104859,-1.59149310193,-589.63843069,17.0404641628
0.0,4.0,0.3025,0.05,0.973861720067,0.957823129252,0.964616680708,0.946564885496,-1.41916552338,-441.909420012,21.0412390232
0.0,4.0,0.240625,0.05,0.973018549747,0.956403269755,0.97051390059,0.955185659411,-1.2407628882,-310.802481758,43.5626120567
0.0,4.0,0.17875,0.05,0.973018549747,0.956284153005,0.972198820556,0.957528957529,-1.06614156062,-198.229316569,37.6775488853
0.0,4.0,0.116875,0.05,0.967959527825,0.947658402204,0.96798652064,0.951282051282,-0.94085358878,-96.8012166622,22.5874629021
0.0,4.0,0.055,0.05,0.901349072513,0.842530282638,0.908171861837,0.860077021823,-0.0531486996118,-0.420406214423,107.084930897
0.0,5.0,0.55,0.05,0.93760539629,0.898071625344,0.950294860994,0.916548797737,-2.33759067912,-1177.3112819,39.5868170261
0.0,5.0,0.488125,0.05,0.948566610455,0.918774966711,0.968828980623,0.949522510232,-2.04575766529,-963.908315321,17.3226001263
0.0,5.0,0.42625,0.05,0.954468802698,0.929133858268,0.969671440607,0.951742627346,-1.82729712129,-774.89182123,19.0642669201
0.0,5.0,0.364375,0.05,0.9586846543,0.936280884265,0.967144060657,0.947930574099,-1.66220116497,-604.154405361,20.080673933
0.0,5.0,0.3025,0.05,0.960370994941,0.938881664499,0.96798652064,0.949602122016,-1.45720580173,-452.379163856,26.2528510094
0.0,5.0,0.240625,0.05,0.965430016863,0.946684005202,0.97051390059,0.953271028037,-1.27454683647,-318.386426498,20.474257946
0.0,5.0,0.17875,0.05,0.967116357504,0.949152542373,0.975568660489,0.960969044415,-1.12733319305,-200.038378881,55.0238931179
0.0,5.0,0.116875,0.05,0.966273187184,0.947780678851,0.975568660489,0.961073825503,-0.899492192077,-92.5170179655,35.9052300453
0.0,5.0,0.055,0.05,0.91652613828,0.872586872587,0.911541701769,0.862745098039,-0.0790512088518,-0.625295063397,15.9917058945
0.0,6.0,0.55,0.05,0.952782462057,0.919075144509,0.945240101095,0.912751677852,-2.31930158648,-1169.19503871,28.7798638344
0.0,6.0,0.488125,0.05,0.960370994941,0.933709449929,0.95450716091,0.9296875,-2.03121538971,-955.511011332,43.4718837738
0.0,6.0,0.42625,0.05,0.960370994941,0.934993084371,0.955349620893,0.931964056483,-1.83887612048,-765.71170938,27.3694448471
0.0,6.0,0.364375,0.05,0.967116357504,0.946502057613,0.961246840775,0.941624365482,-1.65751665406,-594.662488983,15.8895897865
0.0,6.0,0.3025,0.05,0.964586846543,0.943396226415,0.964616680708,0.94696969697,-1.44105409267,-444.545839837,47.244948864
0.0,6.0,0.240625,0.05,0.970489038786,0.952638700947,0.96798652064,0.95202020202,-1.25105152547,-311.303032912,35.0586299896
0.0,6.0,0.17875,0.05,0.973861720067,0.957823129252,0.967144060657,0.951066499373,-1.09816163344,-195.243146909,34.6164150238
0.0,6.0,0.116875,0.05,0.974704890388,0.959568733154,0.967144060657,0.950943396226,-0.938713234507,-96.7141380345,60.0734558105
0.0,6.0,0.055,0.05,0.924114671164,0.87323943662,0.917438921651,0.871391076115,-0.213312732653,-1.68730371593,78.6834628582
0.0,7.0,0.55,0.05,0.913996627319,0.850877192982,0.913226621735,0.846038863976,-2.67729242912,-1206.39484894,52.5651209354
0.0,7.0,0.488125,0.05,0.965430016863,0.946123521682,0.947767481045,0.91553133515,-2.12711129649,-977.948562142,38.9011418819
0.0,7.0,0.42625,0.05,0.968802698145,0.952258064516,0.955349620893,0.929614873838,-1.87371752503,-782.637183214,12.4619591236
0.0,7.0,0.364375,0.05,0.971332209106,0.956743002545,0.962931760741,0.942257217848,-1.66560301306,-607.411702104,20.6211929321
0.0,7.0,0.3025,0.05,0.976391231029,0.964376590331,0.962931760741,0.942708333333,-1.46302754872,-452.595513712,21.3592710495
