ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.03,0.0,125.0,-1.0,0.967108753316,0.914835164835,0.976682564918,0.940217391304,13.800178051,False
0.03,0.0,25.0,-1.0,0.962334217507,0.901251738526,0.977742448331,0.943089430894,13.9434130192,False
0.03,0.0,5.0,-1.0,0.970291777188,0.921568627451,0.982511923688,0.954607977992,14.1248478889,False
0.03,0.0,1.0,-1.0,0.977188328912,0.938659058488,0.986221515633,0.963888888889,13.6651480198,False
0.03,0.0,0.2,-1.0,0.9824933687,0.952789699571,0.988871224165,0.970792767733,13.5291540623,False
0.03,0.0,0.04,-1.0,0.981432360743,0.949494949495,0.989931107578,0.973426573427,13.5150091648,False
0.03,0.0,0.008,-1.0,0.983554376658,0.955523672884,0.990990990991,0.976157082749,13.8979878426,False
0.03,0.0,0.0016,-1.0,0.979310344828,0.943065693431,0.987281399046,0.965811965812,13.5555870533,False
0.03,1.0,625.0,-1.0,0.95649867374,0.886740331492,0.97191308956,0.927891156463,13.7007639408,False
0.03,1.0,125.0,-1.0,0.962334217507,0.901251738526,0.975092739799,0.93587994543,14.0549781322,False
0.03,1.0,25.0,-1.0,0.964986737401,0.906515580737,0.974032856386,0.933151432469,13.6895771027,False
0.03,1.0,5.0,-1.0,0.971883289125,0.923959827834,0.980922098569,0.950276243094,13.8678648472,False
0.03,1.0,1.0,-1.0,0.979310344828,0.943231441048,0.987281399046,0.96694214876,13.8439309597,False
0.03,1.0,0.2,-1.0,0.981432360743,0.949348769899,0.988871224165,0.971034482759,13.7130019665,False
0.03,1.0,0.04,-1.0,0.9824933687,0.952243125904,0.989931107578,0.97386519945,13.6580851078,False
0.03,1.0,0.008,-1.0,0.980371352785,0.945668135095,0.990990990991,0.976421636616,13.6866848469,False
0.03,1.0,0.0016,-1.0,0.978779840849,0.940476190476,0.988871224165,0.970629370629,13.6904258728,False
0.03,2.0,625.0,-1.0,0.954907161804,0.879432624113,0.961844197138,0.908860759494,14.6438100338,False
0.03,2.0,125.0,-1.0,0.965517241379,0.905109489051,0.96608373079,0.918575063613,14.2862610817,False
0.03,2.0,25.0,-1.0,0.96976127321,0.915304606241,0.966613672496,0.91974522293,14.2077100277,False
0.03,2.0,5.0,-1.0,0.976657824934,0.93471810089,0.978272390037,0.94682230869,14.1082179546,False
0.03,2.0,1.0,-1.0,0.980371352785,0.944858420268,0.986221515633,0.965968586387,13.8501009941,False
0.03,2.0,0.2,-1.0,0.984615384615,0.95652173913,0.988871224165,0.972620599739,13.6575069427,False
0.03,2.0,0.04,-1.0,0.986206896552,0.961077844311,0.988871224165,0.972691807542,13.9120168686,False
0.03,2.0,0.008,-1.0,0.984615384615,0.95652173913,0.988341282459,0.971279373368,13.5934369564,False
0.03,2.0,0.0016,-1.0,0.985145888594,0.957446808511,0.98675145734,0.967061923584,13.7504808903,False
0.05,0.0,625.0,-1.0,0.944827586207,0.848396501458,0.960254372019,0.899057873486,15.1317851543,False
0.05,0.0,125.0,-1.0,0.951193633952,0.865497076023,0.967673555909,0.917456021651,14.4205720425,False
0.05,0.0,25.0,-1.0,0.967108753316,0.906060606061,0.969793322734,0.922659430122,14.0292909145,False
0.05,0.0,5.0,-1.0,0.976657824934,0.931888544892,0.974562798092,0.934246575342,14.1724710464,False
0.05,0.0,1.0,-1.0,0.981432360743,0.946070878274,0.983571807101,0.958277254374,13.7778689861,False
0.05,0.0,0.2,-1.0,0.981432360743,0.946070878274,0.985691573927,0.963165075034,13.6472420692,False
0.05,0.0,0.04,-1.0,0.983554376658,0.952234206471,0.987281399046,0.967302452316,13.8481321335,False
0.05,0.0,0.008,-1.0,0.985145888594,0.95652173913,0.987811340753,0.968449931413,13.7110929489,False
0.05,0.0,0.0016,-1.0,0.980371352785,0.941732283465,0.984101748808,0.958217270195,13.5137310028,False
0.05,1.0,625.0,-1.0,0.945358090186,0.857538035961,0.956014838368,0.883263009845,15.4859640598,False
0.05,1.0,125.0,-1.0,0.949602122016,0.867132867133,0.961314255432,0.898186889819,15.0031998158,False
0.05,1.0,25.0,-1.0,0.958090185676,0.887303851641,0.976152623211,0.935622317597,14.6347329617,False
0.05,1.0,5.0,-1.0,0.96976127321,0.91654465593,0.978802331744,0.942196531792,13.8991770744,False
0.05,1.0,1.0,-1.0,0.973474801061,0.927113702624,0.985691573927,0.960583941606,13.8804299831,False
0.05,1.0,0.2,-1.0,0.976657824934,0.935483870968,0.985691573927,0.960583941606,14.0885241032,False
0.05,1.0,0.04,-1.0,0.979840848806,0.944281524927,0.988871224165,0.969162995595,13.8661420345,False
0.05,1.0,0.008,-1.0,0.976657824934,0.935483870968,0.986221515633,0.961876832845,13.5869519711,False
0.05,1.0,0.0016,-1.0,0.974535809019,0.928571428571,0.988341282459,0.967551622419,13.8894119263,False
0.05,2.0,625.0,-1.0,0.947480106101,0.868874172185,0.957604663487,0.888579387187,16.2713320255,False
0.05,2.0,125.0,-1.0,0.955968169761,0.89035667107,0.961844197138,0.90027700831,15.1667490005,False
0.05,2.0,25.0,-1.0,0.961803713528,0.904255319149,0.972972972973,0.928870292887,14.4041879177,False
0.05,2.0,5.0,-1.0,0.970822281167,0.926174496644,0.977742448331,0.941828254848,14.1820440292,False
0.05,2.0,1.0,-1.0,0.977718832891,0.943243243243,0.986221515633,0.963172804533,13.9451129436,False
0.05,2.0,0.2,-1.0,0.979840848806,0.948228882834,0.988871224165,0.970042796006,13.8616662025,False
0.05,2.0,0.04,-1.0,0.979840848806,0.948228882834,0.990461049285,0.974212034384,13.8703320026,False
0.05,2.0,0.008,-1.0,0.979310344828,0.946502057613,0.990461049285,0.974063400576,13.8058769703,False
0.05,2.0,0.0016,-1.0,0.974535809019,0.933147632312,0.988871224165,0.969521044993,13.6514601707,False
0.1,0.0,625.0,-1.0,0.93474801061,0.827972027972,0.94541600424,0.86393659181,19.2934370041,False
0.1,0.0,125.0,-1.0,0.940053050398,0.841958041958,0.954425013249,0.887139107612,16.436882019,False
0.1,0.0,25.0,-1.0,0.948541114058,0.863187588152,0.965023847377,0.910326086957,15.5287849903,False
0.1,0.0,5.0,-1.0,0.966047745358,0.909348441926,0.983571807101,0.958389261745,14.4492371082,False
0.1,0.0,1.0,-1.0,0.964986737401,0.906779661017,0.984101748808,0.959893048128,14.2546739578,False
0.1,0.0,0.2,-1.0,0.970822281167,0.920863309353,0.984101748808,0.959349593496,14.0463430882,False
0.1,0.0,0.04,-1.0,0.971883289125,0.923959827834,0.988871224165,0.971506105834,13.7389171124,False
0.1,0.0,0.008,-1.0,0.970822281167,0.920405209841,0.990461049285,0.975409836066,13.6725940704,False
0.1,0.0,0.0016,-1.0,0.967639257294,0.910688140556,0.986221515633,0.96408839779,13.4692251682,False
0.1,1.0,625.0,-1.0,0.932625994695,0.827679782904,0.952835188129,0.870827285922,19.4662849903,False
0.1,1.0,125.0,-1.0,0.936870026525,0.836762688615,0.957074721781,0.882778581766,17.1845638752,False
0.1,1.0,25.0,-1.0,0.943766578249,0.853185595568,0.962374138845,0.896046852123,14.9874401093,False
0.1,1.0,5.0,-1.0,0.95225464191,0.873595505618,0.973502914679,0.926035502959,14.443351984,False
0.1,1.0,1.0,-1.0,0.958620689655,0.889518413598,0.977742448331,0.9375,14.2512099743,False
0.1,1.0,0.2,-1.0,0.969230769231,0.915942028986,0.986221515633,0.960725075529,14.2432370186,False
0.1,1.0,0.04,-1.0,0.971883289125,0.922173274596,0.987811340753,0.96499238965,14.0738661289,False
0.1,1.0,0.008,-1.0,0.97400530504,0.928046989721,0.989401165872,0.969418960245,13.5485270023,False
0.1,1.0,0.0016,-1.0,0.972944297082,0.924444444444,0.986221515633,0.959752321981,13.8774790764,False
0.1,2.0,625.0,-1.0,0.939522546419,0.844262295082,0.959194488606,0.894085281981,17.6363499165,False
0.1,2.0,125.0,-1.0,0.941114058355,0.846896551724,0.960254372019,0.897119341564,16.0394659042,False
0.1,2.0,25.0,-1.0,0.961803713528,0.897142857143,0.971383147854,0.925414364641,15.5914709568,False
0.1,2.0,5.0,-1.0,0.967108753316,0.911428571429,0.976152623211,0.938101788171,14.2369279861,False
0.1,2.0,1.0,-1.0,0.970291777188,0.919308357349,0.981981981982,0.953296703297,14.3137321472,False
0.1,2.0,0.2,-1.0,0.972944297082,0.927038626609,0.990461049285,0.975274725275,13.8970959187,False
0.1,2.0,0.04,-1.0,0.976127320955,0.935622317597,0.990461049285,0.975,13.9156630039,False
0.1,2.0,0.008,-1.0,0.976127320955,0.935251798561,0.989931107578,0.973201692525,13.9004690647,False
0.1,2.0,0.0016,-1.0,0.972413793103,0.924198250729,0.98675145734,0.964438122333,13.8045759201,False
0.15,0.0,625.0,-1.0,0.917771883289,0.787379972565,0.949125596184,0.866295264624,22.0669980049,False
0.15,0.0,125.0,-1.0,0.93050397878,0.816783216783,0.965553789083,0.90780141844,18.6259818077,False
0.15,0.0,25.0,-1.0,0.942175066313,0.844062947067,0.967673555909,0.913475177305,15.8812208176,False
0.15,0.0,5.0,-1.0,0.949071618037,0.860869565217,0.968733439322,0.916312056738,14.7562918663,False
0.15,0.0,1.0,-1.0,0.955968169761,0.87988422576,0.976152623211,0.93543758967,14.2422449589,False
0.15,0.0,0.2,-1.0,0.959151193634,0.888888888889,0.984631690514,0.957787481805,14.3150529861,False
0.15,0.0,0.04,-1.0,0.960212201592,0.89114658926,0.98675145734,0.963715529753,14.2351810932,False
0.15,0.0,0.008,-1.0,0.96074270557,0.891812865497,0.989931107578,0.972343522562,13.8545839787,False
0.15,0.0,0.0016,-1.0,0.959681697613,0.88790560472,0.987281399046,0.964391691395,14.0438361168,False
0.15,1.0,625.0,-1.0,0.928381962865,0.802919708029,0.950185479597,0.876315789474,21.063450098,False
0.15,1.0,125.0,-1.0,0.935278514589,0.820588235294,0.956014838368,0.89035667107,17.8725049496,False
0.15,1.0,25.0,-1.0,0.952785145889,0.862442040185,0.967143614202,0.917333333333,16.134983778,False
0.15,1.0,5.0,-1.0,0.954907161804,0.869831546708,0.968203497615,0.918918918919,15.1388778687,False
0.15,1.0,1.0,-1.0,0.962334217507,0.889580093313,0.982511923688,0.954856361149,14.3331580162,False
0.15,1.0,0.2,-1.0,0.963395225464,0.893023255814,0.984101748808,0.959239130435,14.1566531658,False
0.15,1.0,0.04,-1.0,0.966047745358,0.899686520376,0.988871224165,0.971350613915,13.9504499435,False
0.15,1.0,0.008,-1.0,0.967108753316,0.903125,0.989401165872,0.972677595628,13.9001510143,False
0.15,1.0,0.0016,-1.0,0.961273209549,0.883572567783,0.98675145734,0.965229485396,14.0309948921,False
0.15,2.0,625.0,-1.0,0.929973474801,0.808139534884,0.95124536301,0.878947368421,20.4006998539,False
0.15,2.0,125.0,-1.0,0.941644562334,0.833836858006,0.960254372019,0.89932885906,17.5105810165,False
