ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.55,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-195666198296.63507,-9939917434425.598,0.3091919422149658
0.0,0.0,0.49375,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-198396946322.39587,-8919199029961.9,0.32439303398132324
0.0,0.0,0.4375,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-141160748429.20505,-5576390952795.933,0.32549595832824707
0.0,0.0,0.38125000000000003,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-217054733323.33127,-7326645890418.483,0.32784414291381836
0.0,0.0,0.325,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-705056912948.9724,-19846728770997.117,0.5753591060638428
0.0,0.0,0.26875,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-204877297296.3652,-4603897796323.167,0.32651209831237793
0.0,0.0,0.21250000000000002,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-233801248999.07068,-3978793737699.551,0.4114189147949219
0.0,0.0,0.15625,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-581209120225.2612,-6419665024121.188,0.3598759174346924
0.0,0.0,0.1,0.05,0.9685863874345549,0.0,0.9696588718464504,0.0,-344731747220.5675,-1793857623775.1243,0.3706200122833252
0.03,0.0,0.55,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-243043187027.78308,-11415317100780.51,0.44777894020080566
0.03,0.0,0.49375,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-174422274800.3504,-7172552818719.428,0.39697980880737305
0.03,0.0,0.4375,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-118060580097.26952,-4193912285822.522,0.4088320732116699
0.03,0.0,0.38125000000000003,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-140539410109.89813,-4271937033084.6426,0.3344860076904297
0.03,0.0,0.325,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-397486996108.4588,-9510513595973.504,0.4178290367126465
0.03,0.0,0.26875,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-404282899177.2575,-7253312885384.346,0.4211709499359131
0.03,0.0,0.21250000000000002,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-203967200470.11877,-2354985013043.155,0.36837196350097656
0.03,0.0,0.15625,0.05,0.9443474888501067,0.0,0.9682340122370295,0.0,-872175845550.1962,-4453352353331.841,0.5555989742279053
0.03,0.0,0.1,0.05,0.9245685476051968,0.02015113350125945,0.9499622831279859,0.009950248756218905,-1.7916961694424214,-8.759449397625849,0.5089209079742432
0.05,0.0,0.55,0.05,0.9212720573977119,0.0,0.9709161009135865,0.0,-133130343323.84575,-5216779018114.016,0.4935891628265381
0.05,0.0,0.49375,0.05,0.9212720573977119,0.0,0.9709161009135865,0.0,-114194880774.29616,-3849295771921.0938,0.37076902389526367
0.05,0.0,0.4375,0.05,0.9212720573977119,0.0,0.9709161009135865,0.0,-337279076624.0085,-9387455508157.633,0.48088884353637695
0.05,0.0,0.38125000000000003,0.05,0.9212720573977119,0.0,0.9709161009135865,0.0,-527704072153.9273,-11296915013303.408,0.37433695793151855
0.05,0.0,0.325,0.05,0.9212720573977119,0.0,0.9709161009135865,0.0,-164351411805.70648,-2498913950770.4155,0.41190195083618164
