ratio,trial,C,s,val-acc,val-f,test-acc,test-f
0.0,0.0,625.0,-1.0,0.7519685039370079,0.4615384615384615,0.7716535433070866,0.4821428571428571
0.0,0.0,625.0,0.0,0.7440944881889764,0.4799999999999999,0.7795275590551181,0.5254237288135594
0.0,0.0,625.0,0.5,0.7874015748031497,0.55,0.7952755905511811,0.5438596491228069
0.0,0.0,125.0,-1.0,0.7480314960629921,0.44827586206896547,0.7834645669291339,0.5045045045045045
0.0,0.0,125.0,0.0,0.7598425196850394,0.47863247863247865,0.7795275590551181,0.5172413793103449
0.0,0.0,125.0,0.5,0.7637795275590551,0.4736842105263158,0.7992125984251969,0.5142857142857142
0.0,0.0,25.0,-1.0,0.7716535433070866,0.49122807017543857,0.7677165354330708,0.4778761061946903
0.0,0.0,25.0,0.0,0.7716535433070866,0.5,0.7874015748031497,0.5263157894736842
0.0,0.0,25.0,0.5,0.7795275590551181,0.5254237288135594,0.7834645669291339,0.4954128440366973
0.0,0.0,5.0,-1.0,0.7440944881889764,0.45378151260504196,0.7598425196850394,0.46956521739130436
0.0,0.0,5.0,0.0,0.7834645669291339,0.5217391304347826,0.7874015748031497,0.5
0.0,0.0,5.0,0.5,0.7755905511811023,0.4466019417475728,0.7874015748031497,0.4905660377358491
0.0,0.0,1.0,-1.0,0.7559055118110236,0.3921568627450981,0.7992125984251969,0.4742268041237113
0.0,0.0,1.0,0.0,0.8149606299212598,0.5436893203883495,0.7992125984251969,0.48484848484848475
0.0,0.0,1.0,0.5,0.8031496062992126,0.4680851063829788,0.8031496062992126,0.45652173913043476
0.0,0.0,0.2,-1.0,0.7834645669291339,0.3529411764705882,0.7913385826771654,0.3614457831325301
0.0,0.0,0.2,0.0,0.7992125984251969,0.2608695652173913,0.7755905511811023,0.1492537313432836
0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.04,-1.0,0.7677165354330708,0.1917808219178082,0.7677165354330708,0.1917808219178082
0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.04,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.008,-1.0,0.7677165354330708,0.0,0.7559055118110236,0.0
0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,-1.0,0.7677165354330708,0.0,0.7559055118110236,0.0
0.0,0.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,1.0,625.0,-1.0,0.7952755905511811,0.5094339622641509,0.7992125984251969,0.5048543689320388
0.0,1.0,625.0,0.0,0.7874015748031497,0.5344827586206896,0.8110236220472441,0.5714285714285714
0.0,1.0,625.0,0.5,0.7874015748031497,0.5499999999999999,0.7834645669291339,0.5045045045045046
0.0,1.0,125.0,-1.0,0.7834645669291339,0.5217391304347826,0.8110236220472441,0.5471698113207548
0.0,1.0,125.0,0.0,0.7992125984251969,0.5405405405405406,0.7834645669291339,0.485981308411215
0.0,1.0,125.0,0.5,0.7992125984251969,0.5853658536585366,0.8149606299212598,0.5982905982905983
0.0,1.0,25.0,-1.0,0.7913385826771654,0.5391304347826086,0.7952755905511811,0.5
0.0,1.0,25.0,0.0,0.7913385826771654,0.5391304347826086,0.7913385826771654,0.49523809523809526
0.0,1.0,25.0,0.5,0.7795275590551181,0.5172413793103449,0.8188976377952756,0.5818181818181818
0.0,1.0,5.0,-1.0,0.7716535433070866,0.4912280701754386,0.7913385826771654,0.5046728971962617
0.0,1.0,5.0,0.0,0.7716535433070866,0.46296296296296297,0.8031496062992126,0.5454545454545455
0.0,1.0,5.0,0.5,0.7716535433070866,0.4528301886792453,0.8110236220472441,0.5471698113207548
0.0,1.0,1.0,-1.0,0.7480314960629921,0.30434782608695654,0.7874015748031497,0.4375
0.0,1.0,1.0,0.0,0.7598425196850394,0.4077669902912621,0.7952755905511811,0.4901960784313726
0.0,1.0,1.0,0.5,0.7755905511811023,0.24000000000000002,0.7677165354330708,0.2716049382716049
0.0,1.0,0.2,-1.0,0.7559055118110236,0.3111111111111111,0.7677165354330708,0.3516483516483517
0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.2,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.04,-1.0,0.7519685039370079,0.03076923076923077,0.7440944881889764,0.0
0.0,1.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.04,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.008,-1.0,0.7480314960629921,0.0,0.7440944881889764,0.0
0.0,1.0,0.008,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,1.0,0.0016,-1.0,0.7480314960629921,0.0,0.7440944881889764,0.0
0.0,1.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,2.0,625.0,-1.0,0.7992125984251969,0.4848484848484849,0.8149606299212598,0.47191011235955055
0.0,2.0,625.0,0.0,0.7913385826771654,0.4752475247524752,0.7992125984251969,0.4631578947368421
0.0,2.0,625.0,0.5,0.8070866141732284,0.44943820224719094,0.8070866141732284,0.44943820224719105
0.0,2.0,125.0,-1.0,0.8110236220472441,0.5102040816326531,0.8031496062992126,0.4565217391304348
0.0,2.0,125.0,0.0,0.7952755905511811,0.48,0.8031496062992126,0.4565217391304348
0.0,2.0,125.0,0.5,0.7913385826771654,0.41758241758241754,0.8110236220472441,0.46666666666666673
0.0,2.0,25.0,-1.0,0.8149606299212598,0.5252525252525252,0.8070866141732284,0.48421052631578954
0.0,2.0,25.0,0.0,0.7834645669291339,0.45544554455445546,0.8070866141732284,0.4615384615384615
0.0,2.0,25.0,0.5,0.7952755905511811,0.43478260869565216,0.7716535433070866,0.3695652173913043
0.0,2.0,5.0,-1.0,0.7874015748031497,0.4,0.7913385826771654,0.345679012345679
0.0,2.0,5.0,0.0,0.7834645669291339,0.42105263157894735,0.8031496062992126,0.43181818181818177
0.0,2.0,5.0,0.5,0.8070866141732284,0.4842105263157895,0.7913385826771654,0.3614457831325301
0.0,2.0,1.0,-1.0,0.7952755905511811,0.39534883720930236,0.7952755905511811,0.3658536585365854
0.0,2.0,1.0,0.0,0.7598425196850394,0.18666666666666668,0.8031496062992126,0.28571428571428575
0.0,2.0,1.0,0.5,0.7716535433070866,0.19444444444444445,0.7755905511811023,0.1492537313432836
0.0,2.0,0.2,-1.0,0.7913385826771654,0.3908045977011494,0.7795275590551181,0.3170731707317073
0.0,2.0,0.2,0.0,0.7677165354330708,0.11940298507462686,0.7834645669291339,0.09836065573770492
0.0,2.0,0.2,0.5,0.0,0.0,0.0,0.0
0.0,2.0,0.04,-1.0,0.7637795275590551,0.1891891891891892,0.7952755905511811,0.2571428571428572
0.0,2.0,0.04,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.04,0.5,0.0,0.0,0.0,0.0
0.0,2.0,0.008,-1.0,0.7519685039370079,0.0,0.7716535433070866,0.0
0.0,2.0,0.008,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.008,0.5,0.0,0.0,0.0,0.0
0.0,2.0,0.0016,-1.0,0.7519685039370079,0.0,0.7716535433070866,0.0
0.0,2.0,0.0016,0.0,0.0,0.0,0.0,0.0
0.0,2.0,0.0016,0.5,0.0,0.0,0.0,0.0
0.0,3.0,625.0,-1.0,0.7874015748031497,0.5846153846153845,0.7874015748031497,0.619718309859155
0.0,3.0,625.0,0.0,0.7755905511811023,0.5714285714285714,0.7992125984251969,0.6222222222222222
0.0,3.0,625.0,0.5,0.7440944881889764,0.5390070921985816,0.7795275590551181,0.6000000000000002
0.0,3.0,125.0,-1.0,0.7834645669291339,0.5985401459854015,0.7913385826771654,0.618705035971223
0.0,3.0,125.0,0.0,0.7795275590551181,0.582089552238806,0.7992125984251969,0.6277372262773723
0.0,3.0,125.0,0.5,0.7677165354330708,0.5986394557823129,0.7874015748031497,0.6493506493506495
0.0,3.0,25.0,-1.0,0.7716535433070866,0.5857142857142857,0.7913385826771654,0.624113475177305
0.0,3.0,25.0,0.0,0.7952755905511811,0.5737704918032787,0.7952755905511811,0.6119402985074627
0.0,3.0,25.0,0.5,0.7795275590551181,0.5942028985507245,0.7874015748031497,0.6301369863013698
0.0,3.0,5.0,-1.0,0.7795275590551181,0.6,0.8188976377952756,0.6666666666666666
0.0,3.0,5.0,0.0,0.7834645669291339,0.5801526717557252,0.7952755905511811,0.6438356164383562
0.0,3.0,5.0,0.5,0.7755905511811023,0.5128205128205129,0.7992125984251969,0.6222222222222222
0.0,3.0,1.0,-1.0,0.7716535433070866,0.573529411764706,0.8070866141732284,0.6370370370370371
