ratio,trial,C,s,val-acc,val-f,test-acc,test-f,comp_time,timeout
0.0,0,625.0,-1,0.9067669172932331,0.7832167832167833,0.9053343350864012,0.8006329113924051,10.720365047454834,False
0.0,0,125.0,-1,0.9112781954887218,0.794425087108014,0.9090909090909091,0.807631160572337,9.713296175003052,False
0.0,0,25.0,-1,0.9090225563909774,0.7858407079646017,0.9075882794891059,0.8038277511961722,9.045639038085938,False
0.0,0,5.0,-1,0.9150375939849624,0.8,0.9053343350864012,0.798076923076923,8.651453971862793,False
0.0,0,1.0,-1,0.9150375939849624,0.8014059753954305,0.9075882794891059,0.8038277511961722,8.202296018600464,False
0.0,0,0.2,-1,0.9112781954887218,0.794425087108014,0.9098422238918107,0.8076923076923077,8.410176038742065,False
0.0,0,0.04,-1,0.9007518796992481,0.7755102040816327,0.9053343350864012,0.801261829652997,7.9149980545043945,False
0.0,0,0.008,-1,0.8947368421052632,0.7697368421052632,0.9000751314800901,0.7950693374422187,7.877626180648804,False
0.0,0,0.0016,-1,0.8917293233082707,0.760797342192691,0.8903080390683696,0.777439024390244,7.978128910064697,False
0.0,1,625.0,-1,0.8932330827067669,0.7746031746031745,0.8993238166791886,0.7665505226480835,10.235038995742798,False
0.0,1,125.0,-1,0.8909774436090225,0.7702060221870048,0.8970698722764838,0.7641996557659209,9.61923098564148,False
0.0,1,25.0,-1,0.8924812030075188,0.7726550079491257,0.9098422238918107,0.7931034482758621,9.221683979034424,False
0.0,1,5.0,-1,0.9,0.7837398373983739,0.9030803906836965,0.7692307692307692,9.395106077194214,False
0.0,1,1.0,-1,0.8992481203007519,0.7788778877887789,0.9053343350864012,0.7758007117437723,8.994881868362427,False
0.0,1,0.2,-1,0.9060150375939849,0.7974068071312804,0.9060856498873028,0.7795414462081128,8.970978021621704,False
0.0,1,0.04,-1,0.8917293233082707,0.7735849056603774,0.9008264462809917,0.7716262975778546,8.676017045974731,False
0.0,1,0.008,-1,0.8834586466165414,0.7640791476407914,0.8918106686701728,0.7600000000000001,8.521070957183838,False
0.0,1,0.0016,-1,0.8804511278195488,0.7527216174183515,0.8880540946656649,0.7444253859348198,8.557392120361328,False
0.0,2,625.0,-1,0.8932330827067669,0.7585034013605441,0.8970698722764838,0.7575221238938054,11.434708833694458,False
0.0,2,125.0,-1,0.8902255639097745,0.7499999999999999,0.9068369646882044,0.7777777777777779,10.109643936157227,False
0.0,2,25.0,-1,0.8954887218045112,0.7632027257240204,0.9015777610818934,0.7664884135472371,9.889719009399414,False
0.0,2,5.0,-1,0.8909774436090225,0.7529812606473595,0.903831705484598,0.7697841726618705,9.710854053497314,False
0.0,2,1.0,-1,0.8969924812030076,0.7650085763293311,0.9045830202854996,0.7736185383244206,9.350877046585083,False
0.0,2,0.2,-1,0.9007518796992481,0.7724137931034484,0.9060856498873028,0.7787610619469026,8.940438985824585,False
0.0,2,0.04,-1,0.9067669172932331,0.7973856209150327,0.9030803906836965,0.7794871794871796,8.385371923446655,False
