ratio,trial,nu,mu,val-acc,val-f,test-acc,test-f,VaR,tr-CVaR,comp_time
0.0,0.0,0.4,0.05,0.881203007518797,0.742671009771987,0.8782870022539444,0.755287009063444,-2.482148290838962,-578.3900161705266,13.361066102981567
0.0,0.0,0.36250000000000004,0.05,0.8834586466165414,0.7487844408427877,0.8827948910593538,0.7643504531722055,-2.1218528748383534,-425.922792237571,13.448164939880371
0.0,0.0,0.325,0.05,0.8909774436090225,0.7603305785123967,0.8850488354620586,0.7671232876712328,-1.7324117019996341,-297.789727260806,24.05549693107605
0.0,0.0,0.2875,0.05,0.8909774436090225,0.7626841243862521,0.8918106686701728,0.7824773413897281,-1.3737805710719324,-194.63598222473456,16.545443058013916
0.0,0.0,0.25,0.05,0.893984962406015,0.7699836867862969,0.8963185574755823,0.790909090909091,-1.0335507714350876,-113.97333057904657,32.927865982055664
0.0,0.0,0.2125,0.05,0.9015037593984963,0.7827529021558872,0.9015777610818934,0.7949921752738655,-0.6646843489933068,-57.876850897917116,44.96807289123535
0.0,0.0,0.175,0.05,0.9135338345864662,0.7985989492119089,0.9098422238918107,0.8051948051948052,-0.29721440299051166,-22.66649210807525,41.91094183921814
0.0,0.0,0.13749999999999996,0.05,0.9135338345864662,0.797891036906854,0.9151014274981217,0.8168557536466775,-0.17099192375928732,-7.759898357688815,50.539435148239136
0.0,0.0,0.1,0.05,0.9045112781954887,0.7851099830795262,0.8918106686701728,0.7770897832817337,-0.014409559292648222,1.2346648079208193,66.60269379615784
0.0,1.0,0.4,0.05,0.8729323308270677,0.7411944869831548,0.8812922614575507,0.7303754266211605,-2.4013666702248746,-616.7114198040848,24.846791982650757
0.0,1.0,0.36250000000000004,0.05,0.8766917293233083,0.7476923076923078,0.8827948910593538,0.7364864864864864,-2.0597760733641506,-467.32707190251097,19.329803943634033
0.0,1.0,0.325,0.05,0.8781954887218045,0.7522935779816514,0.8895567242674681,0.7504244482173175,-1.7368108765300019,-341.06226955547936,21.168944120407104
0.0,1.0,0.2875,0.05,0.8804511278195488,0.7572519083969466,0.8918106686701728,0.7583892617449663,-1.4579353832606838,-234.83098889009437,27.083646059036255
0.0,1.0,0.25,0.05,0.8804511278195488,0.7579908675799086,0.8903080390683696,0.7566666666666666,-1.1596184148750943,-147.91426550250245,19.576688051223755
0.0,1.0,0.2125,0.05,0.8849624060150376,0.7590551181102362,0.8955672426746807,0.7565674255691768,-0.791335150494686,-81.97582905094782,30.493935108184814
0.0,1.0,0.175,0.05,0.8879699248120301,0.7638668779714739,0.8970698722764838,0.7617391304347826,-0.5228067131504521,-38.72561833633153,39.17097496986389
0.0,1.0,0.13749999999999996,0.05,0.9067669172932331,0.8056426332288401,0.9053343350864012,0.7849829351535836,-0.22671867664695333,-12.603247629365915,44.098361015319824
0.0,1.0,0.1,0.05,0.8864661654135338,0.7495854063018242,0.8970698722764838,0.7476979742173113,-0.04284565005741728,-0.6634732817701474,47.558258056640625
0.0,2.0,0.4,0.05,0.8857142857142857,0.757188498402556,0.8880540946656649,0.7512520868113521,-2.3650850382867197,-563.9409272470607,15.801438808441162
0.0,2.0,0.36250000000000004,0.05,0.8872180451127819,0.7580645161290321,0.8903080390683696,0.7582781456953642,-2.023656224684731,-418.12721397110863,28.59625816345215
0.0,2.0,0.325,0.05,0.8932330827067669,0.768729641693811,0.8955672426746807,0.7702479338842975,-1.6616973867361873,-295.36834438064835,15.297520875930786
0.0,2.0,0.2875,0.05,0.8917293233082707,0.766990291262136,0.8955672426746807,0.7702479338842975,-1.3621907547473031,-194.48778761216585,21.294039964675903
